,game_id,datetime,date,time,home_name,home_abbrev,visitor_name,visitor_abbrev,home_score,visitor_score,home_prob,visitor_prob,overtime_prob,time_str,home_logo,visitor_logo,home_record,home_rank,visitor_record,visitor_rank
713,2024020714,2025-01-16T20:00:00,2025-01-16,20:00:00,Nashville Predators,NSH,Chicago Blackhawks,CHI,4.346011562420305,2.996403488426564,0.7137718961210481,0.2862281038789519,0.13350839155397362,8:00 PM,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg,0-2-0,1st,1-1-1,1st
714,2024020715,2025-01-16T20:00:00,2025-01-16,20:00:00,Dallas Stars,DAL,Montréal Canadiens,MTL,4.718345624496783,2.549251467875987,0.819444987394098,0.18055501260590198,0.11091157914909976,8:00 PM,https://assets.nhle.com/logos/nhl/svg/DAL_dark.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,3-0-0,1st,2-2-0,1st
715,2024020716,2025-01-16T20:00:00,2025-01-16,20:00:00,Winnipeg Jets,WPG,Seattle Kraken,SEA,3.198949723992103,2.623543463562096,0.6099886907510644,0.39001130924893557,0.16498075830991002,8:00 PM,https://assets.nhle.com/logos/nhl/svg/WPG_dark.svg,https://assets.nhle.com/logos/nhl/svg/SEA_dark.svg,3-0-0,1st,1-2-0,1st
716,2024020717,2025-01-16T21:00:00,2025-01-16,21:00:00,Utah Hockey Club,UTA,New York Rangers,NYR,3.256434760527257,5.028767249688876,0.2481120569850921,0.7518879430149079,0.11766027154360757,9:00 PM,https://assets.nhle.com/logos/nhl/svg/UTA_dark.svg,https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg,3-1-0,1st,2-0-1,1st
717,2024020718,2025-01-16T21:30:00,2025-01-16,21:30:00,Colorado Avalanche,COL,Edmonton Oilers,EDM,4.240150460997215,3.931279644145975,0.5477146065950255,0.45228539340497453,0.14105055240076972,9:30 PM,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,https://assets.nhle.com/logos/nhl/svg/EDM_dark.svg,0-3-0,1st,0-3-0,1st
718,2024020719,2025-01-16T22:00:00,2025-01-16,22:00:00,Vancouver Canucks,VAN,Los Angeles Kings,LAK,3.669398762034505,3.4929767898215984,0.5299240378626202,0.47007596213737973,0.15159831674989804,10:00 PM,https://assets.nhle.com/logos/nhl/svg/VAN_dark.svg,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,0-0-2,1st,1-0-2,1st
719,2024020720,2025-01-17T19:00:00,2025-01-17,19:00:00,Buffalo Sabres,BUF,Pittsburgh Penguins,PIT,3.37357858681028,3.69149387876302,0.44570456376930845,0.5542954362306916,0.15198090633673172,7:00 PM,https://assets.nhle.com/logos/nhl/svg/BUF_dark.svg,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,1-3-0,1st,2-2-0,1st
720,2024020721,2025-01-17T19:00:00,2025-01-17,19:00:00,Carolina Hurricanes,CAR,Vegas Golden Knights,VGK,3.464447835232264,2.690304454975736,0.6417098677276423,0.3582901322723577,0.15725399466425607,7:00 PM,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,https://assets.nhle.com/logos/nhl/svg/VGK_dark.svg,0-1-0,1st,3-0-0,1st
721,2024020722,2025-01-18T12:30:00,2025-01-18,12:30:00,New Jersey Devils,NJD,Philadelphia Flyers,PHI,3.8535395222366895,2.797926014118231,0.6812670853657753,0.3187329146342247,0.1460954477028418,12:30 PM,https://assets.nhle.com/logos/nhl/svg/NJD_dark.svg,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,4-1-0,1st,1-1-0,1st
722,2024020723,2025-01-18T15:00:00,2025-01-18,15:00:00,Ottawa Senators,OTT,Boston Bruins,BOS,3.2806107115357155,4.188523691205664,0.35366298221062475,0.6463370177893752,0.14115890789510674,3:00 PM,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg,2-1-0,1st,2-2-0,1st
723,2024020724,2025-01-18T16:00:00,2025-01-18,16:00:00,Colorado Avalanche,COL,Dallas Stars,DAL,3.5136170372020694,3.619310812349189,0.4820124257815159,0.5179875742184841,0.15212029900253235,4:00 PM,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,https://assets.nhle.com/logos/nhl/svg/DAL_dark.svg,0-3-0,1st,3-0-0,1st
