,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
260,Rostislav Klesla,CBJ,D,26,522.96666666667,2,6,0,6,8,36.36,24,8.33,1.03,55,33,15,2,1,0,26,13,13,0,0,5,7,5,39,51,49,0,0,-
261,Raffi Torres,"BUF, CBJ",L,74,1001.1666666667,19,17,12,5,36,83.72,120,15.83,11.22,195,155,115,63,2,8,34,17,17,0,0,13,28,21,84,80,15,18,32,36.00
262,Scott Hartnell,PHI,L,81,1273.3833333333,14,30,18,12,44,61.11,171,8.19,17.34,288,237,156,83,5,15,155,62,54,7,1,52,45,27,138,115,30,1,4,20.00
263,Ron Hainsey,ATL,D,80,1771.6833333333,5,21,8,13,26,37.68,121,4.13,4.98,238,162,54,9,7,12,39,18,17,1,0,8,50,47,42,42,148,0,0,-
264,Brooks Orpik,PIT,D,73,1467.1333333333,2,23,12,11,25,39.68,61,3.28,2.39,124,88,23,6,2,5,64,28,27,0,1,18,32,11,255,104,117,0,0,-
265,Alex Frolov,L.A,L,81,1493.3166666667,19,32,20,12,51,70.83,182,10.44,19.64,302,245,172,101,4,16,26,13,13,0,0,20,40,27,58,88,14,7,5,58.33
266,Anton Volchenkov,OTT,D,64,1324.1666666667,4,10,3,7,14,26.92,69,5.80,3.53,162,103,42,6,5,8,38,19,19,0,0,19,41,17,153,110,172,0,0,-
267,David Hale,T.B,D,39,548.15,0,4,4,0,4,22.22,25,0.00,0.9,45,32,5,1,1,2,25,10,9,1,0,5,18,9,56,57,23,0,0,-
268,Nathan Smith,MIN,C,9,70.6,0,0,0,0,0,-,4,0.00,0.12,9,6,3,0,0,0,12,3,1,2,0,2,1,1,5,2,2,26,23,53.06
269,Brad Boyes,STL,R,82,1376.7166666667,14,28,14,14,42,52.50,197,7.11,23.38,374,290,202,73,14,18,26,12,12,0,0,12,31,46,76,82,18,138,173,44.37
270,Steve Ott,DAL,C,73,1202.3,22,14,9,5,36,66.67,146,15.07,16.67,238,195,156,77,9,16,153,56,44,11,1,38,30,25,251,97,19,200,152,56.82
271,Brian Sutherby,DAL,C,46,396.05,5,4,3,1,9,56.25,49,10.20,3.15,72,54,41,18,7,3,66,19,12,6,1,16,6,9,88,55,11,18,23,43.90
272,Justin Williams,L.A,R,49,802.43333333333,10,19,10,9,29,65.91,140,7.14,12.11,235,193,122,44,10,13,39,13,11,1,1,14,35,18,34,94,17,4,7,36.36
273,Niklas Kronwall,DET,D,48,1051.9166666667,7,15,8,7,22,48.89,68,10.29,5.15,151,99,41,9,2,4,32,16,16,0,0,10,36,20,86,56,62,0,0,-
274,Jeff Taffe,FLA,L,21,176.81666666667,1,1,1,0,2,50.00,18,5.56,1.48,27,20,21,8,2,3,4,2,2,0,0,4,4,6,27,8,7,33,41,44.59
275,Nick Schultz,MIN,D,80,1677.4,1,19,4,15,20,34.48,83,1.20,4.47,174,119,37,15,2,11,43,20,19,1,0,9,29,15,84,176,158,0,0,-
276,Brad Winchester,STL,L,64,580.25,3,5,4,1,8,36.36,69,4.35,7.44,109,89,73,36,5,4,106,34,23,10,1,26,11,7,143,52,12,3,9,25.00
277,Andy Hilbert,MIN,L,4,38.883333333333,0,0,0,0,0,-,6,0.00,0.28,8,7,2,1,1,0,2,1,1,0,0,1,2,0,4,4,2,0,2,0.00
278,Tomas Kopecky,CHI,R,74,701.18333333333,10,11,8,3,21,70.00,95,10.53,7.97,161,125,88,42,9,6,28,14,14,0,0,11,7,27,72,70,11,52,66,44.07
279,Kurtis Foster,T.B,D,71,1219.4666666667,8,34,20,14,42,55.26,165,4.85,7.3,337,214,46,2,3,14,48,24,24,0,0,12,29,14,60,68,70,0,0,-
280,Matt Pettinger,VAN,L,9,96.816666666667,1,2,2,0,3,75.00,8,12.50,0.73,14,13,8,5,0,1,6,3,3,0,0,2,0,1,14,13,5,3,10,23.08
281,Jarret Stoll,L.A,C,73,1271.6166666667,16,31,20,11,47,63.51,164,9.76,15.52,286,231,129,51,12,12,40,20,20,0,0,15,26,17,191,91,34,619,486,56.02
282,Andreas Lilja,DET,D,20,282.78333333333,1,1,1,0,2,22.22,19,5.26,0.77,31,27,4,2,1,1,4,2,2,0,0,2,14,1,38,27,21,0,0,-
283,Antoine Vermette,CBJ,C,82,1651.8333333333,27,38,21,17,65,69.89,156,17.31,19.73,253,205,155,103,7,15,32,16,16,0,0,18,28,33,91,95,40,852,721,54.16
284,Paul Martin,N.J,D,22,495.0,2,9,5,4,11,40.74,21,9.52,1.59,51,32,11,5,1,2,2,1,1,0,0,5,12,10,23,25,22,0,0,-
285,Kurt Sauer,PHX,D,1,16.533333333333,0,0,0,0,0,0.00,2,0.00,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-
286,Dominic Moore,"FLA, MTL",C,69,1023.7833333333,10,18,9,9,28,73.68,119,8.40,10.12,214,172,96,39,4,14,43,20,19,1,0,25,12,36,57,88,34,365,298,55.05
287,Niclas Wallin,"CAR, S.J",D,70,1212.8,0,7,5,2,7,17.50,72,0.00,2.87,148,99,42,3,9,7,49,19,17,1,1,10,28,21,175,71,88,0,1,0.00
288,Lubomir Visnovsky,"ANA, EDM",D,73,1598.9333333333,15,30,10,20,45,45.92,131,11.45,8.99,297,195,68,16,4,14,20,10,10,0,0,11,73,40,37,57,106,0,0,-
289,Matt Hendricks,COL,L,56,518.51666666667,9,7,5,2,16,88.89,63,14.29,6.19,95,80,50,27,7,5,74,22,12,10,0,25,8,15,92,51,21,33,50,39.76
290,David Koci,COL,L,43,131.2,1,0,0,0,1,33.33,6,16.67,0.37,9,8,5,3,1,0,84,20,7,12,1,13,7,0,33,11,2,0,0,-
291,Travis Moen,MTL,L,81,1214.4833333333,8,11,7,4,19,55.88,107,7.48,11.83,176,142,118,71,8,15,55,19,14,5,0,23,20,27,161,156,51,3,9,25.00
292,Greg Zanon,MIN,D,81,1811.8833333333,2,13,5,8,15,26.79,59,3.39,2.06,146,88,24,1,3,9,36,18,18,0,0,15,39,25,183,117,196,0,1,0.00
