,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
33,Bret Hedican,CAR,D,66,1273.3333333333,2,15,5,10,17,26.15,80,2.50,2.61,153,103,27,4,0,7,70,35,35,0,0,14,20,26,65,84,108,0,0,-
34,Sean Hill,MIN,D,35,531.31666666667,2,7,2,5,9,47.37,18,11.11,0.59,42,26,7,0,0,1,32,16,16,0,0,2,11,1,68,24,43,0,0,-
35,Ken Klee,ATL,D,72,1443.3333333333,1,9,3,6,10,20.41,56,1.79,1.65,126,75,19,3,2,4,60,29,29,0,0,11,37,24,78,50,136,0,0,-
36,Jon Klemm,L.A,D,22,240.93333333333,0,0,0,0,0,0.00,6,0.00,0.36,10,8,3,2,0,0,10,5,5,0,0,3,6,2,34,14,22,2,0,100.00
37,Vyacheslav Kozlov,ATL,L,82,1306.8666666667,17,24,11,13,41,71.93,161,10.56,14.99,274,220,136,53,6,8,26,13,13,0,0,21,46,47,27,72,16,31,37,45.59
38,Robert Lang,CHI,C,76,1399.9,21,33,24,9,54,67.50,172,12.21,17.71,254,217,152,59,2,10,50,24,24,0,0,16,33,28,25,31,22,593,524,53.09
39,Nicklas Lidstrom,DET,D,76,2030.0833333333,10,60,25,35,70,50.00,188,5.32,9.95,388,277,74,9,3,11,40,20,20,0,0,4,39,23,23,44,70,0,0,-
40,Brad May,ANA,L,61,403.91666666667,3,1,0,1,4,36.36,34,8.82,2.78,60,47,32,13,0,2,53,16,9,7,0,14,7,5,39,40,3,0,3,0.00
41,Aaron Miller,VAN,D,57,988.18333333333,1,8,1,7,9,27.27,27,3.70,1.06,68,45,14,1,1,4,32,12,11,0,1,4,29,15,37,74,80,0,0,-
42,Jaroslav Modry,"L.A, PHI",D,80,1524.25,1,8,2,6,9,17.65,56,1.79,1.8,122,77,19,2,2,3,50,25,25,0,0,3,56,12,45,92,134,0,1,0.00
43,Geoff Sanderson,EDM,L,41,416.4,3,10,5,5,13,86.67,40,7.50,3.82,59,51,37,13,1,3,16,8,8,0,0,9,18,20,8,19,7,12,11,52.17
44,Teemu Selanne,ANA,R,26,471.11666666667,12,11,6,5,23,71.88,87,13.79,10.44,128,114,88,37,0,5,8,4,4,0,0,12,30,7,6,32,2,34,33,50.75
45,Chris Simon,"MIN, NYI",L,38,272.75,1,2,2,0,3,37.50,27,3.70,2.99,43,33,29,16,3,3,59,18,12,5,1,12,9,5,17,14,8,2,0,100.00
46,Bryan Smolinski,MTL,C,64,840.4,8,17,8,9,25,71.43,89,8.99,8.64,169,129,87,32,6,5,20,10,10,0,0,4,19,30,45,52,36,382,356,51.76
47,Darryl Sydor,PIT,D,74,1298.9166666667,1,12,5,7,13,22.81,59,1.69,2.88,130,96,24,3,1,4,26,10,8,2,0,12,21,7,36,96,102,0,0,-
48,Keith Tkachuk,STL,L,79,1331.35,27,31,16,15,58,73.42,177,15.25,23.48,298,249,206,104,13,18,67,32,31,1,0,32,33,32,92,42,17,552,566,49.37
49,Doug Weight,"ANA, STL",C,67,979.15,10,15,10,5,25,58.14,96,10.42,8.42,168,135,85,34,4,9,32,16,16,0,0,12,27,12,48,49,21,290,324,47.23
50,Sergei Zubov,DAL,D,46,1181.9666666667,4,31,16,15,35,47.30,84,4.76,5.29,187,125,35,2,0,13,12,6,6,0,0,6,45,30,14,40,41,0,0,-
51,Scott Niedermayer,ANA,D,48,1147.5833333333,8,17,4,13,25,48.08,87,9.20,6.39,168,131,59,11,4,3,16,8,8,0,0,10,39,37,35,29,46,0,0,-
52,Aaron Ward,BOS,D,65,1348.4833333333,5,8,2,6,13,24.07,68,7.35,2.55,146,105,20,2,2,8,54,27,27,0,0,11,18,5,143,81,119,0,0,-
53,Peter Forsberg,COL,C,9,173.2,1,13,8,5,14,87.50,15,6.67,1.17,21,17,12,6,1,2,8,4,4,0,0,8,15,10,9,20,0,4,0,100.00
54,Martin Lapointe,"CHI, OTT",R,70,658.31666666667,6,7,2,5,13,65.00,63,9.52,4.42,102,76,52,23,3,3,70,21,15,4,2,12,22,11,79,19,12,9,14,39.13
55,Brian Rolston,MIN,R,81,1625.7,31,28,14,14,59,68.60,289,10.73,20.11,512,402,161,52,22,14,53,25,24,1,0,18,41,25,59,40,24,67,98,40.61
56,Philippe Boucher,DAL,D,38,817.33333333333,2,12,8,4,14,35.00,72,2.78,2.85,138,101,22,2,1,4,26,13,13,0,0,3,25,14,65,44,67,0,0,-
57,Alex Kovalev,MTL,R,82,1604.3666666667,35,49,27,22,84,71.79,230,15.22,21.16,393,290,222,69,9,13,68,34,34,0,0,49,67,47,88,143,39,32,26,55.17
58,Markus Naslund,VAN,L,82,1425.4166666667,25,30,13,17,55,65.48,237,10.55,22.31,382,316,226,108,12,28,46,23,23,0,0,26,39,40,13,49,24,0,1,0.00
59,Glen Murray,BOS,R,63,1147.45,17,13,8,5,30,50.00,158,10.76,15.3,265,215,159,55,11,8,50,25,25,0,0,15,13,24,42,49,10,6,13,31.58
60,Martin Rucinsky,STL,L,40,600.43333333333,5,11,8,3,16,66.67,67,7.46,5.83,107,92,57,25,4,3,40,20,20,0,0,11,8,8,19,33,8,7,6,53.85
61,Dean McAmmond,OTT,C,68,784.26666666667,9,13,8,5,22,70.97,67,13.43,6.34,122,92,75,29,5,5,12,6,6,0,0,4,28,33,43,53,18,112,147,43.24
62,Ray Whitney,CAR,L,66,1249.7333333333,25,36,18,18,61,73.49,204,12.25,21.19,361,288,184,78,6,19,30,15,15,0,0,18,29,41,13,50,23,3,2,60.00
63,Steve Staios,EDM,D,82,1807.05,7,9,2,7,16,26.23,73,9.59,3.84,170,117,37,6,3,12,121,49,43,5,1,27,84,33,81,92,187,1,0,100.00
64,Jassen Cullimore,FLA,D,65,1174.8166666667,3,10,3,7,13,27.08,55,5.45,1.43,100,67,11,2,1,2,38,19,19,0,0,6,31,11,77,57,68,1,0,100.00
65,Sandis Ozolinsh,S.J,D,39,662.26666666667,3,13,9,4,16,42.11,39,7.69,2.95,103,64,32,4,4,9,24,12,12,0,0,5,28,6,28,44,32,0,0,-
66,Jozef Stumpel,FLA,L,52,903.2,7,13,7,6,20,58.82,64,10.94,7.14,118,93,77,30,6,5,10,5,5,0,0,11,22,18,39,48,22,329,314,51.17
67,Yanic Perreault,CHI,C,53,609.75,9,5,1,4,14,58.33,58,15.52,6.02,96,70,53,20,1,2,24,11,11,0,0,3,15,12,17,29,12,294,163,64.33
68,Michael Nylander,WSH,C,40,766.26666666667,11,26,15,11,37,72.55,77,14.29,8.77,116,93,80,32,5,3,24,12,12,0,0,9,27,26,4,40,10,263,272,49.16
69,Mike Knuble,PHI,R,82,1550.4,29,26,15,11,55,56.12,177,16.38,25.03,285,250,200,125,9,24,72,35,35,0,0,16,36,36,58,79,47,10,15,40.00
70,Alexei Zhitnik,ATL,D,65,1236.2833333333,3,5,1,4,8,17.39,79,3.80,3.44,173,124,33,5,2,3,58,29,29,0,0,7,36,24,67,32,54,0,0,-
71,Sean O'Donnell,ANA,D,82,1413.45,2,7,4,3,9,25.00,25,8.00,1.61,62,38,15,2,2,1,84,28,22,4,2,17,35,43,54,42,51,2,0,100.00
72,Roman Hamrlik,MTL,D,77,1782.3666666667,5,21,12,9,26,33.77,129,3.88,6.49,258,177,74,11,7,16,38,19,19,0,0,14,70,36,138,96,187,0,0,-
73,Cory Stillman,"CAR, OTT",L,79,1499.6333333333,24,41,20,21,65,79.27,166,14.46,15.4,298,235,129,63,9,19,24,12,12,0,0,23,35,32,69,69,22,7,10,41.18
74,Sergei Gonchar,PIT,D,78,2021.45,12,53,23,30,65,51.18,173,6.94,10.04,370,264,74,9,6,20,66,32,32,0,0,9,43,33,56,104,126,0,0,-
75,Jason Smith,PHI,D,77,1380.9166666667,1,9,6,3,10,23.81,58,1.72,1.68,133,87,18,1,5,7,86,30,23,6,1,18,33,11,142,96,204,1,0,100.00
76,Martin Straka,NYR,C,65,1209.1833333333,14,27,13,14,41,68.33,116,12.07,13.58,200,162,126,64,4,8,22,11,11,0,0,15,32,31,24,43,32,7,12,36.84
77,Michael Peca,CBJ,C,65,1206.9166666667,8,26,20,6,34,60.71,86,9.30,9.58,153,120,85,37,4,4,64,32,32,0,0,13,18,28,74,50,57,571,513,52.68
78,Sergei Brylin,N.J,L,82,1110.6833333333,6,10,4,6,16,59.26,65,9.23,5.57,119,85,65,29,2,4,20,10,10,0,0,11,13,25,58,72,26,88,104,45.83
79,Darren McCarty,DET,R,3,23.333333333333,0,1,1,0,1,50.00,3,0.00,0.1,3,3,1,1,0,0,2,1,1,0,0,0,0,0,4,2,1,0,0,-
80,Mattias Norstrom,DAL,D,66,1287.05,2,11,4,7,13,30.23,54,3.70,2.02,97,72,17,3,2,4,40,20,20,0,0,7,43,21,77,145,91,0,0,-
81,Kirk Maltby,DET,L,61,735.4,6,4,3,1,10,62.50,70,8.57,6.07,109,86,50,22,1,3,32,16,16,0,0,18,15,17,92,79,17,3,4,42.86
82,Craig Rivet,S.J,D,74,1568.3666666667,5,30,12,18,35,44.87,105,4.76,5.63,220,141,50,6,4,8,102,34,26,6,2,18,44,21,73,77,79,0,0,-
83,Jere Lehtinen,DAL,R,48,908.05,15,22,14,8,37,60.66,118,12.71,13.0,205,160,137,58,3,12,14,7,7,0,0,9,18,36,19,59,31,1,10,9.09
84,Adrian Aucoin,CGY,D,76,1593.05,10,25,11,14,35,41.18,121,8.26,8.34,294,195,53,8,3,18,37,17,16,1,0,14,35,35,69,19,55,0,0,-
85,Derek Armstrong,L.A,C,77,1022.7333333333,8,27,18,9,35,66.04,118,6.78,12.09,191,159,123,50,8,7,63,22,19,1,2,23,43,19,106,77,29,380,370,50.67
86,Ian Laperriere,COL,R,70,955.95,4,15,7,8,19,82.61,68,5.88,5.15,106,89,47,24,3,4,135,35,15,19,1,34,13,34,101,40,49,64,77,45.39
87,Stephane Yelle,CGY,C,74,884.66666666667,3,9,5,4,12,80.00,62,4.84,5.9,104,83,58,29,7,5,20,10,10,0,0,18,13,27,93,72,30,190,191,49.87
88,Donald Brashear,WSH,L,80,628.71666666667,5,3,2,1,8,53.33,59,8.47,4.57,103,87,50,22,3,6,119,35,21,13,1,20,24,14,133,54,12,0,1,0.00
89,Chris Pronger,ANA,D,72,1872.0166666667,12,31,14,17,43,53.75,182,6.59,9.01,355,247,71,3,4,14,109,44,41,1,2,15,37,39,74,66,99,4,3,57.14
90,Chris Gratton,T.B,C,60,762.25,10,11,3,8,21,60.00,92,10.87,8.17,146,121,83,39,7,4,77,30,26,3,1,12,18,30,88,24,16,337,281,54.53
91,Paul Kariya,STL,L,82,1535.65,16,49,31,18,65,72.22,223,7.17,17.3,355,285,199,55,13,13,50,25,25,0,0,29,30,18,18,60,21,0,6,0.00
92,Rob Niedermayer,ANA,C,78,1381.8,8,8,5,3,16,61.54,111,7.21,9.48,179,151,110,45,10,5,54,26,26,0,0,34,45,33,61,98,28,23,46,33.33
93,Viktor Kozlov,WSH,C,81,1423.8,16,38,27,11,54,56.25,219,7.31,21.87,342,293,227,76,11,20,18,8,8,0,0,20,47,46,51,51,32,203,239,45.93
94,Jason Arnott,NSH,C,79,1499.8,28,44,19,25,72,69.90,248,11.29,29.64,411,344,250,109,16,28,54,27,27,0,0,13,30,50,42,53,23,614,646,48.73
95,Brendan Witt,NYI,D,59,1284.5,2,5,3,2,7,18.92,58,3.45,2.35,118,78,25,6,2,7,49,23,22,1,0,12,28,15,135,74,133,0,0,-
96,Saku Koivu,MTL,C,77,1394.5166666667,16,40,25,15,56,65.12,150,10.67,18.22,255,198,197,101,5,18,93,41,39,1,1,31,43,49,41,64,29,701,640,52.27
97,Anders Eriksson,CGY,D,61,1267.8666666667,1,17,5,12,18,31.03,50,2.00,3.09,124,84,24,6,1,11,36,18,18,0,0,10,44,28,63,49,70,0,0,-
98,Todd Bertuzzi,ANA,R,68,1118.9,14,26,14,12,40,56.34,121,11.57,11.96,172,151,119,69,8,9,97,36,31,3,2,34,50,20,66,64,21,50,60,45.45
99,Kevyn Adams,CHI,C,27,295.21666666667,0,2,1,1,2,40.00,32,0.00,2.89,43,39,28,6,1,1,13,5,4,1,0,6,3,9,13,12,11,103,104,49.76
100,Shean Donovan,OTT,R,82,785.43333333333,5,7,4,3,12,48.00,91,5.49,8.21,145,119,92,46,7,10,73,28,24,3,1,26,16,24,68,71,15,11,18,37.93
101,Jay Pandolfo,N.J,L,54,933.25,12,12,4,8,24,77.42,78,15.38,6.48,128,101,68,18,3,8,22,11,11,0,0,6,12,21,32,49,32,3,4,42.86
102,David Vyborny,CBJ,R,66,1021.8166666667,7,19,8,11,26,63.41,106,6.60,10.59,150,127,94,41,5,4,32,16,16,0,0,15,12,25,36,47,23,21,36,36.84
103,Jamie Langenbrunner,N.J,R,64,1171.15,13,28,15,13,41,71.93,152,8.55,15.86,276,215,127,55,11,11,30,15,15,0,0,17,26,24,58,46,15,10,8,55.56
104,Brendan Morrison,VAN,C,39,599.81666666667,9,16,7,9,25,78.13,54,16.67,5.57,100,76,61,30,2,4,18,9,9,0,0,7,20,15,17,19,13,167,203,45.14
105,Bryan McCabe,TOR,D,54,1398.4666666667,5,18,8,10,23,33.82,107,4.67,5.79,238,152,53,6,2,8,81,36,33,3,0,17,52,8,109,54,96,0,0,-
106,Rory Fitzpatrick,PHI,D,19,240.83333333333,0,1,0,1,1,25.00,10,0.00,0.34,20,13,4,0,0,2,11,4,3,1,0,6,6,0,19,21,18,0,0,-
107,Ville Peltonen,FLA,L,56,885.93333333333,5,15,11,4,20,64.52,108,4.63,9.18,166,141,92,36,10,8,20,10,10,0,0,12,28,23,33,69,31,3,13,18.75
108,Vinny Prospal,"PHI, T.B",L,80,1549.8333333333,33,38,27,11,71,70.30,215,15.35,21.57,349,280,221,95,9,18,45,21,20,1,0,19,36,42,76,121,37,146,116,55.73
109,Marek Malik,NYR,D,42,808.11666666667,2,8,4,4,10,32.26,34,5.88,1.41,88,53,16,1,1,3,48,23,23,0,0,6,27,19,40,35,45,0,0,-
110,Jamal Mayers,STL,R,80,1274.5166666667,12,15,12,3,27,81.82,153,7.84,12.62,232,202,102,41,16,6,91,31,23,7,1,20,18,42,101,78,38,384,299,56.22
111,Shawn Bates,NYI,C,2,14.0,0,0,0,0,0,-,0,-,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,3,25.00
112,Miroslav Satan,NYI,R,80,1465.9833333333,16,25,19,6,41,61.19,171,9.36,18.38,352,236,192,93,9,27,39,18,17,1,0,20,51,52,19,73,22,19,19,50.00
113,Nolan Pratt,BUF,D,55,743.81666666667,1,6,4,2,7,31.82,21,4.76,0.64,49,36,5,0,0,3,30,12,10,2,0,8,20,11,55,70,76,0,0,-
114,Scott Walker,CAR,R,58,963.78333333333,14,18,12,6,32,68.09,122,11.48,12.86,216,178,102,52,6,10,115,34,25,5,4,35,16,31,98,70,33,21,27,43.75
115,Alain Nasreddine,PIT,D,6,77.3,0,0,0,0,0,0.00,3,0.00,0.08,6,4,2,0,0,0,4,2,2,0,0,1,1,0,5,5,4,0,0,-
116,Andreas Karlsson,T.B,C,58,560.15,2,2,1,1,4,40.00,31,6.45,2.74,61,47,33,8,1,0,10,5,5,0,0,2,2,14,34,44,30,182,151,54.65
117,Darcy Tucker,TOR,R,74,1216.1166666667,18,16,10,6,34,57.63,152,11.84,17.95,276,222,173,66,6,9,100,28,20,4,4,31,33,19,126,112,52,13,12,52.00
118,Todd Marchant,ANA,C,75,1111.7833333333,9,7,4,3,16,69.57,93,9.68,8.09,149,131,93,41,9,6,48,23,23,0,0,14,16,28,82,78,52,331,342,49.18
119,Andrew Brunette,COL,L,82,1274.6,19,40,25,15,59,72.84,125,15.20,15.46,197,158,141,91,2,23,14,7,7,0,0,21,27,24,14,84,21,3,5,37.50
120,Hal Gill,"PIT, TOR",D,81,1619.55,3,21,6,15,24,41.38,86,3.49,2.96,171,127,32,4,2,6,66,30,28,2,0,11,78,24,127,97,143,0,0,-
121,Mike Grier,S.J,R,78,1264.4166666667,9,13,10,3,22,68.75,132,6.82,10.78,187,167,102,48,9,9,24,9,7,2,0,19,34,33,119,79,58,22,64,25.58
122,Pavol Demitra,MIN,R,68,1338.7333333333,15,39,25,14,54,64.29,126,11.90,12.34,233,187,105,38,7,12,24,12,12,0,0,19,42,26,17,32,48,403,487,45.28
123,Kimmo Timonen,PHI,D,80,1886.1833333333,8,36,12,24,44,41.51,125,6.40,7.68,245,179,53,13,3,17,48,24,24,0,0,9,56,26,64,111,129,0,0,-
124,Scott Nichol,NSH,C,73,968.43333333333,10,8,4,4,18,47.37,101,9.90,8.83,158,139,88,31,13,9,72,29,25,4,0,31,11,39,110,65,35,441,297,59.76
125,Radek Bonk,NSH,C,79,1257.3833333333,14,15,9,6,29,63.04,138,10.14,16.86,218,180,144,86,4,14,40,20,20,0,0,22,28,28,39,59,25,457,422,51.99
126,Greg De Vries,NSH,D,77,1452.1833333333,4,11,3,8,15,24.19,66,6.06,3.07,121,90,24,4,2,7,71,26,23,1,2,11,24,27,72,92,94,0,0,-
127,Petr Sykora,PIT,R,81,1364.1833333333,28,35,22,13,63,65.63,201,13.93,25.21,393,298,218,102,14,25,41,18,17,1,0,12,25,22,26,69,19,9,6,60.00
128,Ed Jovanovski,PHX,D,80,1803.7833333333,12,39,14,25,51,57.30,240,5.00,12.82,457,317,110,16,5,18,73,28,24,3,1,17,42,31,114,136,63,0,0,-
129,Ryan Smyth,COL,L,55,1078.7833333333,14,23,19,4,37,62.71,168,8.33,15.71,247,215,144,87,7,16,50,25,25,0,0,25,38,27,31,94,8,13,20,39.39
130,Wade Belak,"FLA, TOR",R,47,191.58333333333,1,0,0,0,1,20.00,17,5.88,0.9,21,18,12,6,0,2,78,19,9,8,2,10,4,4,41,19,5,0,1,0.00
131,Mattias Ohlund,VAN,D,53,1259.6,9,15,8,7,24,41.38,128,7.03,6.84,257,189,53,12,4,16,79,31,27,3,1,10,34,9,64,93,96,0,0,-
132,Ethan Moreau,EDM,L,25,397.93333333333,5,4,4,0,9,81.82,54,9.26,4.98,96,71,53,14,4,6,39,15,12,3,0,10,16,6,49,24,13,10,13,43.48
133,Wayne Primeau,CGY,C,43,474.85,3,7,4,3,10,76.92,39,7.69,3.9,64,54,40,26,4,6,24,12,12,0,0,5,6,9,36,30,20,51,43,54.26
134,Rhett Warrener,CGY,D,31,416.21666666667,1,3,2,1,4,26.67,15,6.67,0.39,32,21,6,0,1,0,21,9,8,1,0,4,16,7,32,17,18,0,1,0.00
135,Ryan Johnson,STL,C,79,1134.5666666667,5,13,9,4,18,69.23,85,5.88,6.68,143,114,64,27,8,6,22,11,11,0,0,16,14,23,74,66,105,438,365,54.55
136,Curtis Brown,S.J,C,33,356.83333333333,5,4,2,2,9,69.23,38,13.16,4.33,60,49,36,18,3,6,10,5,5,0,0,1,8,7,29,17,20,106,73,59.22
137,Mathieu Dandenault,MTL,R,61,679.21666666667,9,5,3,2,14,73.68,69,13.04,6.84,118,99,68,31,2,4,34,13,12,0,1,4,19,17,70,55,26,0,1,0.00
138,Richard Park,NYI,R,82,1249.0833333333,12,20,11,9,32,65.31,132,9.09,14.32,217,174,131,63,13,12,20,10,10,0,0,25,29,54,43,64,62,314,312,50.16
139,Patrik Elias,N.J,C,74,1366.55,20,35,20,15,55,77.46,263,7.60,21.49,441,343,210,69,14,16,38,17,17,0,0,18,40,38,51,39,20,354,422,45.62
140,Jason Strudwick,NYR,D,52,673.25,1,1,0,1,2,12.50,21,4.76,0.91,45,29,15,2,0,1,40,14,10,4,0,8,21,16,65,73,42,0,0,-
141,Freddy Modin,CBJ,L,23,387.1,6,6,2,4,12,70.59,41,14.63,4.91,85,61,50,24,2,3,20,10,10,0,0,10,7,11,16,18,11,46,57,44.66
142,Sheldon Souray,EDM,D,26,632.88333333333,3,7,2,5,10,40.00,71,4.23,3.71,177,113,23,4,1,12,36,11,8,2,1,4,31,18,29,18,24,0,0,-
143,Chris Drury,NYR,C,82,1623.1333333333,25,33,19,14,58,67.44,220,11.36,26.17,350,293,221,100,9,21,45,21,20,1,0,21,40,64,46,54,76,746,613,54.89
144,Chris Clark,WSH,R,18,304.2,5,4,3,1,9,69.23,29,17.24,4.2,59,48,38,16,0,5,43,16,14,1,1,4,7,4,24,19,7,6,7,46.15
145,Milan Hejduk,COL,R,77,1489.7833333333,29,25,15,10,54,66.67,205,14.15,22.2,320,262,221,92,8,26,36,17,17,0,0,18,33,41,17,104,10,54,82,39.71
146,Brad Lukowich,T.B,D,59,979.73333333333,1,6,2,4,7,30.43,28,3.57,1.1,70,41,17,0,1,4,20,10,10,0,0,11,11,18,153,51,108,0,0,-
147,Bates Battaglia,TOR,L,13,61.9,0,0,0,0,0,-,6,0.00,0.29,8,7,4,1,0,0,7,2,1,1,0,2,1,0,1,5,0,0,1,0.00
148,Daniel Alfredsson,OTT,R,70,1559.9,40,49,28,21,89,78.76,217,18.43,24.81,368,287,216,75,18,16,34,17,17,0,0,29,60,72,55,71,30,21,18,53.85
149,Bryce Salvador,"N.J, STL",D,64,1267.15,1,10,4,6,11,22.00,29,3.45,1.1,68,51,7,1,1,3,52,20,16,4,0,15,26,19,75,93,104,0,1,0.00
