,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
22,Dainius Zubrus,N.J,C,82,1439.5,13,13,5,8,26,53.06,121,10.74,12.23,188,156,118,67,7,12,46,23,23,0,0,13,20,19,107,122,39,216,208,50.94
23,Cory Sarich,COL,D,54,922.78333333333,1,9,1,8,10,27.03,48,2.08,1.44,111,71,21,3,2,6,38,16,14,2,0,5,19,14,107,121,66,0,1,0.00
24,Matt Cullen,NSH,C,77,1193.1833333333,10,29,19,10,39,61.90,134,7.46,13.32,230,173,118,58,7,13,32,15,15,0,0,12,40,30,18,70,22,438,334,56.74
25,Zdeno Chara,BOS,D,77,1898.3166666667,17,23,13,10,40,41.24,168,10.12,12.11,341,240,102,36,5,10,66,25,22,2,1,17,62,20,163,107,104,0,0,-
26,Arron Asham,NYR,R,6,44.883333333333,0,0,0,0,0,-,1,0.00,0.03,2,1,1,0,0,0,14,4,2,2,0,2,2,0,8,2,1,0,0,-
27,Michal Rozsival,CHI,D,42,698.6,1,7,3,4,8,24.24,39,2.56,1.33,75,49,18,4,0,2,32,15,15,0,0,4,24,15,67,122,43,0,0,-
28,Craig Adams,PIT,R,82,1021.7833333333,5,6,5,1,11,57.89,73,6.85,6.72,125,100,57,23,5,9,46,16,13,2,1,11,16,15,190,77,59,61,78,43.88
29,Willie Mitchell,L.A,D,76,1545.1166666667,1,11,2,9,12,21.82,73,1.37,2.79,177,115,39,4,3,7,58,25,24,0,1,7,56,10,102,179,128,0,0,-
30,Sami Salo,T.B,D,71,1291.5,4,13,6,7,17,25.76,81,4.94,4.34,179,128,32,1,0,11,18,9,9,0,0,6,20,17,57,46,66,0,0,-
31,Francis Bouillon,MTL,D,52,919.71666666667,2,4,2,2,6,16.67,34,5.88,1.34,75,47,12,1,0,3,34,14,12,2,0,6,27,7,80,62,70,0,0,-
32,Matt Cooke,MIN,L,82,1263.2666666667,10,18,13,5,28,73.68,104,9.62,8.88,183,138,87,44,6,11,54,23,22,0,1,24,25,34,190,111,61,10,16,38.46
33,Shawn Thornton,BOS,L,64,562.8,5,3,2,1,8,57.14,93,5.38,5.43,150,127,59,24,7,4,74,18,7,10,1,13,10,13,111,40,19,3,6,33.33
34,Joe Thornton,S.J,C,82,1552.35,11,65,36,29,76,67.86,122,9.02,13.24,226,166,129,51,5,19,32,16,16,0,0,21,96,76,54,36,34,617,482,56.14
35,Patrick Marleau,S.J,"C, L",82,1682.8,33,37,23,14,70,66.67,285,11.58,32.89,482,383,298,131,21,34,18,9,9,0,0,11,65,50,85,91,29,163,145,52.92
36,Olli Jokinen,WPG,C,82,1395.9166666667,18,25,19,6,43,72.88,171,10.53,17.61,293,229,149,67,4,11,58,25,24,0,1,10,30,20,120,50,45,612,718,46.02
37,Eric Brewer,T.B,D,77,1351.5833333333,4,13,7,6,17,36.17,83,4.82,4.24,178,127,43,10,3,9,57,24,21,3,0,12,40,17,139,114,99,0,0,-
38,Marian Hossa,CHI,R,72,1315.6166666667,30,30,19,11,60,68.97,242,12.40,24.69,409,300,242,106,10,10,20,10,10,0,0,8,26,75,43,73,26,1,2,33.33
39,Daniel Cleary,DET,R,52,722.75,4,4,3,1,8,53.33,64,6.25,5.19,99,79,43,27,3,7,31,13,12,1,0,9,6,12,51,97,17,12,10,54.55
40,Scott Hannan,S.J,D,56,995.18333333333,3,9,4,5,12,26.67,52,5.77,2.86,105,78,34,10,5,3,55,18,15,1,2,6,23,13,29,76,73,0,0,-
41,Brenden Morrow,STL,L,71,845.08333333333,13,12,8,4,25,65.79,56,23.21,6.9,86,72,63,34,5,1,76,31,28,2,1,21,13,12,110,67,20,9,20,31.03
42,Henrik Tallinder,BUF,D,64,1215.9833333333,2,6,2,4,8,30.77,40,5.00,1.77,94,54,25,6,5,4,34,17,17,0,0,3,32,28,39,95,76,1,0,100.00
43,Joe Corvo,OTT,D,25,438.05,3,7,4,3,10,50.00,54,5.56,2.21,103,73,16,3,2,3,10,5,5,0,0,2,12,5,15,33,24,0,0,-
44,Jason Chimera,WSH,L,82,1264.4166666667,15,27,18,9,42,68.85,167,8.98,16.02,254,212,138,77,8,19,36,18,18,0,0,21,30,25,140,106,30,38,49,43.68
45,Brian Campbell,FLA,D,82,2210.5833333333,7,30,17,13,37,41.57,116,6.03,7.04,279,180,77,11,3,12,20,10,10,0,0,10,45,43,50,130,108,0,1,0.00
46,Mike Mottau,FLA,D,8,101.31666666667,0,0,0,0,0,0.00,1,0.00,0.05,5,2,1,0,0,0,4,2,2,0,0,0,0,1,3,10,5,0,0,-
47,Andrew Ference,EDM,D,71,1495.3,3,15,4,11,18,36.73,77,3.90,2.61,148,99,35,5,3,9,63,27,24,3,0,17,55,13,135,135,108,2,1,66.67
48,Martin St. Louis,"NYR, T.B",R,81,1696.1833333333,30,39,23,16,69,73.40,204,14.71,21.97,370,293,211,96,9,17,10,5,5,0,0,20,53,65,24,77,38,68,99,40.72
49,Pascal Dupuis,PIT,R,39,690.2,7,13,11,2,20,68.97,97,7.22,8.21,161,131,87,37,4,10,8,4,4,0,0,7,11,12,68,33,29,2,4,33.33
50,Dan Boyle,S.J,D,75,1596.2,12,24,12,12,36,49.32,154,7.79,10.39,306,202,101,20,4,11,32,15,15,0,0,14,59,26,46,99,92,0,0,-
51,Vincent Lecavalier,PHI,C,69,1048.1666666667,20,17,12,5,37,75.51,132,15.15,14.34,240,188,120,54,5,10,44,11,7,2,2,10,27,16,77,46,19,200,248,44.64
52,David Legwand,"DET, NSH",C,83,1409.1166666667,14,37,23,14,51,64.56,146,9.59,14.12,220,189,116,57,5,15,61,25,23,1,1,8,42,37,49,57,38,585,571,50.61
53,Brad Stuart,S.J,D,61,1168.9,3,8,4,4,11,27.50,64,4.69,2.68,165,95,30,5,4,5,35,16,15,1,0,14,29,13,122,98,114,0,0,-
54,Bryan Allen,ANA,D,68,1193.4166666667,0,10,0,10,10,17.86,60,0.00,1.73,139,95,24,1,2,7,75,30,25,5,0,11,26,8,121,134,118,0,0,-
55,Manny Malhotra,CAR,C,69,800.06666666667,7,6,4,2,13,52.00,53,13.21,5.4,86,68,49,18,7,5,18,8,8,0,0,7,21,24,82,51,56,566,386,59.45
56,Mike Rupp,MIN,L,13,80.716666666667,0,1,1,0,1,100.00,6,0.00,0.32,11,7,6,0,1,2,23,6,4,1,1,1,2,0,13,6,0,0,3,0.00
57,Alex Tanguay,COL,L,16,275.95,4,7,1,6,11,57.89,24,16.67,2.03,38,28,24,11,0,1,4,2,2,0,0,2,10,9,8,21,8,1,2,33.33
58,Robyn Regehr,L.A,D,79,1497.6333333333,3,11,5,6,14,30.43,73,4.11,2.27,161,106,24,2,1,9,46,20,18,2,0,9,40,5,211,171,96,0,0,-
59,Scott Gomez,FLA,C,46,604.06666666667,2,10,4,6,12,66.67,56,3.57,3.57,88,71,43,8,2,4,24,12,12,0,0,7,15,20,16,33,16,239,276,46.41
60,John Erskine,WSH,D,37,577.1,1,3,2,1,4,19.05,38,2.63,1.22,77,50,7,1,0,4,56,21,18,2,1,11,12,4,64,45,66,0,0,-
61,Mike Fisher,NSH,C,75,1481.85,20,29,16,13,49,61.25,177,11.30,16.87,280,226,144,56,8,20,60,22,19,2,1,9,38,34,144,82,73,596,550,52.01
62,Mike Ribeiro,PHX,C,80,1439.5166666667,16,31,17,14,47,63.51,110,14.55,10.39,176,138,94,53,2,13,52,22,21,0,1,12,46,24,72,86,18,391,512,43.30
63,Brad Richards,NYR,C,82,1532.05,20,31,22,9,51,61.45,259,7.72,22.16,513,364,233,69,12,22,18,8,8,0,0,8,46,33,24,44,43,512,517,49.76
64,Erik Cole,DAL,L,75,1137.0666666667,16,13,7,6,29,61.70,139,11.51,16.81,266,199,159,86,11,14,20,10,10,0,0,19,34,31,89,106,21,19,22,46.34
65,Francois Beauchemin,ANA,D,70,1616.95,4,13,6,7,17,17.71,100,4.00,4.93,225,148,51,11,0,9,37,17,16,1,0,10,51,17,112,72,171,0,0,-
66,Brian Gionta,MTL,R,81,1445.5166666667,18,22,16,6,40,72.73,184,9.78,19.25,336,265,173,81,10,14,22,11,11,0,0,21,21,38,46,119,52,23,37,38.33
67,Shawn Horcoff,DAL,C,77,990.1,7,13,11,2,20,58.82,69,10.14,7.82,111,86,81,44,4,6,52,25,25,0,0,8,17,34,63,39,29,209,208,50.12
68,Krys Barch,FLA,R,55,328.75,0,4,2,2,4,80.00,19,0.00,1.18,31,25,11,3,1,0,99,22,7,13,2,15,2,4,64,29,6,1,0,100.00
69,Rob Scuderi,PIT,D,53,1002.85,0,4,4,0,4,13.33,28,0.00,0.63,50,33,7,0,2,2,2,1,1,0,0,4,21,7,18,45,90,0,0,-
70,Mikael Samuelsson,DET,R,26,269.16666666667,1,2,2,0,3,60.00,36,2.78,2.29,56,46,20,7,4,4,6,3,3,0,0,5,9,4,13,12,3,0,2,0.00
71,Chris Neil,OTT,R,76,897.01666666667,8,6,4,2,14,45.16,99,8.08,11.48,174,134,90,49,3,17,211,61,41,15,5,36,13,16,253,84,18,1,2,33.33
72,Andrei Markov,MTL,D,81,2044.3333333333,7,36,21,15,43,39.09,131,5.34,8.09,292,191,70,19,3,19,34,13,12,0,1,17,82,35,49,82,180,0,0,-
73,Pavel Datsyuk,DET,C,45,912.03333333333,17,20,12,8,37,61.67,126,13.49,11.6,215,165,131,39,3,13,6,3,3,0,0,16,21,59,30,79,22,446,389,53.41
74,Michael Ryder,N.J,R,82,1294.15,18,16,6,10,34,61.82,166,10.84,16.37,290,224,173,66,5,10,18,9,9,0,0,9,20,24,51,112,10,4,8,33.33
75,Jeff Halpern,PHX,C,69,709.75,5,7,3,4,12,70.59,45,11.11,4.16,74,57,48,21,3,6,24,12,12,0,0,14,4,13,65,70,33,296,266,52.67
76,Daniel Sedin,VAN,L,73,1504.2,16,31,20,11,47,68.12,224,7.14,22.93,370,299,221,93,6,25,38,14,13,0,1,27,27,32,37,86,21,8,19,29.63
77,Henrik Sedin,VAN,C,70,1447.0666666667,11,39,19,20,50,72.46,97,11.34,12.66,177,134,116,52,4,9,42,21,21,0,0,19,36,22,43,58,19,574,523,52.32
78,Taylor Pyatt,"NYR, PIT",L,56,648.28333333333,4,1,1,0,5,50.00,52,7.69,5.42,94,77,56,23,4,7,20,10,10,0,0,5,4,12,70,58,28,7,6,53.85
79,Barret Jackman,STL,D,79,1416.25,3,12,5,7,15,25.42,83,3.61,2.58,163,118,29,3,4,8,97,33,26,5,2,20,32,25,96,104,130,0,1,0.00
80,Martin Havlat,S.J,R,48,706.75,12,10,8,2,22,62.86,72,16.67,9.13,138,109,77,43,5,11,10,5,5,0,0,11,34,15,9,39,14,0,4,0.00
81,Nolan Yonkman,ANA,D,2,29.783333333333,0,1,0,1,1,33.33,3,0.00,0.17,6,5,2,0,0,0,0,0,0,0,0,0,0,1,7,3,2,0,0,-
82,Jordan Leopold,STL,D,27,421.16666666667,1,5,3,2,6,42.86,40,2.50,1.37,66,48,15,4,2,0,6,3,3,0,0,5,6,2,8,36,24,0,0,-
83,Adam Hall,PHI,R,80,787.08333333333,4,5,3,2,9,56.25,61,6.56,5.84,103,80,49,18,6,4,23,10,9,1,0,7,6,18,77,66,46,314,213,59.58
84,Matt Carkner,NYI,D,53,635.46666666667,0,3,3,0,3,18.75,50,0.00,1.54,90,66,15,1,3,7,149,41,27,9,5,23,15,9,58,57,59,0,0,-
85,Chris Kelly,BOS,C,57,837.55,9,9,6,3,18,58.06,69,13.04,7.17,122,93,67,25,8,6,32,16,16,0,0,14,12,32,72,54,29,283,296,48.88
86,Brian McGrattan,CGY,R,76,510.5,4,4,3,1,8,57.14,79,5.06,4.13,126,103,41,17,3,9,100,20,5,12,3,22,10,14,82,33,23,2,1,66.67
87,Ryan Malone,T.B,L,57,671.45,5,10,6,4,15,57.69,95,5.26,7.41,140,119,77,42,4,10,67,21,15,5,1,18,23,11,75,52,26,2,5,28.57
88,Derek MacKenzie,CBJ,C,71,799.9,9,9,6,3,18,75.00,70,12.86,6.36,133,102,66,27,7,8,47,16,11,5,0,18,16,24,241,68,32,256,241,51.51
89,Martin Erat,"PHX, WSH",R,70,1027.0833333333,3,26,14,12,29,74.36,53,5.66,6.95,111,90,77,30,1,6,28,14,14,0,0,11,14,16,75,117,25,97,116,45.54
90,Henrik Zetterberg,DET,L,45,924.88333333333,16,32,20,12,48,67.61,151,10.60,12.67,267,212,112,34,10,9,20,10,10,0,0,16,26,28,23,51,15,259,230,52.97
91,Radim Vrbata,PHX,R,80,1436.55,20,31,14,17,51,68.00,263,7.60,23.54,475,377,227,76,17,28,22,10,10,0,0,14,20,41,68,57,27,17,26,39.53
92,George Parros,MTL,R,22,100.1,0,1,0,1,1,33.33,4,0.00,0.3,5,5,4,2,0,0,85,17,5,9,3,12,2,0,14,12,5,0,0,-
93,Radek Martinek,NYI,D,13,201.18333333333,0,3,1,2,3,21.43,12,0.00,0.59,40,23,11,0,2,2,4,2,2,0,0,0,8,5,9,13,9,0,0,-
94,Douglas Murray,MTL,D,53,760.63333333333,0,2,0,2,2,15.38,26,0.00,0.97,70,41,11,1,1,4,42,10,6,2,2,5,17,5,144,94,115,0,0,-
95,Jerred Smithson,TOR,C,18,157.61666666667,0,0,0,0,0,-,2,0.00,0.57,11,8,5,3,1,0,9,3,2,1,0,3,2,2,36,8,9,126,90,58.33
96,Joel Ward,WSH,R,82,1317.8333333333,24,25,9,16,49,72.06,133,18.05,15.77,228,180,163,85,6,18,32,15,15,0,0,17,27,48,54,105,67,90,109,45.23
97,Mark Streit,PHI,D,82,1692.7333333333,10,34,18,16,44,50.57,121,8.26,7.0,279,179,47,9,1,24,44,22,22,0,0,16,41,16,41,115,108,0,0,-
98,Mike Weaver,"FLA, MTL",D,72,1330.7166666667,1,12,2,10,13,28.89,53,1.89,1.91,112,85,22,3,3,9,31,14,13,1,0,20,23,15,121,141,128,1,0,100.00
99,Dany Heatley,MIN,L,76,1126.2166666667,12,16,12,4,28,62.22,110,10.91,13.92,202,156,119,56,1,13,18,9,9,0,0,12,19,21,33,70,30,7,10,41.18
100,Marian Gaborik,"CBJ, L.A",R,41,697.65,11,19,10,9,30,69.77,103,10.68,9.98,175,142,109,43,5,7,10,5,5,0,0,7,15,11,15,44,10,0,2,0.00
101,Rostislav Klesla,PHX,D,25,387.73333333333,1,3,1,2,4,33.33,22,4.55,0.66,47,29,8,0,0,1,24,9,7,2,0,7,4,1,41,34,25,0,0,-
102,Raffi Torres,S.J,L,5,51.8,3,2,1,1,5,100.00,9,33.33,1.04,14,12,11,7,1,0,7,2,1,1,0,5,1,1,9,3,2,2,2,50.00
103,Scott Hartnell,PHI,L,78,1316.7166666667,20,32,19,13,52,54.74,207,9.66,21.57,354,296,205,97,8,20,103,38,33,3,2,38,35,19,155,113,39,4,14,22.22
104,Ron Hainsey,CAR,D,82,1758.0,4,11,5,6,15,27.78,72,5.56,3.78,170,107,51,12,5,7,45,17,15,1,1,12,40,36,96,90,124,0,0,-
105,Brooks Orpik,PIT,D,72,1526.2166666667,2,11,3,8,13,21.67,50,4.00,1.51,127,76,22,2,1,4,46,15,13,0,2,10,32,11,221,122,143,0,0,-
106,Anton Volchenkov,N.J,D,56,939.86666666667,0,8,6,2,8,29.63,42,0.00,1.73,114,75,21,1,0,4,20,10,10,0,0,10,9,9,129,91,91,0,0,-
107,Brad Boyes,FLA,R,78,1329.4333333333,21,15,5,10,36,56.25,176,11.93,18.51,306,251,186,67,9,15,28,12,12,0,0,6,29,38,46,82,35,37,32,53.62
108,Steve Ott,"BUF, STL",C,82,1494.8333333333,9,14,13,1,23,67.65,127,7.09,12.14,199,162,104,48,5,9,92,32,26,4,2,30,28,15,246,81,35,494,423,53.87
109,Justin Williams,L.A,R,82,1390.25,19,24,10,14,43,69.35,239,7.95,26.19,404,339,229,111,7,20,48,24,24,0,0,23,75,25,44,147,21,2,8,20.00
110,Niklas Kronwall,DET,D,79,1920.7166666667,8,41,13,28,49,45.79,110,7.27,7.25,244,170,45,9,0,22,44,22,22,0,0,9,50,25,93,97,154,0,0,-
111,Nick Schultz,"CBJ, EDM",D,69,1125.5166666667,0,5,3,2,5,19.23,35,0.00,1.4,74,53,18,2,2,2,28,14,14,0,0,7,36,2,73,122,132,0,0,-
112,Tomas Kopecky,FLA,R,49,778.45,4,8,6,2,12,60.00,95,4.21,7.76,151,125,73,33,3,14,18,9,9,0,0,13,10,17,31,68,19,8,21,27.59
113,Jarret Stoll,L.A,C,78,1237.3333333333,8,19,14,5,27,61.36,109,7.34,10.92,207,159,102,46,7,15,46,23,23,0,0,9,20,14,202,92,60,678,561,54.72
114,Antoine Vermette,PHX,C,82,1575.35,24,21,12,9,45,57.69,160,15.00,19.46,247,206,161,90,7,15,44,22,22,0,0,20,22,42,90,112,71,1005,778,56.37
115,Paul Martin,PIT,D,39,958.26666666667,3,12,4,8,15,28.30,54,5.56,3.62,114,83,36,8,3,4,10,5,5,0,0,4,17,12,30,74,74,0,0,-
116,Dominic Moore,NYR,C,73,855.28333333333,6,12,8,4,18,69.23,96,6.25,8.48,145,122,78,40,5,11,18,9,9,0,0,15,11,18,62,72,24,354,294,54.63
117,Lubomir Visnovsky,NYI,D,24,492.73333333333,3,8,2,6,11,40.74,34,8.82,2.72,84,46,15,4,1,2,10,5,5,0,0,1,18,15,14,19,26,0,0,-
118,Matt Hendricks,"EDM, NSH",L,77,980.83333333333,5,2,1,1,7,58.33,102,4.90,7.45,160,132,75,32,6,4,112,37,25,12,0,30,14,19,180,91,59,34,29,53.97
119,Travis Moen,MTL,L,65,749.43333333333,2,10,5,5,12,63.16,56,3.57,7.9,103,85,70,46,3,4,49,13,7,5,1,18,11,15,92,69,54,7,1,87.50
120,John-Michael Liles,"CAR, TOR",D,41,805.83333333333,2,7,4,3,9,24.32,56,3.57,3.03,114,77,26,3,3,6,8,4,4,0,0,4,18,14,50,77,80,1,0,100.00
121,Deryk Engelland,PIT,D,56,730.48333333333,6,6,0,6,12,50.00,59,10.17,2.87,89,70,19,10,1,5,58,16,9,6,1,12,13,8,117,109,52,0,0,-
122,Paul Gaustad,NSH,C,75,1035.5,10,11,7,4,21,70.00,74,13.51,8.38,110,90,65,34,4,6,61,22,18,3,1,11,20,25,122,65,55,696,504,58.00
123,Jean-Philippe Cote,T.B,D,19,190.01666666667,0,4,1,3,4,200.00,12,0.00,0.57,33,23,5,2,0,1,22,8,6,2,0,5,2,0,40,20,22,0,0,-
124,Colton Orr,TOR,R,54,290.46666666667,0,0,0,0,0,0.00,12,0.00,1.12,27,22,15,4,1,1,110,22,10,6,6,12,6,3,112,30,10,1,1,50.00
125,Jason Spezza,OTT,C,75,1365.1333333333,23,43,26,17,66,78.57,223,10.31,20.12,392,305,170,64,9,23,46,23,23,0,0,7,68,47,17,54,26,775,661,53.97
126,Stephen Weiss,DET,C,26,383.75,2,2,1,1,4,44.44,28,7.14,2.39,37,32,23,10,0,2,12,6,6,0,0,3,10,13,4,26,10,184,173,51.54
127,Mikko Koivu,MIN,C,65,1360.7333333333,11,43,28,15,54,77.14,147,7.48,12.64,288,216,150,51,9,16,24,12,12,0,0,13,27,49,33,48,32,719,592,54.84
128,Mike Komisarek,CAR,D,32,374.36666666667,0,4,1,3,4,36.36,20,0.00,0.52,51,27,7,1,1,4,14,7,7,0,0,5,16,3,70,32,27,0,0,-
129,Tuomo Ruutu,"CAR, N.J",L,76,1107.0,8,16,6,10,24,58.54,105,7.62,13.73,207,160,117,59,6,14,44,21,21,0,0,25,34,32,216,150,34,14,23,37.84
130,Dan Hamhuis,VAN,D,79,1892.6,5,17,13,4,22,29.73,150,3.33,6.54,308,208,87,13,4,17,26,13,13,0,0,24,69,48,87,127,130,0,0,-
131,Ales Hemsky,"EDM, OTT",R,75,1196.8833333333,13,30,15,15,43,70.49,138,9.42,13.15,235,178,132,59,9,13,24,12,12,0,0,16,42,44,37,108,33,1,3,25.00
132,Chuck Kobasew,PIT,R,33,369.95,2,0,0,0,2,28.57,37,5.41,4.21,68,53,41,19,1,3,15,6,5,1,0,6,9,10,49,45,18,1,1,50.00
133,R.J. Umberger,CBJ,C,74,1196.9666666667,18,16,12,4,34,58.62,136,13.24,14.87,216,174,123,74,7,13,26,13,13,0,0,20,26,31,113,99,36,25,15,62.50
134,Carlo Colaiacovo,STL,D,25,378.81666666667,1,3,3,0,4,36.36,18,5.56,1.0,52,28,11,2,0,2,18,9,9,0,0,4,5,1,29,25,26,0,0,-
135,Marcel Goc,"FLA, PIT",C,74,1208.1833333333,11,14,4,10,25,62.50,117,9.40,10.4,225,170,95,30,3,8,35,12,10,1,1,12,21,21,119,71,43,658,575,53.37
136,Tim Gleason,"CAR, TOR",D,56,931.36666666667,1,5,1,4,6,28.57,43,2.33,1.56,80,51,14,4,1,1,65,24,20,3,1,9,26,9,156,46,88,0,0,-
137,David Steckel,ANA,C,6,65.033333333333,0,0,0,0,0,-,8,0.00,0.58,11,9,6,4,1,0,0,0,0,0,0,0,3,1,15,6,3,44,24,64.71
138,Derek Roy,STL,C,75,1021.5166666667,9,28,16,12,37,71.15,114,7.89,13.68,212,164,125,63,5,11,30,15,15,0,0,12,20,22,13,38,30,219,247,47.00
139,Tim Jackman,"ANA, CGY",R,36,255.66666666667,4,1,0,1,5,62.50,46,8.70,3.71,65,54,30,18,1,3,103,22,8,11,3,13,4,4,69,41,4,2,1,66.67
140,Fedor Tyutin,CBJ,D,69,1477.35,4,22,6,16,26,37.14,87,4.60,5.6,182,134,41,8,4,10,44,22,22,0,0,10,24,16,91,152,89,0,0,-
141,Mike Cammalleri,CGY,L,63,1250.2333333333,26,19,12,7,45,78.95,191,13.61,16.77,343,256,164,57,14,18,26,13,13,0,0,15,42,30,26,37,29,88,103,46.07
142,Chris Thorburn,WPG,R,55,492.36666666667,2,9,4,5,11,61.11,26,7.69,3.28,50,41,27,14,2,0,65,18,10,7,1,8,8,4,108,54,34,20,13,60.61
143,Jason Pominville,MIN,R,82,1524.3833333333,30,30,17,13,60,72.29,226,13.27,21.97,395,311,178,69,11,23,16,8,8,0,0,23,24,37,23,82,31,87,72,54.72
144,Jay McClement,TOR,C,81,1195.7,4,6,5,1,10,45.45,67,5.97,6.58,136,91,78,38,7,5,32,16,16,0,0,11,24,36,141,140,57,676,584,53.65
145,Tomas Plekanec,MTL,C,81,1601.7833333333,20,23,13,10,43,66.15,199,10.05,18.75,373,290,169,57,19,22,38,17,17,0,0,18,37,38,44,78,45,822,891,47.99
146,Jay Harrison,CAR,D,68,1130.6,4,11,4,7,15,31.91,103,3.88,4.19,216,142,38,9,1,15,44,19,17,2,0,11,23,8,141,69,82,0,0,-
147,Stephane Veilleux,MIN,L,34,286.85,3,0,0,0,3,60.00,26,11.54,1.62,43,32,15,4,3,2,21,9,8,1,0,7,2,9,41,26,20,1,1,50.00
148,Patrick Sharp,CHI,L,82,1548.7,34,44,27,17,78,72.22,313,10.86,26.47,567,419,228,92,12,23,40,18,18,0,0,19,25,41,55,125,27,83,69,54.61
