,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
543,8480220,Noah Cates,PHI,L,https://assets.nhle.com/mugs/nhl/20232024/PHI/8480220.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,noahcates,59,814.03333333333,6,12,6,6,18,64.29,78,7.69,8.93,157,113,84,40,5,23,0,0,0,0,0,9,5,33,49,67,35,147,183,44.55
544,8481553,Bobby Brink,PHI,R,https://assets.nhle.com/mugs/nhl/20232024/PHI/8481553.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,bobbybrink,57,786.2,11,12,9,3,23,63.89,81,13.58,11.02,155,114,87,42,4,17,10,5,5,0,0,14,12,10,27,67,24,4,3,57.14
545,8475848,Brendan Gallagher,MTL,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8475848.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,brendangallagher,77,1061.8833333333,16,15,10,5,31,79.49,154,10.39,21.9,296,219,168,100,8,39,64,24,21,2,1,19,27,28,58,60,35,14,20,41.18
546,8481679,Maxence Guenette,OTT,D,https://assets.nhle.com/mugs/nhl/20232024/OTT/8481679.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,maxenceguenette,7,96.516666666667,0,0,0,0,0,0.00,6,0.00,0.19,21,8,8,1,0,3,2,1,1,0,0,0,3,1,6,4,6,0,0,-
547,8477503,Max Domi,TOR,C,https://assets.nhle.com/mugs/nhl/20232024/TOR/8477503.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,maxdomi,80,1102.8,9,38,23,15,47,61.04,137,6.57,11.86,253,190,117,48,12,19,118,34,24,6,4,19,42,26,49,68,22,226,226,50.00
548,8479378,Logan Stanley,WPG,D,https://assets.nhle.com/mugs/nhl/20232024/WPG/8479378.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,loganstanley,25,344.18333333333,1,1,0,1,2,15.38,29,3.45,0.85,69,45,12,1,0,4,36,12,8,4,0,5,15,5,42,31,40,0,0,-
549,8479365,Trent Frederic,BOS,C,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479365.png,https://assets.nhle.com/logos/nhl/svg/BOS_20232024_light.svg,trentfrederic,82,1127.9833333333,18,22,14,8,40,75.47,123,14.63,17.36,230,174,144,72,16,33,69,24,17,7,0,22,28,17,182,107,52,132,159,45.36
550,8481656,Aliaksei Protas,WSH,C,https://assets.nhle.com/mugs/nhl/20232024/WSH/8481656.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,aliakseiprotas,78,1072.2,6,23,13,10,29,60.42,113,5.31,13.54,203,167,110,58,6,26,8,4,4,0,0,10,33,44,29,82,49,42,62,40.38
551,8476374,Sean Kuraly,CBJ,C,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8476374.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,seankuraly,62,851.58333333333,9,9,7,2,18,64.29,93,9.68,8.84,167,126,80,34,6,19,40,20,20,0,0,16,16,16,139,50,34,272,293,48.14
552,8474884,Mike Hoffman,SJS,C,https://assets.nhle.com/mugs/nhl/20232024/SJS/8474884.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,michaelhoffman,66,906.28333333333,10,13,4,9,23,65.71,71,14.08,7.89,160,113,68,24,3,14,20,10,10,0,0,5,12,31,21,30,27,12,20,37.50
