,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
110,8474102,David Perron,L,OTT,36,78.3,22.3,34.6,56.9
111,8478401,Pavel Zacha,C,BOS,27,78.2,22.4,34.4,56.8
112,8483515,Juraj Slafkovsky,L,MTL,20,76.0,21.6,34.7,56.3
113,8475170,Brayden Schenn,C,STL,33,73.4,23.5,32.6,56.1
114,8474679,Gustav Nyquist,C,NSH,35,72.5,17.8,38.2,56.0
115,8479425,Filip Hronek,D,VAN,27,73.6,12.2,43.6,55.8
116,8478975,Mason Marchment,L,DAL,29,81.0,22.1,33.3,55.4
117,8482684,Luke Hughes,D,NJD,21,71.0,10.9,44.4,55.3
118,8482745,Mason McTavish,C,ANA,21,69.8,20.8,34.0,54.8
119,8475794,Tyler Seguin,C,DAL,32,80.9,25.4,29.0,54.4
120,8473994,Jamie Benn,L,DAL,35,81.0,21.0,33.4,54.4
121,8476905,Chandler Stephenson,C,SEA,30,73.9,16.1,38.3,54.4
122,8482109,Alexis Lafrenière,L,NYR,23,73.1,26.3,28.0,54.3
123,8475745,Charlie Coyle,C,BOS,32,77.2,19.5,34.7,54.2
124,8483431,Logan Cooley,C,UTA,20,73.8,22.3,31.6,53.9
125,8475798,Mikael Granlund,C,SJS,32,69.3,13.7,40.2,53.9
126,8479325,Charlie McAvoy,D,BOS,27,72.9,11.3,42.4,53.7
127,8477416,Oliver Bjorkstrand,R,SEA,29,73.1,24.2,29.4,53.6
128,8471724,Kris Letang,D,PIT,37,79.0,12.5,41.1,53.6
129,8481528,Dylan Cozens,C,BUF,23,72.2,21.2,32.3,53.5
130,8482665,Matty Beniers,C,SEA,22,71.2,22.0,31.4,53.4
131,8474586,Jordan Eberle,R,SEA,34,74.2,22.2,31.1,53.3
132,8480015,Owen Tippett,R,PHI,25,75.6,26.9,26.0,52.9
133,8480039,Martin Necas,C,CAR,25,69.2,22.4,30.5,52.9
134,8482113,Anton Lundell,C,FLA,23,75.0,21.0,31.7,52.7
135,8477476,Artturi Lehkonen,L,COL,29,80.0,24.4,28.0,52.4
136,8477494,Jonathan Drouin,L,COL,29,80.0,18.0,34.3,52.3
137,8474150,Mikael Backlund,C,CGY,35,77.6,19.4,32.8,52.2
138,8484166,Adam Fantilli,C,CBJ,20,70.3,21.3,30.8,52.1
139,8477503,Max Domi,C,TOR,29,80.4,14.1,38.0,52.1
140,8477935,Sam Bennett,C,FLA,28,74.6,25.3,26.2,51.5
141,8475726,Tyler Toffoli,C,SJS,32,69.2,25.7,25.7,51.4
142,8477447,Shea Theodore,D,VGK,29,61.4,10.0,41.2,51.2
143,8482159,Tyson Foerster,R,PHI,22,75.5,24.2,26.9,51.1
144,8476479,Phillip Danault,C,LAK,31,79.3,17.7,33.4,51.1
145,8478407,Vince Dunn,D,SEA,28,72.8,11.8,39.2,51.0
146,8478519,Anthony Cirelli,C,TBL,27,81.2,21.3,29.0,50.3
147,8476875,Mike Matheson,D,MTL,30,73.1,11.8,38.5,50.3
148,8478498,Jake DeBrusk,L,VAN,28,72.4,24.1,26.1,50.2
149,8474590,John Carlson,D,WSH,34,67.8,8.8,41.4,50.2
150,8476399,Blake Coleman,C,CGY,33,74.9,26.4,23.4,49.8
151,8478469,Thomas Chabot,D,OTT,27,74.7,12.9,36.6,49.5
152,8484153,Leo Carlsson,C,ANA,20,72.1,19.7,29.4,49.1
153,8482124,Quinton Byfield,R,LAK,22,79.8,17.5,31.2,48.7
154,8476792,Torey Krug,D,STL,33,73.1,14.0,34.7,48.7
155,8478856,Conor Garland,R,VAN,28,73.3,19.0,29.6,48.6
156,8475191,Reilly Smith,R,NYR,33,73.2,20.1,28.4,48.5
157,8476432,Boone Jenner,C,CBJ,31,67.0,27.6,20.5,48.1
158,8477456,J.T. Compher,L,DET,29,79.7,19.3,28.8,48.1
159,8479400,Pierre-Luc Dubois,L,WSH,26,70.7,19.6,28.0,47.6
160,8481533,Trevor Zegras,C,ANA,23,70.8,19.9,27.6,47.5
161,8477497,Sean Monahan,C,CBJ,30,68.2,19.4,28.1,47.5
162,8481711,Matias Maccelli,L,UTA,24,74.1,13.9,33.6,47.5
163,8476882,Teuvo Teravainen,L,CHI,30,68.6,19.9,27.3,47.2
164,8480064,Josh Norris,C,OTT,25,75.8,24.6,22.5,47.1
165,8473986,Alex Killorn,L,ANA,35,70.5,21.8,25.3,47.1
166,8478366,Frank Vatrano,R,ANA,30,71.5,25.7,21.3,47.0
167,8480797,Joel Farabee,L,PHI,24,74.9,16.6,30.3,46.9
168,8475169,Evander Kane,L,EDM,33,74.6,25.5,21.3,46.8
169,8477986,Brandon Montour,D,SEA,30,72.7,13.5,33.3,46.8
170,8478038,Devon Toews,D,COL,30,69.2,9.4,37.0,46.4
171,8475753,Justin Faulk,D,STL,32,71.7,12.5,33.6,46.1
172,8479987,Morgan Geekie,C,BOS,26,77.0,18.8,27.0,45.8
173,8477021,Alex Kerfoot,C,UTA,30,74.7,13.6,32.1,45.7
174,8482110,Dawson Mercer,C,NJD,23,72.3,20.9,24.7,45.6
175,8478462,Nicolas Roy,C,VGK,27,75.0,16.5,29.1,45.6
176,8476880,Tom Wilson,R,WSH,30,69.6,22.8,22.7,45.5
177,8475151,Kyle Palmieri,C,NYI,33,78.1,22.7,22.7,45.4
178,8482720,Matthew Knies,L,TOR,22,79.4,17.8,27.4,45.2
179,8481596,Shane Pinto,C,OTT,24,76.9,16.5,28.2,44.7
180,8478397,Rasmus Andersson,D,CGY,28,73.7,9.1,35.6,44.7
181,8480014,Gabriel Vilardi,C,WPG,25,67.4,24.6,20.0,44.6
182,8477511,Anthony Mantha,R,CGY,30,75.1,20.1,24.4,44.5
183,8477407,Anthony Duclair,L,NYI,29,78.4,19.2,25.2,44.4
184,8482667,William Eklund,L,SJS,22,68.0,18.7,25.6,44.3
185,8483808,Andrei Kuzmenko,L,CGY,28,73.9,20.8,23.4,44.2
186,8478542,Evan Rodrigues,C,FLA,31,75.2,16.1,28.0,44.1
187,8475314,Anders Lee,L,NYI,34,77.7,23.3,20.7,44.0
188,8477451,Ryan Hartman,R,MIN,30,69.1,21.0,23.0,44.0
189,8477426,Nicholas Paul,L,TBL,29,81.3,22.2,21.7,43.9
190,8484145,Zach Benson,L,BUF,19,71.1,17.2,26.5,43.7
191,8477444,Andre Burakovsky,L,SEA,29,69.4,15.6,28.1,43.7
192,8478438,Tommy Novak,C,NSH,27,68.8,15.2,28.5,43.7
193,8477479,Tyler Bertuzzi,L,CHI,29,66.0,17.9,25.7,43.6
194,8480028,Morgan Frost,C,PHI,25,73.9,16.0,27.6,43.6
195,8478474,Lawson Crouse,L,UTA,27,73.0,21.4,22.1,43.5
196,8476462,Dougie Hamilton,D,NJD,31,68.6,13.1,30.4,43.5
197,8477964,Ivan Barbashev,C,VGK,29,75.3,18.2,25.1,43.3
198,8480188,Fabian Zetterlund,L,SJS,25,66.6,18.7,24.4,43.1
199,8478466,Daniel Sprong,R,VAN,27,72.2,19.6,23.2,42.8
200,8474563,Drew Doughty,D,LAK,35,70.7,9.0,33.8,42.8
201,8477932,Aaron Ekblad,D,FLA,28,68.9,13.0,29.6,42.6
202,8474641,Adam Henrique,C,EDM,34,74.5,20.4,22.0,42.4
203,8479992,Michael Rasmussen,C,DET,25,79.0,18.1,24.2,42.3
204,8475768,Jaden Schwartz,C,SEA,32,70.4,17.7,24.6,42.3
205,8480434,Sean Durzi,D,UTA,26,69.9,9.5,32.7,42.2
206,8476906,Shayne Gostisbehere,D,CAR,31,75.4,9.2,32.8,42.0
207,8478233,Andrew Mangiapane,L,WSH,28,67.3,18.7,23.0,41.7
208,8482702,Logan Stankoven,C,DAL,21,80.4,17.3,24.3,41.6
209,8475287,Erik Haula,L,NJD,33,72.5,17.0,24.5,41.5
210,8477346,MacKenzie Weegar,D,CGY,30,73.0,9.5,32.0,41.5
211,8479525,Ross Colton,C,COL,28,79.9,20.1,21.3,41.4
212,8478042,Viktor Arvidsson,R,EDM,31,71.3,18.0,23.3,41.3
213,8481581,Thomas Harley,D,DAL,23,80.9,9.6,31.7,41.3
214,8477998,Warren Foegele,L,LAK,28,79.3,18.5,22.6,41.1
215,8476483,Rickard Rakell,R,PIT,31,68.8,19.5,21.5,41.0
216,8476826,Yanni Gourde,C,SEA,33,71.8,16.1,24.7,40.8
217,8480798,Philipp Kurashev,C,CHI,25,66.6,16.0,24.8,40.8
218,8482092,Ridly Greig,C,OTT,22,75.7,17.3,23.2,40.5
219,8481618,Alex Newhook,C,MTL,23,73.7,17.3,23.1,40.4
220,8479339,Patrik Laine,L,CBJ,26,64.1,16.8,23.6,40.4
221,8474565,Alex Pietrangelo,D,VGK,34,61.6,8.5,31.9,40.4
222,8470613,Brent Burns,D,CAR,39,75.2,10.6,29.7,40.3
223,8482149,Cole Perfetti,C,WPG,22,67.9,17.6,22.6,40.2
224,8476438,Brandon Saad,L,STL,32,69.4,22.3,17.6,39.9
225,8481542,Moritz Seider,D,DET,23,74.8,6.5,33.4,39.9
226,8479345,Jakob Chychrun,D,WSH,26,67.3,14.3,25.5,39.8
227,8478055,Gustav Forsling,D,FLA,28,72.0,9.0,30.8,39.8
228,8478396,Noah Hanifin,D,VGK,27,61.7,10.4,29.3,39.7
229,8479410,Mikhail Sergachev,D,UTA,26,68.1,7.0,32.7,39.7
