,Player,Position,Age,ATOI,Gper1kChunk
1039,Zach Aston-Reese,C,29,11.316819077036607,1.6747061014175415
1040,Ryan Carpenter,C,32,11.31633280340229,3.5022593925922543
1041,Patric Hornqvist,R,36,11.308197519980865,2.394827127456665
1042,Alex Barré-Boulet,C,26,11.30611737339372,6.307390276386992
1043,Adam Beckman,L,22,11.271809538436077,0.7842007279396057
1044,Jesper Boqvist,C,25,11.235858568229496,3.499781351524465
1045,Reese Johnson,C,25,11.231891704763214,2.7233438552102225
1046,Will Cuylle,L,21,11.223056508278017,5.967497377651035
1047,Nicholas Robertson,L,22,11.17485856322042,8.79082946714095
1048,Kevin Rooney,C,30,11.155630344815838,6.347292866860625
1049,Nic Petan,L,28,11.104062804975724,1.0115838050842285
1050,Joe Snively,C,27,11.101421716686268,1.9420143365859985
1051,Anton Levtchi,L,28,11.093057798216952,0.30707427859306335
1052,Keegan Kolesar,R,26,11.092567390545714,3.995796605637923
1053,Jonny Brodzinski,C,30,11.089902136088453,4.972101748723377
1054,Charles Hudon,L,29,11.06710957893135,0.6667553186416626
1055,Dillon Heatherington,D,28,11.050270815822516,0.31996437907218933
1056,Parker Kelly,C,24,11.049773916068279,8.008820507371336
1057,Taylor Fedun,D,35,11.044256022023129,0.34047988057136536
1058,Jaret Anderson-Dolan,C,24,11.005130938360567,2.840183606095035
1059,Adam Erne,L,28,10.997590418018808,3.508669138425846
1060,Nathan Bastian,R,26,10.9814225265835,3.9357200258092853
1061,Denis Malgin,C,26,10.980044306743473,1.6342477798461914
1062,Hayden Hodgson,R,27,10.953843136702787,0.6726435422897339
1063,Carl Grundstrom,R,26,10.94185649399033,7.489538380388073
1064,Jonas Rondbjerg,R,24,10.940982010823875,2.5576415314912344
1065,Connor Dewar,C,24,10.911560209204389,5.6355589571891676
1066,Tyce Thompson,R,24,10.899123763893458,0.6804037690162659
1067,Pavol Regenda,L,24,10.887369111275214,1.0199918746948242
1068,Joel Kiviranta,L,27,10.873459162881765,3.303936369926298
1069,Jack Studnicka,C,24,10.838038257317029,3.5559147290779842
1070,Craig Smith,R,34,10.836259459265968,6.8236829223725595
1071,Marian Studenic,R,25,10.831529804460933,1.484545111656189
1072,Evgeny Svechnikov,R,27,10.829158868045127,1.8516345024108887
1073,Derek Ryan,C,37,10.780066267960137,4.728083891739812
1074,Pontus Holmberg,R,24,10.76576727307891,3.3224658595015932
1075,Gabriel Fortier,L,23,10.755472556698923,0.6312451958656311
1076,Nathan Walker,L,29,10.749768707372079,10.075161460042201
1077,Pierre-Edouard Bellemare,L,38,10.720252610189045,5.924409016347975
1078,Jean-Luc Foudy,C,21,10.718779730627809,0.5968416929244995
1079,Alex Galchenyuk,C,29,10.715566072643655,1.145273208618164
1080,Patrick Brown,C,31,10.714548945350415,1.0106052160263062
1081,Darren Helm,C,36,10.709619610171169,0.8374342918395996
1082,Mathieu Olivier,R,26,10.702699070572486,2.568546268227707
1083,Rourke Chartier,C,27,10.701246283479895,2.4623212305161335
1084,Dylan Holloway,L,22,10.692255211588783,4.75191437720304
1085,Markus Niemelainen,D,25,10.671736496183579,0.3116491138935089
1086,Henrik Borgstrom,C,26,10.657571007765036,0.4069097936153412
1087,Nikita Soshnikov,R,30,10.65199628133496,0.8572905659675598
1088,Byron Froese,C,32,10.618362965764277,1.5982146263122559
1089,Matt Kiersted,D,25,10.59358485207321,0.7538571357727051
1090,Matej Blumel,R,23,10.58495017349426,1.3940621614456177
1091,Buddy Robinson,R,32,10.572720861573293,1.0331594944000244
1092,Adam Ruzicka,C,24,10.543446304934802,4.301245400025728
1093,Sammy Blais,L,27,10.539144937115946,2.3532210290849225
1094,Josh Dunne,C,25,10.502958798581076,0.5597476959228516
1095,Logan Brown,C,25,10.472750861077532,0.966712236404419
1096,Brandon Duhaime,R,26,10.458427097587668,4.248382557435387
1097,Matt Martin,L,34,10.449883319305153,3.5610966999115643
1098,Brendan Gaunce,C,29,10.447920456545207,5.091964828815055
1099,Martin Kaut,R,24,10.442211647015647,1.1084108352661133
1100,Jesper Froden,R,29,10.426082055662983,0.811647891998291
1101,Riley Tufte,L,25,10.423428625955417,6.900039284579439
1102,Olle Lycksell,R,24,10.416721840783264,0.3062400221824646
1103,Grigori Denisenko,L,23,10.400163146670943,0.9417760372161865
1104,Saku Maenalanen,R,29,10.372458117870549,0.6701686382293701
1105,Kieffer Bellows,L,25,10.367080243510568,1.9797626733779907
1106,Tyler Pitlick,R,32,10.357975971780792,2.2663247003944527
1107,Mike Hardman,L,24,10.313897053463037,1.0199744701385498
1108,Matthew Phillips,C,25,10.306026918029405,1.9644481764604393
1109,Steven Lorentz,C,27,10.300953333869197,3.1320251827621726
1110,Chris Tierney,C,29,10.297342588617427,2.36536136882507
1111,Liam O'Brien,C,29,10.29239635103477,2.91313030066647
1112,Ryan Lomberg,L,29,10.286281014748063,4.5497083181158935
1113,Josh Archibald,R,31,10.286046607378445,1.1507596969604492
1114,Colin White,D,46,10.239106865759114,1.3806880712509155
1115,Dylan McIlrath,D,31,10.212306807263136,0.4024509787559509
1116,Matthew Highmore,C,27,10.144715557230924,0.817606508731842
1117,Brett Ritchie,R,30,10.119925089124942,1.8133516311645508
1118,Aidan McDonough,L,24,10.114972370753833,1.472342610359192
1119,Fredrik Olofsson,L,27,10.064145588169387,2.622027399953712
1120,Vinni Lettieri,C,28,10.046687412691936,5.138807394731908
1121,Jayson Megna,C,33,10.041110166329156,0.6635287404060364
1122,Maxime Lajoie,D,26,10.01213860009,0.5527650713920593
1123,Anthony Richard,C,27,9.992547773742272,10.485928540700243
1124,Glenn Gawdin,C,26,9.985972601332513,0.5838639140129089
1125,Matt Luff,R,26,9.983753628075913,1.8980971574783325
1126,Fredrik Karlstrom,C,25,9.979609352768158,0.4280324876308441
1127,Jean-Sebastien Dea,C,29,9.96985209008572,0.949113667011261
1128,Rasmus Kupari,C,23,9.960003813284878,1.3179750442504883
1129,Dryden Hunt,L,28,9.934797831435654,1.4638259410858154
1130,Aleksi Heponiemi,C,24,9.82683495170908,1.4318853616714478
1131,Radim Zohorna,L,27,9.783370464002012,6.521177492864139
1132,Zack Kassian,R,32,9.768353750957282,0.8857871294021606
1133,Austin Czarnik,C,31,9.728205268010123,1.0594642162322998
1134,Sheldon Rempal,R,28,9.725771392489117,14.811095837913635
1135,Carson Meyer,R,26,9.722940677901953,0.985045850276947
1136,Bobby McMann,C,27,9.717833982406994,9.402524929147715
1137,Ben Meyers,C,25,9.656571672286043,5.7710653806097305
1138,Tanner Laczynski,C,26,9.651031865314753,0.34356293082237244
1139,Alex Steeves,C,24,9.65033820532941,0.7643621563911438
1140,Jackson Cates,C,26,9.616957103532046,1.2374365329742432
1141,Dominic Toninato,C,29,9.608370090359381,3.064220764655128
1142,Shane Wright,C,19,9.585791605644019,1.345098614692688
1143,Julien Gauthier,R,26,9.585191511185805,8.23170573405471
1144,Max Willman,C,28,9.566777340342247,3.648392878844522
1145,Derek Stepan,C,33,9.477395778293234,1.698449730873108
1146,Jake Leschyshyn,C,24,9.46486592892997,0.6754053235054016
1147,David Gustafsson,C,23,9.463051229986132,3.238230494892736
1148,Jakub Lauko,C,23,9.376328197872127,3.269766820720873
1149,Jan Jenik,R,23,9.319594440396207,3.091503858566284
1150,Nicolas Deslauriers,L,32,9.305202865753932,1.3228726387023926
1151,Kyle Clifford,L,32,9.266507215580162,1.2953884601593018
1152,Jacob Lucchini,C,28,9.251922665607148,4.025354121754056
1153,Klim Kostin,C,24,9.240785138282504,5.440474005785774
1154,Nathan Smith,C,41,9.224169297667135,0.7790013551712036
1155,John Hayden,L,28,9.220174679222259,3.0756142139434814
1156,Oskar Steen,C,25,9.21192721048464,3.91043860562253
1157,Axel Jonsson-Fjallby,L,25,9.19505305699707,4.572378151004628
1158,Jeffrey Viel,L,26,9.090297320882252,0.9935950040817261
1159,Samuel Fagemo,L,23,9.088117751423427,6.3532948266148495
1160,Zack MacEwen,C,27,8.99697483421142,6.081924921379843
1161,Brendan Lemieux,L,27,8.98395496326073,5.233545882106159
1162,Austin Watson,L,31,8.89625407736716,5.118955063187057
1163,Jansen Harkins,C,26,8.893675406992909,1.551933765411377
1164,Sampo Ranta,L,23,8.892335573987511,0.6704915761947632
1165,A.J. Greer,L,27,8.864925160352927,6.527376643656826
1166,Mikhail Maltsev,L,25,8.862868034787011,0.9706316590309143
1167,William Lockwood,R,25,8.860784925666405,0.7545294761657715
1168,Aatu Raty,C,21,8.793490060598886,1.3244022130966187
1169,Hugh McGing,L,25,8.764943511356547,0.32261520624160767
1170,Cole Bardreau,C,30,8.755988844004577,0.9395202994346619
1171,Wayne Simmonds,R,35,8.722771729633338,1.061337947845459
1172,Ryan Reaves,R,36,8.71421318923602,4.204094204066331
1173,Callahan Burke,C,26,8.657117479722555,0.27539879083633423
1174,Egor Sokolov,L,23,8.650385896336887,2.059354305267334
1175,Devin Shore,C,29,8.645887667544153,3.236527038979819
1176,Walker Duehr,R,26,8.645643557554337,3.4196955146783345
1177,Nikita Alexandrov,C,23,8.643219962311663,1.1194175481796265
1178,Nolan Foote,L,23,8.627282604230242,3.467566728591919
1179,Zac Dalpe,C,34,8.591497672659978,1.5339435338974
1180,Tyler Benson,L,25,8.527067529499831,0.7391555905342102
1181,Andy Andreoff,L,32,8.430020245631393,0.5615655183792114
1182,Joseph Cramarossa,C,31,8.41415569909409,1.924767017364502
1183,Lucas Condotta,C,26,8.314889572667887,8.001582145690918
1184,Michael Pezzetta,L,25,8.31245875965699,4.577200743502326
1185,Joona Koppanen,L,25,8.090392413095763,0.31272828578948975
1186,Adam Raska,R,22,8.077071084162432,0.5622661709785461
1187,James Hamblin,L,24,8.075275523436384,3.3338563709510827
1188,Alex Turcotte,C,22,8.031005063616368,8.286776834295551
1189,Jonah Gadjovich,L,25,7.974976715858977,4.676391580350481
1190,Otto Koivula,L,25,7.9657167340162855,0.5534582138061523
1191,Ross Johnston,L,29,7.954199136388728,0.3666367828845978
1192,Mark Kastelic,C,24,7.920373878879076,4.436452707414883
1193,Cole Koepke,L,25,7.917231783503378,0.9169179797172546
1194,Anton Blidh,L,28,7.861855408891477,0.8140200972557068
1195,Brad Malone,C,34,7.7991232321120005,0.9240177273750305
1196,Milos Kelemen,L,24,7.798431324105157,1.104892611503601
1197,William Bitten,C,25,7.742725745717927,0.32261520624160767
1198,Bokondji Imama,L,27,7.6747253865678475,1.9104344844818115
1199,Givani Smith,R,25,7.653239258468293,3.095681797739595
1200,Justin Kirkland,C,27,7.499082083304736,0.6781939268112183
1201,CJ Suess,L,29,7.4031503765584885,0.31620967388153076
1202,Jonathan Gruden,C,23,7.292500019309349,0.32535502314567566
1203,Kurtis MacDermid,D,29,6.560304373557227,5.379901427986248
1204,Shane Bowers,C,24,6.447275561139368,1.4988523721694946
