,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
477,8478451,Ethan Bear,WSH,D,https://assets.nhle.com/mugs/nhl/20232024/WSH/8478451.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,ethanbear,0,0,0,0,0,0,0,0,0,0,0,46.08,0,0,41.38,0,0,0,0,0,42.00,0,0,43.33,0,0,50.00,0,0,41.11,0,0,14.29,0,0,0,0,0,50.00,8.89,89.24,0.981,0,0,0,0,51.52,0,0,0,56.32
478,8478454,Noah Juulsen,VAN,D,https://assets.nhle.com/mugs/nhl/20232024/VAN/8478454.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,noahjuulsen,0,0,0,0,0,0,0,0,0,0,0,43.30,0,0,39.68,0,0,0,0,0,43.05,0,0,44.49,0,0,45.71,0,0,42.13,0,0,29.41,0,0,0,0,0,40.00,8.14,90.55,0.987,0,0,0,0,29.27,0,0,0,38.60
479,8483808,Andrei Kuzmenko,CGY,L,https://assets.nhle.com/mugs/nhl/20232024/CGY/8483808.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,andreikuzmenko,0,0,0,0,0,0,0,0,0,0,0,59.87,0,0,62.86,0,0,0,0,0,65.63,0,0,65.62,0,0,66.67,0,0,65.64,0,0,48.84,0,0,0,0,0,80.65,13.37,88.21,1.016,0,0,0,0,83.11,0,0,0,76.66
480,8483468,Jiri Kulich,BUF,C,https://assets.nhle.com/mugs/nhl/20232024/BUF/8483468.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,jirikulich,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0.00,0,0,0,0,0,33.33,0,0,50.00,0,0,0.00,0,0,25.00,0,0,-,0,0,0,0,0,-,0.00,75.00,0.750,0,0,0,0,0.00,0,0,0,10.00
481,8471274,Alex Goligoski,MIN,D,https://assets.nhle.com/mugs/nhl/20232024/MIN/8471274.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,alexgoligoski,0,0,0,0,0,0,0,0,0,0,0,50.19,0,0,42.55,0,0,0,0,0,49.24,0,0,48.00,0,0,33.33,0,0,50.00,0,0,56.25,0,0,0,0,0,42.86,7.75,89.45,0.972,0,0,0,0,53.13,0,0,0,53.43
482,8478021,William Lagesson,ANA,D,https://assets.nhle.com/mugs/nhl/20232024/ANA/8478021.png,https://assets.nhle.com/logos/nhl/svg/ANA_20132014-20232024_light.svg,willlagesson,0,0,0,0,0,0,0,0,0,0,0,47.85,0,0,48.78,0,0,0,0,0,46.08,0,0,45.50,0,0,43.48,0,0,46.45,0,0,66.67,0,0,0,0,0,33.33,8.16,92.13,1.003,0,0,0,0,37.40,0,0,0,44.53
483,8479984,Cal Foote,NJD,D,https://assets.nhle.com/mugs/nhl/20232024/NJD/8479984.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,calfoote,0,0,0,0,0,0,0,0,0,0,0,39.13,0,0,80.00,0,0,0,0,0,36.17,0,0,44.44,0,0,100.00,0,0,31.03,0,0,66.67,0,0,0,0,0,-,22.22,96.43,1.187,0,0,0,0,37.50,0,0,0,35.14
484,8477384,Joshua Brown,ARI,D,https://assets.nhle.com/mugs/nhl/20232024/ARI/8477384.png,https://assets.nhle.com/logos/nhl/svg/ARI_20202021-20232024_light.svg,joshbrown,0,0,0,0,0,0,0,0,0,0,0,38.15,0,0,43.53,0,0,0,0,0,35.58,0,0,37.78,0,0,35.14,0,0,34.16,0,0,41.94,0,0,0,0,0,60.00,12.09,90.32,1.024,0,0,0,0,36.05,0,0,0,37.25
485,8482092,Ridly Greig,OTT,C,https://assets.nhle.com/mugs/nhl/20232024/OTT/8482092.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,ridlygreig,0,0,0,0,0,0,0,0,0,0,0,48.43,0,0,51.40,0,0,0,0,0,46.97,0,0,47.11,0,0,52.54,0,0,46.89,0,0,43.48,0,0,0,0,0,54.55,11.13,90.11,1.012,0,0,0,0,55.00,0,0,0,50.08
486,8474612,Travis Hamonic,OTT,D,https://assets.nhle.com/mugs/nhl/20232024/OTT/8474612.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,travishamonic,0,0,0,0,0,0,0,0,0,0,0,40.49,0,0,34.62,0,0,0,0,0,36.83,0,0,42.03,0,0,40.00,0,0,32.81,0,0,26.09,0,0,0,0,0,33.33,9.00,88.44,0.974,0,0,0,0,42.04,0,0,0,45.66
