,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
32,Andrei Markov,MTL,D,44,1978-12-20,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
33,Pavel Datsyuk,DET,C,45,1978-07-20,Sverdlovsk,,RUS,RUS,71,188,1998,DET,6,26,171
34,Daniel Sedin,VAN,L,43,1980-09-26,Ornskoldsvik,,SWE,SWE,73,190,1999,VAN,1,2,2
35,Henrik Sedin,VAN,C,43,1980-09-26,Ornskoldsvik,,SWE,SWE,74,183,1999,VAN,1,3,3
36,Barret Jackman,NSH,D,42,1981-03-05,Trail,BC,CAN,CAN,72,203,1999,STL,1,17,17
37,Martin Havlat,STL,R,42,1981-04-19,Mlada Boleslav,,CZE,CZE,74,210,1999,OTT,1,26,26
38,Chris Kelly,BOS,C,43,1980-11-11,Toronto,ON,CAN,CAN,72,190,1999,OTT,3,28,94
39,Derek MacKenzie,FLA,C,42,1981-06-11,Sudbury,ON,CAN,CAN,71,177,1999,ATL,5,2,128
40,Henrik Zetterberg,DET,L,43,1980-10-09,Njurunda,,SWE,SWE,72,197,1999,DET,7,24,210
41,Radim Vrbata,VAN,R,42,1981-06-13,Mlada Boleslav,,CZE,CZE,73,194,1999,COL,7,26,212
42,Joel Ward,S.J,R,43,1980-12-02,North York,ON,CAN,CAN,73,225,-,-,-,-,-
43,Mark Streit,PHI,D,46,1977-12-11,Bern,,CHE,CHE,71,186,2004,MTL,9,4,262
44,Marian Gaborik,L.A,R,41,1982-02-14,Trencin,,SVK,SVK,73,200,2000,MIN,1,3,3
45,Scott Hartnell,CBJ,L,41,1982-04-18,Regina,SK,CAN,CAN,74,215,2000,NSH,1,6,6
46,Ron Hainsey,CAR,D,42,1981-03-24,Bolton,CT,USA,USA,75,201,2000,MTL,1,13,13
47,Brooks Orpik,WSH,D,43,1980-09-26,San Francisco,CA,USA,USA,75,217,2000,PIT,1,18,18
48,Brad Boyes,TOR,R,41,1982-04-17,Mississauga,ON,CAN,CAN,72,199,2000,TOR,1,24,24
49,Steve Ott,STL,C,41,1982-08-19,Summerside,PE,CAN,CAN,72,193,2000,DAL,1,25,25
50,Justin Williams,WSH,R,42,1981-10-04,Cobourg,ON,CAN,CAN,73,184,2000,PHI,1,28,28
51,Niklas Kronwall,DET,D,42,1981-01-12,Stockholm,,SWE,SWE,72,194,2000,DET,1,29,29
52,Nick Schultz,PHI,D,41,1982-08-25,Strasbourg,SK,CAN,CAN,73,203,2000,MIN,2,3,33
53,Jarret Stoll,"MIN, NYR",C,41,1982-06-24,Melville,SK,CAN,CAN,73,216,2002,EDM,2,6,36
54,Antoine Vermette,ARI,C,41,1982-07-20,St. Agapit,QC,CAN,CAN,73,197,2000,OTT,2,25,55
55,Paul Martin,S.J,D,42,1981-03-05,Minneapolis,MN,USA,USA,73,200,2000,N.J,2,32,62
56,Dominic Moore,NYR,C,43,1980-08-03,Thornhill,ON,CAN,CAN,72,192,2000,NYR,3,30,95
57,Matt Hendricks,EDM,L,42,1981-06-17,Blaine,MN,USA,USA,72,211,2000,NSH,5,1,131
58,Travis Moen,DAL,L,41,1982-04-06,Stewart Valley,SK,CAN,CAN,74,215,2000,CGY,5,25,155
59,John-Michael Liles,"BOS, CAR",D,43,1980-11-25,Indianapolis,IN,USA,USA,70,185,2000,COL,5,29,159
60,Deryk Engelland,CGY,D,41,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,N.J,6,27,194
61,Paul Gaustad,NSH,C,41,1982-02-03,Fargo,ND,USA,USA,77,227,2000,BUF,7,23,220
62,Jason Spezza,DAL,C,40,1983-06-13,Toronto,ON,CAN,CAN,75,219,2001,OTT,1,2,2
63,Mikko Koivu,MIN,C,40,1983-03-12,Turku,,FIN,FIN,75,213,2001,MIN,1,6,6
64,Tuomo Ruutu,N.J,L,40,1983-02-16,Vantaa,,FIN,FIN,72,200,2001,CHI,1,9,9
65,Dan Hamhuis,VAN,D,41,1982-12-13,Smithers,BC,CAN,CAN,73,204,2001,NSH,1,12,12
66,Ales Hemsky,DAL,R,40,1983-08-13,Pardubice,,CZE,CZE,72,177,2001,EDM,1,13,13
67,R.J. Umberger,PHI,C,41,1982-05-03,Pittsburgh,PA,USA,USA,74,214,2001,VAN,1,16,16
68,Carlo Colaiacovo,BUF,D,40,1983-01-27,Toronto,ON,CAN,CAN,73,202,2001,TOR,1,17,17
69,Tim Jackman,ANA,R,42,1981-11-14,Minot,ND,USA,USA,74,188,2001,CBJ,2,8,38
70,Fedor Tyutin,CBJ,D,40,1983-07-19,Izhevsk,,RUS,RUS,74,221,2001,NYR,2,10,40
71,Mike Cammalleri,N.J,L,41,1982-06-08,Toronto,ON,CAN,CAN,69,185,2001,L.A,2,19,49
72,Chris Thorburn,WPG,R,40,1983-06-03,Sault Ste. Marie,ON,CAN,CAN,75,235,2001,BUF,2,20,50
73,Jason Pominville,MIN,R,41,1982-11-30,Repentigny,QC,CAN,USA,72,180,2001,BUF,2,25,55
74,Jay McClement,CAR,C,40,1983-03-02,Kingston,ON,CAN,CAN,73,205,2001,STL,2,27,57
75,Tomas Plekanec,MTL,C,41,1982-10-31,Kladno,,CZE,CZE,71,190,2001,MTL,3,8,71
76,Patrick Sharp,DAL,L,41,1981-12-27,Winnipeg,MB,CAN,CAN,73,200,2001,PHI,3,32,95
77,Jordin Tootoo,N.J,R,40,1983-02-02,Churchill,MB,CAN,CAN,69,195,2001,NSH,4,2,98
78,Christian Ehrhoff,"CHI, L.A",D,41,1982-07-06,Moers,,DEU,DEU,74,201,2001,S.J,4,10,106
79,Kevin Bieksa,ANA,D,42,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,VAN,5,20,151
80,Dennis Seidenberg,BOS,D,42,1981-07-18,Schwenningen,,DEU,DEU,72,199,2001,PHI,6,7,172
81,Marek Zidlicky,NYI,D,46,1977-02-03,Most,,CZE,CZE,71,190,2001,NYR,6,11,176
82,Jussi Jokinen,FLA,L,40,1983-04-01,Kalajoki,,FIN,FIN,72,191,2001,DAL,6,27,192
83,Brooks Laich,"TOR, WSH",C,40,1983-06-23,Wawota,SK,CAN,CAN,74,200,2001,OTT,6,28,193
84,Johnny Oduya,DAL,D,42,1981-10-01,Stockholm,,SWE,SWE,72,191,2001,WSH,7,25,221
85,PA Parenteau,TOR,R,40,1983-03-24,Hull,QC,CAN,CAN,72,200,2001,ANA,9,5,264
86,Vernon Fiddler,DAL,C,43,1980-05-09,Edmonton,AB,CAN,CAN,71,205,-,-,-,-,-
87,Zbynek Michalek,ARI,D,40,1982-12-23,Jindrichuv Hradec,,CZE,CZE,74,210,-,-,-,-,-
88,Dennis Wideman,CGY,D,40,1983-03-20,Kitchener,ON,CAN,CAN,72,202,2002,BUF,8,12,241
89,Tomas Fleischmann,"CHI, MTL",L,39,1984-05-16,Koprivnice,,CZE,CZE,73,192,2002,DET,2,33,63
90,Rick Nash,NYR,R,39,1984-06-16,Brampton,ON,CAN,CAN,76,211,2002,CBJ,1,1,1
91,Valtteri Filppula,T.B,C,39,1984-03-20,Vantaa,,FIN,FIN,72,189,2002,DET,3,32,95
92,Tom Gilbert,MTL,D,40,1983-01-10,Bloomington,MN,USA,USA,74,210,2002,COL,4,33,129
93,Scottie Upshall,STL,R,40,1983-10-07,Fort McMurray,AB,CAN,CAN,72,200,2002,NSH,1,6,6
94,Trevor Daley,"CHI, PIT",D,40,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,DAL,2,13,43
95,Alexander Semin,MTL,R,39,1984-03-03,Krasnojarsk,,RUS,RUS,74,211,2002,WSH,1,13,13
96,Matt Greene,L.A,D,40,1983-05-13,Grand Ledge,MI,USA,USA,75,236,2002,EDM,2,14,44
97,Frans Nielsen,NYI,C,39,1984-04-24,Herning,,DNK,DNK,73,186,2002,NYI,3,24,87
98,Jay Bouwmeester,STL,D,40,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
99,Boyd Gordon,ARI,C,40,1983-10-19,Unity,SK,CAN,CAN,72,200,2002,WSH,1,17,17
100,Matt Stajan,CGY,C,39,1983-12-19,Mississauga,ON,CAN,CAN,73,195,2002,TOR,2,27,57
101,Gregory Campbell,CBJ,C,39,1983-12-17,London,ON,CAN,CAN,72,188,2002,FLA,3,4,67
102,Max Talbot,BOS,C,39,1984-02-11,Lemoyne,QC,CAN,CAN,71,186,2002,PIT,8,5,234
103,Eric Nystrom,NSH,L,40,1983-02-14,Syosset,NY,USA,USA,73,200,2002,CGY,1,10,10
104,Johnny Boychuk,NYI,D,39,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,COL,2,31,61
105,Jiri Hudler,"CGY, FLA",R,39,1984-01-04,Olomouc,,CZE,CZE,70,190,2002,DET,2,28,58
106,Joffrey Lupul,TOR,L,40,1983-09-23,Fort Saskatchewan,AB,CAN,CAN,73,206,2002,ANA,1,7,7
107,James Wisniewski,CAR,D,39,1984-02-21,Canton,MI,USA,USA,71,203,2002,CHI,5,25,156
108,Daniel Paille,NYR,L,39,1984-04-15,Welland,ON,CAN,CAN,73,188,2002,BUF,1,20,20
109,Alexander Steen,STL,L,39,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
110,Chris Higgins,VAN,L,40,1983-06-02,Smithtown,NY,USA,USA,72,205,2002,MTL,1,14,14
111,Duncan Keith,CHI,D,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
112,Nate Guenin,COL,D,41,1982-12-10,Aliquippa,PA,USA,USA,75,207,2002,NYR,4,31,127
113,Jonathan Ericsson,DET,D,39,1984-03-02,Karlskrona,,SWE,SWE,76,218,2002,DET,9,31,291
114,Josh Gorges,BUF,D,39,1984-08-14,Kelowna,BC,CAN,CAN,73,204,-,-,-,-,-
115,Alexandre Burrows,VAN,L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
116,Andre Benoit,STL,D,39,1984-01-06,St. Albert,ON,CAN,CAN,71,190,-,-,-,-,-
117,Chris Kunitz,PIT,L,44,1979-09-26,Regina,SK,CAN,CAN,72,188,-,-,-,-,-
118,Eric Staal,"CAR, NYR",C,39,1984-10-29,Thunder Bay,ON,CAN,CAN,76,195,2003,CAR,1,2,2
119,Thomas Vanek,MIN,L,39,1984-01-19,Vienna,,AUT,AUT,74,214,2003,BUF,1,5,5
120,Milan Michalek,"OTT, TOR",L,39,1984-12-07,Jindrichuv Hradec,,CZE,CZE,74,225,2003,S.J,1,6,6
121,Ryan Suter,MIN,D,38,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
122,Braydon Coburn,T.B,D,38,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,ATL,1,8,8
123,Dion Phaneuf,"OTT, TOR",D,38,1985-04-10,Edmonton,AB,CAN,CAN,75,222,2003,CGY,1,9,9
124,Jeff Carter,L.A,C,38,1985-01-01,London,ON,CAN,CAN,75,219,2003,PHI,1,11,11
125,Dustin Brown,L.A,R,39,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,L.A,1,13,13
126,Brent Seabrook,CHI,D,38,1985-04-20,Richmond,BC,CAN,CAN,75,220,2003,CHI,1,14,14
127,Steve Bernier,NYI,R,38,1985-03-31,Quebec City,QC,CAN,CAN,75,222,2003,S.J,1,16,16
128,Zach Parise,MIN,L,39,1984-07-28,Minneapolis,MN,USA,USA,71,195,2003,N.J,1,17,17
129,Eric Fehr,PIT,C,38,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,WSH,1,18,18
130,Ryan Getzlaf,ANA,C,38,1985-05-10,Regina,SK,CAN,CAN,76,220,2003,ANA,1,19,19
131,Brent Burns,S.J,D,38,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
132,Mark Stuart,WPG,D,39,1984-04-27,Rochester,MN,USA,USA,74,215,2003,BOS,1,21,21
133,Ryan Kesler,ANA,C,39,1984-08-31,Livonia,MI,USA,USA,74,206,2003,VAN,1,23,23
134,Mike Richards,WSH,C,38,1985-02-11,Kenora,ON,CAN,CAN,71,196,2003,PHI,1,24,24
135,Brian Boyle,T.B,C,38,1984-12-18,Hingham,MA,USA,USA,78,245,2003,L.A,1,26,26
136,Corey Perry,ANA,R,38,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
137,Patrick Eaves,DAL,R,39,1984-05-01,Calgary,AB,CAN,USA,70,203,2003,OTT,1,29,29
138,Loui Eriksson,BOS,L,38,1985-07-17,Gothenburg,,SWE,SWE,74,179,2003,DAL,2,3,33
139,Kevin Klein,NYR,D,39,1984-12-13,Kitchener,ON,CAN,CAN,73,206,2003,NSH,2,7,37
140,Patrice Bergeron,BOS,C,38,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,196,2003,BOS,2,15,45
141,Matt Carle,T.B,D,39,1984-09-25,Anchorage,AK,USA,USA,72,197,2003,S.J,2,17,47
142,Shea Weber,NSH,D,38,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
143,Colin McDonald,PHI,R,39,1984-09-30,Wethersfield,CT,USA,USA,74,219,2003,EDM,2,21,51
144,David Backes,STL,R,39,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,STL,2,32,62
145,Clarke MacArthur,OTT,L,38,1985-04-06,Lloydminster,AB,CAN,CAN,72,192,2003,BUF,3,6,74
146,Corey Potter,NSH,D,39,1984-01-05,Lansing,MI,USA,USA,75,204,2003,NYR,4,21,122
147,Kyle Quincey,DET,D,38,1985-08-12,Kitchener,ON,CAN,CAN,74,210,2003,DET,4,31,132
148,Tyson Strachan,MIN,D,39,1984-10-30,Melfort,SK,CAN,CAN,75,210,2003,CAR,5,1,137
149,Lee Stempniak,"BOS, N.J",R,40,1983-02-04,West Seneca,NY,USA,USA,71,195,2003,STL,5,12,148
150,John Mitchell,COL,C,38,1985-01-22,Oakville,ON,CAN,CAN,73,204,2003,TOR,5,22,158
151,Brad Richardson,ARI,"C, R",38,1985-02-04,Belleville,ON,CAN,CAN,72,190,2003,COL,5,27,163
152,Marc Methot,OTT,D,38,1985-06-21,Ottawa,ON,CAN,CAN,76,230,2003,CBJ,6,1,168
153,Nate Thompson,ANA,C,39,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,BOS,6,16,183
154,Drew Miller,DET,L,39,1984-02-17,Dover,NJ,USA,USA,74,183,2003,ANA,6,19,186
155,Joe Pavelski,S.J,C,39,1984-07-11,Plover,WI,USA,USA,71,200,2003,S.J,7,8,205
156,Kyle Brodziak,STL,C,39,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,EDM,7,17,214
157,Toby Enstrom,WPG,D,39,1984-11-05,Nordingra,,SWE,SWE,70,180,2003,ATL,8,10,239
158,Dustin Byfuglien,WPG,D,38,1985-03-27,Roseau,MN,USA,USA,77,260,2003,CHI,8,16,245
159,Matt Moulson,BUF,L,40,1983-11-01,North York,ON,CAN,CAN,73,188,2003,PIT,9,2,263
160,Tanner Glass,NYR,L,40,1983-11-29,Regina,SK,CAN,CAN,73,213,2003,FLA,9,4,265
161,Chris Porter,MIN,L,39,1984-05-29,Toronto,ON,CAN,CAN,73,206,2003,CHI,9,21,282
162,David Jones,"CGY, MIN",R,39,1984-08-10,Guelph,ON,CAN,CAN,75,208,2003,COL,9,27,288
163,Clayton Stoner,ANA,D,38,1985-02-19,Port McNeill,BC,CAN,CAN,76,216,2004,MIN,3,14,79
164,David Clarkson,CBJ,R,39,1984-03-31,Toronto,ON,CAN,CAN,72,207,-,-,-,-,-
165,Mark Giordano,CGY,D,40,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
166,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
167,Evgeni Malkin,PIT,C,37,1986-07-31,Magnitogorsk,,RUS,RUS,75,195,2004,PIT,1,2,2
168,Andrew Ladd,"CHI, WPG",L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
169,Blake Wheeler,WPG,R,37,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
170,Ladislav Smid,CGY,D,37,1986-02-01,Frydlant,,CZE,CZE,76,210,2004,ANA,1,9,9
171,Drew Stafford,WPG,R,38,1985-10-30,Milwaukee,WI,USA,USA,74,215,2004,BUF,1,13,13
172,Kyle Chipchura,ARI,C,37,1986-02-19,Westlock,AB,CAN,CAN,74,203,2004,MTL,1,18,18
173,Lauri Korpikoski,EDM,L,37,1986-07-28,Turku,,FIN,FIN,73,193,2004,NYR,1,19,19
174,Travis Zajac,N.J,C,38,1985-05-13,Winnipeg,MB,CAN,CAN,74,185,2004,N.J,1,20,20
175,Jeff Schultz,L.A,D,37,1986-02-25,Calgary,AB,CAN,CAN,78,225,2004,WSH,1,27,27
176,Mike Green,DET,D,38,1985-10-12,Calgary,AB,CAN,CAN,73,210,2004,WSH,1,29,29
177,Dave Bolland,FLA,C,37,1986-06-05,Mimico,ON,CAN,CAN,72,188,2004,CHI,2,2,32
178,Bryan Bickell,CHI,L,37,1986-03-09,Bowmanville,ON,CAN,CAN,76,223,2004,CHI,2,11,41
179,Blake Comeau,COL,L,37,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,NYI,2,17,47
180,Carl Soderberg,COL,C,38,1985-10-12,Malmö,,SWE,SWE,75,210,2004,STL,2,19,49
181,Nicklas Grossmann,ARI,D,38,1985-01-22,Stockholm,,SWE,SWE,76,230,2004,DAL,2,26,56
182,Brandon Dubinsky,CBJ,C,37,1986-04-29,Anchorage,AK,USA,USA,74,208,2004,NYR,2,30,60
183,Alex Goligoski,DAL,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
184,David Krejci,BOS,C,37,1986-04-28,Sternberk,,CZE,CZE,72,192,2004,BOS,2,33,63
185,Brandon Prust,VAN,L,39,1984-03-16,London,ON,CAN,CAN,72,195,2004,CGY,3,5,70
186,Andrej Sekera,EDM,D,37,1986-06-08,Bojnice,,SVK,SVK,72,200,2004,BUF,3,6,71
187,Alexei Emelin,MTL,D,37,1986-04-25,Togliatti,,RUS,RUS,74,218,2004,MTL,3,19,84
188,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,,SWE,SWE,76,210,2004,VAN,3,26,91
189,Johan Franzen,DET,R,43,1979-12-23,Vetlanda,,SWE,SWE,76,232,2004,DET,3,32,97
190,Tyler Kennedy,N.J,C,37,1986-07-15,Sault Ste. Marie,ON,CAN,CAN,71,185,2004,PIT,4,1,99
191,Kevin Porter,PIT,C,37,1986-03-12,Detroit,MI,USA,USA,72,190,2004,PHX,4,21,119
192,Torrey Mitchell,MTL,C,38,1985-01-30,Greenfield Park,QC,CAN,CAN,71,186,2004,S.J,4,28,126
193,Ryan Callahan,T.B,R,38,1985-03-21,Rochester,NY,USA,USA,70,187,2004,NYR,4,29,127
194,Kris Versteeg,"CAR, L.A",R,37,1986-05-13,Lethbridge,AB,CAN,CAN,71,176,2004,BOS,5,5,134
195,Nikita Nikitin,EDM,D,37,1986-06-16,Omsk,,RUS,RUS,76,217,2004,STL,5,7,136
196,Mikhail Grabovski,NYI,C,39,1984-01-31,Potsdam,,DEU,BLR,71,186,2004,MTL,5,21,150
197,Mike Brown,"MTL, S.J",R,38,1985-06-24,Chicago,IL,USA,USA,71,205,2004,VAN,5,30,159
198,Adam Pardy,"EDM, WPG",D,39,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
199,Mike Santorelli,ANA,C,38,1985-12-14,Vancouver,BC,CAN,CAN,72,189,2004,NSH,6,15,178
200,Roman Polak,"S.J, TOR",D,37,1986-04-28,Ostrava,,CZE,CZE,74,240,2004,STL,6,17,180
201,Troy Brouwer,STL,R,38,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,CHI,7,21,214
202,Matt Hunwick,TOR,D,38,1985-05-21,Warren,MI,USA,USA,71,194,2004,BOS,7,31,224
203,Daniel Winnik,"TOR, WSH",L,38,1985-03-06,Toronto,ON,CAN,CAN,74,210,2004,PHX,9,7,265
204,Adam Cracknell,"EDM, VAN",R,38,1985-07-15,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
205,Jannik Hansen,VAN,R,37,1986-03-15,Rødovre,,DNK,DNK,73,198,2004,VAN,9,29,287
206,Rene Bourque,CBJ,R,42,1981-12-10,Lac La Biche,AB,CAN,CAN,74,217,-,-,-,-,-
207,Cody McLeod,COL,L,39,1984-06-26,Binscarth,MB,CAN,CAN,74,204,-,-,-,-,-
208,Mike Blunden,T.B,R,37,1986-12-15,Toronto,ON,CAN,CAN,76,217,2005,CHI,2,13,43
209,Mason Raymond,CGY,L,38,1985-09-17,Cochrane,AB,CAN,CAN,73,179,2005,VAN,2,21,51
210,Paul Stastny,STL,C,37,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005,COL,2,14,44
211,Sidney Crosby,PIT,C,36,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,PIT,1,1,1
212,Bobby Ryan,OTT,R,36,1987-03-17,Cherry Hill,NJ,USA,USA,74,208,2005,ANA,1,2,2
213,Jack Johnson,CBJ,D,36,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
214,Benoit Pouliot,EDM,L,37,1986-09-29,Alfred,ON,CAN,CAN,75,200,2005,MIN,1,4,4
215,Jack Skille,COL,R,36,1987-05-19,Madison,WI,USA,USA,73,216,2005,CHI,1,7,7
216,Anze Kopitar,L.A,C,36,1987-08-24,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
217,Marc Staal,NYR,D,36,1987-01-13,Thunder Bay,ON,CAN,CAN,76,208,2005,NYR,1,12,12
218,Martin Hanzal,ARI,C,36,1987-02-20,Pisek,,CZE,CZE,78,230,2005,PHX,1,17,17
219,Jakub Kindl,"DET, FLA",D,36,1987-02-10,Sumperk,,CZE,CZE,75,199,2005,DET,1,19,19
220,T.J. Oshie,WSH,R,36,1986-12-23,Everett,WA,USA,USA,72,187,2005,STL,1,24,24
221,Andrew Cogliano,ANA,L,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
222,Matt Niskanen,WSH,D,37,1986-12-06,Virginia,MN,USA,USA,73,203,2005,DAL,1,28,28
223,Steve Downie,ARI,R,36,1987-04-03,Newmarket,ON,CAN,CAN,71,191,2005,PHI,1,29,29
224,James Neal,NSH,"L, R",36,1987-09-03,Whitby,ON,CAN,CAN,75,212,2005,DAL,2,3,33
225,Marc-Edouard Vlasic,S.J,D,36,1987-03-30,Montreal,QC,CAN,CAN,73,205,2005,S.J,2,5,35
226,Taylor Chorney,WSH,D,36,1987-04-27,Thunder Bay,ON,CAN,USA,72,193,2005,EDM,2,6,36
227,Justin Abdelkader,DET,L,36,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,DET,2,12,42
228,Adam McQuaid,BOS,D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
229,Kris Letang,PIT,D,36,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
230,Kris Russell,"CGY, DAL",D,36,1987-05-02,Caroline,AB,CAN,CAN,70,170,2005,CBJ,3,6,67
231,Rich Clune,TOR,L,36,1987-04-25,Toronto,ON,CAN,CAN,70,207,2005,DAL,3,10,71
232,Keith Yandle,NYR,D,37,1986-09-09,Boston,MA,USA,USA,73,192,2005,PHX,4,14,105
233,Cody Franson,BUF,D,36,1987-08-08,Sicamous,BC,CAN,CAN,77,224,2005,NSH,3,18,79
