,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
55,Johnny Oduya,"CHI, DAL",D,42,1981-10-01,Stockholm,,SWE,SWE,72,191,2001,WSH,7,25,221
56,PA Parenteau,"N.J, NSH",R,40,1983-03-24,Hull,QC,CAN,CAN,72,200,2001,ANA,9,5,264
57,Vernon Fiddler,"N.J, NSH","C, L",43,1980-05-09,Edmonton,AB,CAN,CAN,71,205,-,-,-,-,-
58,Zbynek Michalek,ARI,D,40,1982-12-23,Jindrichuv Hradec,,CZE,CZE,74,210,-,-,-,-,-
59,Dennis Wideman,CGY,D,40,1983-03-20,Kitchener,ON,CAN,CAN,72,202,2002,BUF,8,12,241
60,Rick Nash,NYR,"L, R",39,1984-06-16,Brampton,ON,CAN,CAN,76,211,2002,CBJ,1,1,1
61,Valtteri Filppula,"PHI, T.B",C,39,1984-03-20,Vantaa,,FIN,FIN,72,189,2002,DET,3,32,95
62,Tom Gilbert,L.A,D,40,1983-01-10,Bloomington,MN,USA,USA,74,210,2002,COL,4,33,129
63,Scottie Upshall,STL,R,40,1983-10-07,Fort McMurray,AB,CAN,CAN,72,200,2002,NSH,1,6,6
64,Trevor Daley,PIT,D,40,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,DAL,2,13,43
65,Matt Greene,L.A,D,40,1983-05-13,Grand Ledge,MI,USA,USA,75,236,2002,EDM,2,14,44
66,Frans Nielsen,DET,C,39,1984-04-24,Herning,,DNK,DNK,73,186,2002,NYI,3,24,87
67,Jay Bouwmeester,STL,D,40,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
68,Boyd Gordon,PHI,C,40,1983-10-19,Unity,SK,CAN,CAN,72,200,2002,WSH,1,17,17
69,Matt Stajan,CGY,C,39,1983-12-19,Mississauga,ON,CAN,CAN,73,195,2002,TOR,2,27,57
70,Johnny Boychuk,NYI,D,39,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,COL,2,31,61
71,Jiri Hudler,DAL,R,39,1984-01-04,Olomouc,,CZE,CZE,70,190,2002,DET,2,28,58
72,Alexander Steen,STL,L,39,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
73,Duncan Keith,CHI,D,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
74,Jonathan Ericsson,DET,D,39,1984-03-02,Karlskrona,,SWE,SWE,76,218,2002,DET,9,31,291
75,Josh Gorges,BUF,D,39,1984-08-14,Kelowna,BC,CAN,CAN,73,204,-,-,-,-,-
76,Alexandre Burrows,"OTT, VAN",L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
77,Chris Kunitz,PIT,L,44,1979-09-26,Regina,SK,CAN,CAN,72,188,-,-,-,-,-
78,Eric Staal,MIN,C,39,1984-10-29,Thunder Bay,ON,CAN,CAN,76,195,2003,CAR,1,2,2
79,Thomas Vanek,"DET, FLA",L,39,1984-01-19,Vienna,,AUT,AUT,74,214,2003,BUF,1,5,5
80,Milan Michalek,TOR,L,39,1984-12-07,Jindrichuv Hradec,,CZE,CZE,74,225,2003,S.J,1,6,6
81,Ryan Suter,MIN,D,38,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
82,Braydon Coburn,T.B,D,38,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,ATL,1,8,8
83,Dion Phaneuf,OTT,D,38,1985-04-10,Edmonton,AB,CAN,CAN,75,222,2003,CGY,1,9,9
84,Jeff Carter,L.A,C,38,1985-01-01,London,ON,CAN,CAN,75,219,2003,PHI,1,11,11
85,Dustin Brown,L.A,"L, R",39,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,L.A,1,13,13
86,Brent Seabrook,CHI,D,38,1985-04-20,Richmond,BC,CAN,CAN,75,220,2003,CHI,1,14,14
87,Zach Parise,MIN,L,39,1984-07-28,Minneapolis,MN,USA,USA,71,195,2003,N.J,1,17,17
88,Eric Fehr,"PIT, TOR",C,38,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,WSH,1,18,18
89,Ryan Getzlaf,ANA,C,38,1985-05-10,Regina,SK,CAN,CAN,76,220,2003,ANA,1,19,19
90,Brent Burns,S.J,D,38,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
91,Mark Stuart,WPG,D,39,1984-04-27,Rochester,MN,USA,USA,74,215,2003,BOS,1,21,21
92,Ryan Kesler,ANA,C,39,1984-08-31,Livonia,MI,USA,USA,74,206,2003,VAN,1,23,23
93,Brian Boyle,"T.B, TOR",C,38,1984-12-18,Hingham,MA,USA,USA,78,245,2003,L.A,1,26,26
94,Corey Perry,ANA,R,38,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
95,Patrick Eaves,"ANA, DAL",R,39,1984-05-01,Calgary,AB,CAN,USA,70,203,2003,OTT,1,29,29
96,Loui Eriksson,VAN,L,38,1985-07-17,Gothenburg,,SWE,SWE,74,179,2003,DAL,2,3,33
97,Kevin Klein,NYR,D,39,1984-12-13,Kitchener,ON,CAN,CAN,73,206,2003,NSH,2,7,37
98,Patrice Bergeron,BOS,C,38,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,196,2003,BOS,2,15,45
99,Matt Carle,NSH,D,39,1984-09-25,Anchorage,AK,USA,USA,72,197,2003,S.J,2,17,47
100,Shea Weber,MTL,D,38,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
101,Colin McDonald,PHI,R,39,1984-09-30,Wethersfield,CT,USA,USA,74,219,2003,EDM,2,21,51
102,David Backes,BOS,R,39,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,STL,2,32,62
103,Clarke MacArthur,OTT,L,38,1985-04-06,Lloydminster,AB,CAN,CAN,72,192,2003,BUF,3,6,74
104,Kyle Quincey,"CBJ, N.J",D,38,1985-08-12,Kitchener,ON,CAN,CAN,74,210,2003,DET,4,31,132
105,Lee Stempniak,CAR,R,40,1983-02-04,West Seneca,NY,USA,USA,71,195,2003,STL,5,12,148
106,John Mitchell,COL,C,38,1985-01-22,Oakville,ON,CAN,CAN,73,204,2003,TOR,5,22,158
107,Brad Richardson,ARI,R,38,1985-02-04,Belleville,ON,CAN,CAN,72,190,2003,COL,5,27,163
108,Marc Methot,OTT,D,38,1985-06-21,Ottawa,ON,CAN,CAN,76,230,2003,CBJ,6,1,168
109,Nate Thompson,ANA,C,39,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,BOS,6,16,183
110,Drew Miller,DET,L,39,1984-02-17,Dover,NJ,USA,USA,74,183,2003,ANA,6,19,186
111,Joe Pavelski,S.J,C,39,1984-07-11,Plover,WI,USA,USA,71,200,2003,S.J,7,8,205
112,Kyle Brodziak,STL,C,39,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,EDM,7,17,214
113,Toby Enstrom,WPG,D,39,1984-11-05,Nordingra,,SWE,SWE,70,180,2003,ATL,8,10,239
114,Dustin Byfuglien,WPG,D,38,1985-03-27,Roseau,MN,USA,USA,77,260,2003,CHI,8,16,245
115,Matt Moulson,BUF,L,40,1983-11-01,North York,ON,CAN,CAN,73,188,2003,PIT,9,2,263
116,Tanner Glass,NYR,L,40,1983-11-29,Regina,SK,CAN,CAN,73,213,2003,FLA,9,4,265
117,Clayton Stoner,ANA,D,38,1985-02-19,Port McNeill,BC,CAN,CAN,76,216,2004,MIN,3,14,79
118,Mark Giordano,CGY,D,40,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
119,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
120,Evgeni Malkin,PIT,C,37,1986-07-31,Magnitogorsk,,RUS,RUS,75,195,2004,PIT,1,2,2
121,Andrew Ladd,NYI,L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
122,Blake Wheeler,WPG,R,37,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
123,Drew Stafford,"BOS, WPG",R,38,1985-10-30,Milwaukee,WI,USA,USA,74,215,2004,BUF,1,13,13
124,Alexander Radulov,MTL,R,37,1986-07-05,Nizhny Tagil,,RUS,RUS,73,200,2004,NSH,1,15,15
125,Lauri Korpikoski,"CBJ, DAL",L,37,1986-07-28,Turku,,FIN,FIN,73,193,2004,NYR,1,19,19
126,Travis Zajac,N.J,C,38,1985-05-13,Winnipeg,MB,CAN,CAN,74,185,2004,N.J,1,20,20
127,Mike Green,DET,D,38,1985-10-12,Calgary,AB,CAN,CAN,73,210,2004,WSH,1,29,29
128,Bryan Bickell,CAR,L,37,1986-03-09,Bowmanville,ON,CAN,CAN,76,223,2004,CHI,2,11,41
129,Blake Comeau,COL,L,37,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,NYI,2,17,47
130,Carl Soderberg,COL,C,38,1985-10-12,Malmö,,SWE,SWE,75,210,2004,STL,2,19,49
131,Nicklas Grossmann,CGY,D,38,1985-01-22,Stockholm,,SWE,SWE,76,230,2004,DAL,2,26,56
132,Brandon Dubinsky,CBJ,C,37,1986-04-29,Anchorage,AK,USA,USA,74,208,2004,NYR,2,30,60
133,Alex Goligoski,ARI,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
134,David Krejci,BOS,C,37,1986-04-28,Sternberk,,CZE,CZE,72,192,2004,BOS,2,33,63
135,Andrej Sekera,EDM,D,37,1986-06-08,Bojnice,,SVK,SVK,72,200,2004,BUF,3,6,71
136,Alexei Emelin,MTL,D,37,1986-04-25,Togliatti,,RUS,RUS,74,218,2004,MTL,3,19,84
137,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,,SWE,SWE,76,210,2004,VAN,3,26,91
138,Kevin Porter,PIT,C,37,1986-03-12,Detroit,MI,USA,USA,72,190,2004,PHX,4,21,119
139,Torrey Mitchell,MTL,C,38,1985-01-30,Greenfield Park,QC,CAN,CAN,71,186,2004,S.J,4,28,126
140,Ryan Callahan,T.B,R,38,1985-03-21,Rochester,NY,USA,USA,70,187,2004,NYR,4,29,127
141,Kris Versteeg,CGY,R,37,1986-05-13,Lethbridge,AB,CAN,CAN,71,176,2004,BOS,5,5,134
142,Adam Pardy,NSH,D,39,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
143,Roman Polak,TOR,D,37,1986-04-28,Ostrava,,CZE,CZE,74,240,2004,STL,6,17,180
144,Troy Brouwer,CGY,R,38,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,CHI,7,21,214
145,Matt Hunwick,TOR,D,38,1985-05-21,Warren,MI,USA,USA,71,194,2004,BOS,7,31,224
146,Daniel Winnik,WSH,L,38,1985-03-06,Toronto,ON,CAN,CAN,74,210,2004,PHX,9,7,265
147,Adam Cracknell,DAL,R,38,1985-07-15,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
148,Jannik Hansen,"S.J, VAN",R,37,1986-03-15,Rødovre,,DNK,DNK,73,198,2004,VAN,9,29,287
149,Rene Bourque,COL,R,42,1981-12-10,Lac La Biche,AB,CAN,CAN,74,217,-,-,-,-,-
150,Cody McLeod,"COL, NSH",L,39,1984-06-26,Binscarth,MB,CAN,CAN,74,204,-,-,-,-,-
151,Mike Blunden,OTT,R,37,1986-12-15,Toronto,ON,CAN,CAN,76,217,2005,CHI,2,13,43
152,Mason Raymond,ANA,L,38,1985-09-17,Cochrane,AB,CAN,CAN,73,179,2005,VAN,2,21,51
153,Paul Stastny,STL,C,37,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005,COL,2,14,44
154,Sidney Crosby,PIT,C,36,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,PIT,1,1,1
155,Bobby Ryan,OTT,R,36,1987-03-17,Cherry Hill,NJ,USA,USA,74,208,2005,ANA,1,2,2
156,Jack Johnson,CBJ,D,36,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
157,Benoit Pouliot,EDM,L,37,1986-09-29,Alfred,ON,CAN,CAN,75,200,2005,MIN,1,4,4
158,Jack Skille,VAN,R,36,1987-05-19,Madison,WI,USA,USA,73,216,2005,CHI,1,7,7
159,Devin Setoguchi,L.A,R,36,1987-01-01,Taber,AB,CAN,CAN,72,205,2005,S.J,1,8,8
160,Anze Kopitar,L.A,C,36,1987-08-24,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
161,Marc Staal,NYR,D,36,1987-01-13,Thunder Bay,ON,CAN,CAN,76,208,2005,NYR,1,12,12
162,Martin Hanzal,"ARI, MIN",C,36,1987-02-20,Pisek,,CZE,CZE,78,230,2005,PHX,1,17,17
163,Jakub Kindl,FLA,D,36,1987-02-10,Sumperk,,CZE,CZE,75,199,2005,DET,1,19,19
164,T.J. Oshie,WSH,R,36,1986-12-23,Everett,WA,USA,USA,72,187,2005,STL,1,24,24
165,Andrew Cogliano,ANA,"C, L",36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
166,Matt Niskanen,WSH,D,37,1986-12-06,Virginia,MN,USA,USA,73,203,2005,DAL,1,28,28
167,James Neal,NSH,"L, R",36,1987-09-03,Whitby,ON,CAN,CAN,75,212,2005,DAL,2,3,33
168,Marc-Edouard Vlasic,S.J,D,36,1987-03-30,Montreal,QC,CAN,CAN,73,205,2005,S.J,2,5,35
169,Taylor Chorney,WSH,D,36,1987-04-27,Thunder Bay,ON,CAN,USA,72,193,2005,EDM,2,6,36
170,Justin Abdelkader,DET,L,36,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,DET,2,12,42
171,Adam McQuaid,BOS,D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
172,Kris Letang,PIT,D,36,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
173,Kris Russell,EDM,D,36,1987-05-02,Caroline,AB,CAN,CAN,70,170,2005,CBJ,3,6,67
174,Keith Yandle,FLA,D,37,1986-09-09,Boston,MA,USA,USA,73,192,2005,PHX,4,14,105
175,Cody Franson,BUF,D,36,1987-08-08,Sicamous,BC,CAN,CAN,77,224,2005,NSH,3,18,79
176,Vladimir Sobotka,STL,L,36,1987-07-02,Trebic,,CZE,CZE,70,191,2005,BOS,4,15,106
177,Cody Bass,NSH,C,36,1987-01-07,Owen sound,ON,CAN,CAN,72,205,2005,OTT,4,4,95
178,Chris Butler,STL,D,37,1986-10-27,St. Louis,MO,USA,USA,73,196,2005,BUF,4,5,96
179,Chris VandeVelde,PHI,C,36,1987-03-15,Moorhead,MN,USA,USA,74,190,2005,EDM,4,6,97
180,Jared Boll,ANA,R,37,1986-05-13,Charlotte,NC,USA,USA,75,206,2005,CBJ,4,10,101
181,Tom Pyatt,OTT,"C, L",36,1987-02-14,Thunder Bay,ON,CAN,CAN,71,185,2005,NYR,4,16,107
182,Niklas Hjalmarsson,CHI,D,36,1987-06-06,Eksjo,,SWE,SWE,75,197,2005,CHI,4,17,108
183,Darren Helm,DET,C,36,1987-01-21,St. Andrews,MB,CAN,CAN,72,192,2005,DET,5,7,132
184,Cal O'Reilly,BUF,C,37,1986-09-30,Toronto,ON,CAN,CAN,72,188,2005,NSH,5,25,150
185,Mark Fayne,EDM,D,36,1987-05-15,Nashua,NH,USA,USA,75,209,2005,N.J,5,30,155
186,Ryan Reaves,STL,R,36,1987-01-20,Winnipeg,MB,CAN,CAN,74,225,2005,STL,5,31,156
187,Anton Stralman,T.B,D,37,1986-08-01,Tibro,,SWE,SWE,71,193,2005,TOR,7,22,216
188,Patric Hornqvist,PIT,R,36,1987-01-01,Sollentuna,,SWE,SWE,71,189,2005,NSH,7,36,230
189,Andrew Desjardins,CHI,"C, L",37,1986-07-27,Lively,ON,CAN,CAN,73,195,-,-,-,-,-
190,Dan Girardi,NYR,D,39,1984-04-29,Welland,ON,CAN,CAN,73,212,-,-,-,-,-
191,David Desharnais,"EDM, MTL",C,37,1986-09-14,Laurier-Station,QC,CAN,CAN,67,180,-,-,-,-,-
192,Bracken Kearns,NYI,C,42,1981-05-12,North Vancouver,BC,CAN,CAN,72,188,-,-,-,-,-
193,Andy Greene,N.J,D,41,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
194,Stephen Gionta,NYI,R,40,1983-10-09,Rochester,NY,USA,USA,67,177,-,-,-,-,-
195,Bryan Little,WPG,C,36,1987-11-12,Edmonton,AB,CAN,CAN,72,191,2006,ATL,1,12,12
196,Alex Biega,VAN,D,35,1988-04-04,Montreal,QC,CAN,CAN,70,195,2006,BUF,5,24,147
197,Brad Marchand,BOS,L,35,1988-05-11,Halifax,NS,CAN,CAN,69,176,2006,BOS,3,8,71
198,Nick Foligno,CBJ,L,36,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,OTT,1,28,28
199,Derek Dorsett,VAN,R,36,1986-12-20,Kindersley,SK,CAN,CAN,72,192,2006,CBJ,7,6,189
200,Erik Johnson,COL,D,35,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,STL,1,1,1
201,Kyle Okposo,BUF,R,35,1988-04-16,St. Paul,MN,USA,USA,72,218,2006,NYI,1,7,7
202,Trevor Lewis,L.A,C,36,1987-01-08,Salt Lake City,UT,USA,USA,73,201,2006,L.A,1,17,17
203,Leo Komarov,TOR,C,36,1987-01-23,Narva,,EST,FIN,71,205,2006,TOR,6,27,180
204,Jamie McGinn,ARI,L,35,1988-08-05,Fergus,ON,CAN,CAN,73,205,2006,S.J,2,6,36
205,Ryan White,"ARI, MIN",C,35,1988-03-17,Brandon,MB,CAN,CAN,72,200,2006,MTL,3,3,66
206,Eric Gryba,EDM,D,35,1988-04-14,Saskatoon,SK,CAN,CAN,76,222,2006,OTT,3,5,68
207,Milan Lucic,EDM,L,35,1988-06-07,Vancouver,BC,CAN,CAN,75,240,2006,BOS,2,20,50
208,Chris Stewart,MIN,R,36,1987-10-30,Toronto,ON,CAN,CAN,74,242,2006,COL,1,18,18
209,Matt Beleskey,BOS,L,35,1988-06-07,Windsor,ON,CAN,CAN,72,207,2006,ANA,4,19,112
210,Cal Clutterbuck,NYI,R,36,1987-11-18,Welland,ON,CAN,CAN,72,212,2006,MIN,3,9,72
211,Jeff Petry,MTL,D,36,1987-12-09,Ann Arbor,MI,USA,USA,75,209,2006,EDM,2,15,45
212,Claude Giroux,PHI,C,35,1988-01-12,Hearst,ON,CAN,CAN,71,190,2006,PHI,1,22,22
213,Jordan Staal,CAR,C,35,1988-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,PIT,1,2,2
214,Patrik Berglund,STL,C,35,1988-06-02,Västerås,,SWE,SWE,76,215,2006,STL,1,25,25
215,Viktor Stalberg,"CAR, OTT",L,37,1986-01-17,Gothenburg,,SWE,SWE,75,209,2006,TOR,6,8,161
216,Tom Sestito,PIT,L,36,1987-09-28,Rome,NY,USA,USA,77,228,2006,CBJ,3,22,85
217,Derick Brassard,OTT,C,36,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,CBJ,1,6,6
218,Michael Grabner,NYR,R,36,1987-10-05,Villach,,AUT,AUT,73,188,2006,VAN,1,14,14
219,Phil Kessel,PIT,"C, R",36,1987-10-02,Madison,WI,USA,USA,71,208,2006,BOS,1,5,5
220,Korbinian Holzer,ANA,D,35,1988-02-16,Munich,,DEU,DEU,75,213,2006,TOR,4,18,111
221,Nicklas Backstrom,WSH,C,36,1987-11-23,Gävle,,SWE,SWE,73,202,2006,WSH,1,4,4
222,Michael Frolik,CGY,R,35,1988-02-17,Kladno,,CZE,CZE,73,186,2006,FLA,1,10,10
223,Brian Strait,WPG,D,35,1988-01-04,Waltham,MA,USA,USA,73,188,2006,PIT,3,2,65
224,Jamie McBain,ARI,D,35,1988-02-25,Edina,MN,USA,USA,73,195,2006,CAR,2,33,63
225,Artem Anisimov,CHI,C,35,1988-05-24,Yaroslavl,,RUS,RUS,76,199,2006,NYR,2,24,54
226,Shawn Matthias,WPG,L,35,1988-02-19,Mississauga,ON,CAN,CAN,76,231,2006,DET,2,17,47
227,Nikolay Kulemin,NYI,L,37,1986-07-14,Magnitogorsk,,RUS,RUS,73,228,2006,TOR,2,14,44
228,Andrew MacDonald,PHI,D,37,1986-09-07,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
229,Erik Condra,T.B,R,37,1986-08-06,Trenton,MI,USA,USA,71,185,2006,OTT,7,28,211
230,Jonathan Toews,CHI,C,35,1988-04-29,Winnipeg,MB,CAN,CAN,74,201,2006,CHI,1,3,3
231,Mathieu Perreault,WPG,C,35,1988-01-05,Drummondville,QC,CAN,CAN,70,189,2006,WSH,6,24,177
232,David Schlemko,S.J,D,36,1987-05-07,Edmonton,AB,CAN,CAN,73,191,-,-,-,-,-
233,Mark Letestu,EDM,C,38,1985-02-04,Elk Point,AB,CAN,CAN,70,195,-,-,-,-,-
234,Ben Lovejoy,N.J,D,39,1984-02-20,Concord,NH,USA,USA,73,205,-,-,-,-,-
