,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
40,Brian Boyle,"N.J, NSH",C,38,1984-12-18,Hingham,MA,USA,USA,78,245,2003,L.A,1,26,26
41,Corey Perry,ANA,R,38,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
42,Patrick Eaves,ANA,R,39,1984-05-01,Calgary,AB,CAN,USA,70,203,2003,OTT,1,29,29
43,Loui Eriksson,VAN,L,38,1985-07-17,Gothenburg,,SWE,SWE,74,179,2003,DAL,2,3,33
44,Patrice Bergeron,BOS,C,38,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,196,2003,BOS,2,15,45
45,Shea Weber,MTL,D,38,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
46,David Backes,BOS,R,39,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,STL,2,32,62
47,Lee Stempniak,BOS,R,40,1983-02-04,West Seneca,NY,USA,USA,71,195,2003,STL,5,12,148
48,Brad Richardson,ARI,C,38,1985-02-04,Belleville,ON,CAN,CAN,72,190,2003,COL,5,27,163
49,Marc Methot,DAL,D,38,1985-06-21,Ottawa,ON,CAN,CAN,76,230,2003,CBJ,6,1,168
50,Nate Thompson,"L.A, MTL",C,39,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,BOS,6,16,183
51,Joe Pavelski,S.J,C,39,1984-07-11,Plover,WI,USA,USA,71,200,2003,S.J,7,8,205
52,Kyle Brodziak,EDM,C,39,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,EDM,7,17,214
53,Dustin Byfuglien,WPG,D,38,1985-03-27,Roseau,MN,USA,USA,77,260,2003,CHI,8,16,245
54,Mark Giordano,CGY,D,40,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
55,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
56,Evgeni Malkin,PIT,C,37,1986-07-31,Magnitogorsk,,RUS,RUS,75,195,2004,PIT,1,2,2
57,Andrew Ladd,NYI,L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
58,Blake Wheeler,WPG,R,37,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
59,Drew Stafford,N.J,R,38,1985-10-30,Milwaukee,WI,USA,USA,74,215,2004,BUF,1,13,13
60,Alexander Radulov,DAL,R,37,1986-07-05,Nizhny Tagil,,RUS,RUS,73,200,2004,NSH,1,15,15
61,Travis Zajac,N.J,C,38,1985-05-13,Winnipeg,MB,CAN,CAN,74,185,2004,N.J,1,20,20
62,Mike Green,DET,D,38,1985-10-12,Calgary,AB,CAN,CAN,73,210,2004,WSH,1,29,29
63,Blake Comeau,DAL,L,37,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,NYI,2,17,47
64,Carl Soderberg,COL,C,38,1985-10-12,Malmö,,SWE,SWE,75,210,2004,STL,2,19,49
65,Brandon Dubinsky,CBJ,C,37,1986-04-29,Anchorage,AK,USA,USA,74,208,2004,NYR,2,30,60
66,Alex Goligoski,ARI,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
67,David Krejci,BOS,C,37,1986-04-28,Sternberk,,CZE,CZE,72,192,2004,BOS,2,33,63
68,Andrej Sekera,EDM,D,37,1986-06-08,Bojnice,,SVK,SVK,72,200,2004,BUF,3,6,71
69,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,,SWE,SWE,76,210,2004,VAN,3,26,91
70,Ryan Callahan,T.B,R,38,1985-03-21,Rochester,NY,USA,USA,70,187,2004,NYR,4,29,127
71,Roman Polak,DAL,D,37,1986-04-28,Ostrava,,CZE,CZE,74,240,2004,STL,6,17,180
72,Troy Brouwer,FLA,R,38,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,CHI,7,21,214
73,Matt Hunwick,BUF,D,38,1985-05-21,Warren,MI,USA,USA,71,194,2004,BOS,7,31,224
74,Adam Cracknell,ANA,R,38,1985-07-15,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
75,Cody McLeod,"NSH, NYR",L,39,1984-06-26,Binscarth,MB,CAN,CAN,74,204,-,-,-,-,-
76,Paul Stastny,VGK,C,37,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005,COL,2,14,44
77,Sidney Crosby,PIT,C,36,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,PIT,1,1,1
78,Bobby Ryan,OTT,R,36,1987-03-17,Cherry Hill,NJ,USA,USA,74,208,2005,ANA,1,2,2
79,Jack Johnson,PIT,D,36,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
80,Anze Kopitar,L.A,C,36,1987-08-24,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
81,Marc Staal,NYR,D,36,1987-01-13,Thunder Bay,ON,CAN,CAN,76,208,2005,NYR,1,12,12
82,Martin Hanzal,DAL,C,36,1987-02-20,Pisek,,CZE,CZE,78,230,2005,PHX,1,17,17
83,T.J. Oshie,WSH,R,36,1986-12-23,Everett,WA,USA,USA,72,187,2005,STL,1,24,24
84,Andrew Cogliano,"ANA, DAL","C, L",36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
85,Matt Niskanen,WSH,D,37,1986-12-06,Virginia,MN,USA,USA,73,203,2005,DAL,1,28,28
86,James Neal,CGY,L,36,1987-09-03,Whitby,ON,CAN,CAN,75,212,2005,DAL,2,3,33
87,Marc-Edouard Vlasic,S.J,D,36,1987-03-30,Montreal,QC,CAN,CAN,73,205,2005,S.J,2,5,35
88,Justin Abdelkader,DET,L,36,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,DET,2,12,42
89,Adam McQuaid,"CBJ, NYR",D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
90,Kris Letang,PIT,D,36,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
91,Kris Russell,EDM,D,36,1987-05-02,Caroline,AB,CAN,CAN,70,170,2005,CBJ,3,6,67
92,Keith Yandle,FLA,D,37,1986-09-09,Boston,MA,USA,USA,73,192,2005,PHX,4,14,105
93,Vladimir Sobotka,BUF,C,36,1987-07-02,Trebic,,CZE,CZE,70,191,2005,BOS,4,15,106
94,Chris Butler,STL,D,37,1986-10-27,St. Louis,MO,USA,USA,73,196,2005,BUF,4,5,96
95,Tom Pyatt,OTT,L,36,1987-02-14,Thunder Bay,ON,CAN,CAN,71,185,2005,NYR,4,16,107
96,Niklas Hjalmarsson,ARI,D,36,1987-06-06,Eksjo,,SWE,SWE,75,197,2005,CHI,4,17,108
97,Darren Helm,DET,L,36,1987-01-21,St. Andrews,MB,CAN,CAN,72,192,2005,DET,5,7,132
98,Ryan Reaves,VGK,R,36,1987-01-20,Winnipeg,MB,CAN,CAN,74,225,2005,STL,5,31,156
99,Anton Stralman,T.B,D,37,1986-08-01,Tibro,,SWE,SWE,71,193,2005,TOR,7,22,216
100,Patric Hornqvist,PIT,R,36,1987-01-01,Sollentuna,,SWE,SWE,71,189,2005,NSH,7,36,230
101,Dan Girardi,T.B,D,39,1984-04-29,Welland,ON,CAN,CAN,73,212,-,-,-,-,-
102,Andy Greene,N.J,D,41,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
103,Stephen Gionta,NYI,"C, R",40,1983-10-09,Rochester,NY,USA,USA,67,177,-,-,-,-,-
104,Bryan Little,WPG,C,36,1987-11-12,Edmonton,AB,CAN,CAN,72,191,2006,ATL,1,12,12
105,Alex Biega,VAN,D,35,1988-04-04,Montreal,QC,CAN,CAN,70,195,2006,BUF,5,24,147
106,Brad Marchand,BOS,L,35,1988-05-11,Halifax,NS,CAN,CAN,69,176,2006,BOS,3,8,71
107,Nick Foligno,CBJ,L,36,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,OTT,1,28,28
108,Erik Johnson,COL,D,35,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,STL,1,1,1
109,Kyle Okposo,BUF,R,35,1988-04-16,St. Paul,MN,USA,USA,72,218,2006,NYI,1,7,7
110,Trevor Lewis,L.A,C,36,1987-01-08,Salt Lake City,UT,USA,USA,73,201,2006,L.A,1,17,17
111,Leo Komarov,NYI,"C, R",36,1987-01-23,Narva,,EST,FIN,71,205,2006,TOR,6,27,180
112,Jamie McGinn,FLA,L,35,1988-08-05,Fergus,ON,CAN,CAN,73,205,2006,S.J,2,6,36
113,Eric Gryba,N.J,D,35,1988-04-14,Saskatoon,SK,CAN,CAN,76,222,2006,OTT,3,5,68
114,Milan Lucic,EDM,L,35,1988-06-07,Vancouver,BC,CAN,CAN,75,240,2006,BOS,2,20,50
115,Matt Beleskey,NYR,L,35,1988-06-07,Windsor,ON,CAN,CAN,72,207,2006,ANA,4,19,112
116,Cal Clutterbuck,NYI,R,36,1987-11-18,Welland,ON,CAN,CAN,72,212,2006,MIN,3,9,72
117,Jeff Petry,MTL,D,36,1987-12-09,Ann Arbor,MI,USA,USA,75,209,2006,EDM,2,15,45
118,Claude Giroux,PHI,C,35,1988-01-12,Hearst,ON,CAN,CAN,71,190,2006,PHI,1,22,22
119,Jordan Staal,CAR,C,35,1988-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,PIT,1,2,2
120,Patrik Berglund,BUF,C,35,1988-06-02,Västerås,,SWE,SWE,76,215,2006,STL,1,25,25
121,Derick Brassard,"COL, FLA, PIT",C,36,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,CBJ,1,6,6
122,Michael Grabner,ARI,R,36,1987-10-05,Villach,,AUT,AUT,73,188,2006,VAN,1,14,14
123,Phil Kessel,PIT,R,36,1987-10-02,Madison,WI,USA,USA,71,208,2006,BOS,1,5,5
124,Korbinian Holzer,ANA,D,35,1988-02-16,Munich,,DEU,DEU,75,213,2006,TOR,4,18,111
125,Nicklas Backstrom,WSH,C,36,1987-11-23,Gävle,,SWE,SWE,73,202,2006,WSH,1,4,4
126,Michael Frolik,CGY,R,35,1988-02-17,Kladno,,CZE,CZE,73,186,2006,FLA,1,10,10
127,Artem Anisimov,CHI,C,35,1988-05-24,Yaroslavl,,RUS,RUS,76,199,2006,NYR,2,24,54
128,Andrew MacDonald,PHI,D,37,1986-09-07,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
129,Erik Condra,DAL,R,37,1986-08-06,Trenton,MI,USA,USA,71,185,2006,OTT,7,28,211
130,Jonathan Toews,CHI,C,35,1988-04-29,Winnipeg,MB,CAN,CAN,74,201,2006,CHI,1,3,3
131,Mathieu Perreault,WPG,"C, L",35,1988-01-05,Drummondville,QC,CAN,CAN,70,189,2006,WSH,6,24,177
132,David Schlemko,MTL,D,36,1987-05-07,Edmonton,AB,CAN,CAN,73,191,-,-,-,-,-
133,Mark Letestu,CBJ,C,38,1985-02-04,Elk Point,AB,CAN,CAN,70,195,-,-,-,-,-
134,Ben Lovejoy,"DAL, N.J",D,39,1984-02-20,Concord,NH,USA,USA,73,205,-,-,-,-,-
135,Alex Killorn,T.B,L,34,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
136,Karl Alzner,MTL,D,35,1988-09-24,Burnaby,BC,CAN,CAN,75,213,2007,WSH,1,5,5
137,Justin Falk,OTT,D,35,1988-10-11,Snowflake,MB,CAN,CAN,77,223,2007,MIN,4,19,110
138,Jamie Benn,DAL,L,34,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,DAL,5,8,129
139,Steven Kampfer,BOS,D,35,1988-09-24,Ann Arbor,MI,USA,USA,71,198,2007,ANA,4,2,93
140,Paul Carey,"BOS, OTT",C,35,1988-09-24,Boston,MA,USA,USA,73,200,2007,COL,5,14,135
141,Nick Bonino,NSH,C,35,1988-04-20,Hartford,CT,USA,USA,73,195,2007,S.J,6,22,173
142,Ian Cole,COL,D,34,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,STL,1,18,18
143,Eric Tangradi,N.J,L,34,1989-02-10,Philadelphia,PA,USA,USA,76,226,2007,ANA,2,12,42
144,Justin Braun,S.J,D,36,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,S.J,7,20,201
145,Kevin Shattenkirk,NYR,D,34,1989-01-29,New Rochelle,NY,USA,USA,72,212,2007,COL,1,14,14
146,Pat Maroon,STL,L,35,1988-04-23,St. Louis,MO,USA,USA,75,234,2007,PHI,6,10,161
147,James van Riemsdyk,PHI,L,34,1989-05-04,Middletown,NJ,USA,USA,75,208,2007,PHI,1,2,2
148,Paul Byron,MTL,L,34,1989-04-27,Ottawa,ON,CAN,CAN,69,164,2007,BUF,6,28,179
149,Sam Gagner,"EDM, VAN",C,34,1989-08-10,London,ON,CAN,CAN,71,201,2007,EDM,1,6,6
150,Logan Couture,S.J,C,34,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,S.J,1,9,9
151,P.K. Subban,NSH,D,34,1989-05-13,Toronto,ON,CAN,CAN,72,210,2007,MTL,2,13,43
152,Anthony Peluso,CGY,R,34,1989-04-18,North York,ON,CAN,CAN,75,225,2007,STL,6,9,160
153,Riley Nash,CBJ,C,34,1989-05-09,Consort,AB,CAN,CAN,74,188,2007,EDM,1,21,21
154,Thomas Hickey,NYI,D,34,1989-02-08,Calgary,AB,CAN,CAN,72,185,2007,L.A,1,4,4
155,Kyle Turris,NSH,C,34,1989-08-14,New Westminster,BC,CAN,CAN,73,190,2007,PHX,1,3,3
156,Brad Malone,EDM,C,34,1989-05-20,Miramichi,NB,CAN,CAN,74,217,2007,COL,4,14,105
157,Brendan Smith,NYR,D,34,1989-02-08,Mimico,ON,CAN,CAN,74,200,2007,DET,1,27,27
158,Brandon Sutter,VAN,C,34,1989-02-14,Huntington,NY,USA,CAN,75,190,2007,CAR,1,11,11
159,Colton Sceviour,FLA,C,34,1989-04-20,Red Deer,AB,CAN,CAN,72,190,2007,DAL,4,21,112
160,David Perron,STL,L,35,1988-05-28,Sherbrooke,QC,CAN,CAN,73,196,2007,STL,1,26,26
161,Carl Gunnarsson,STL,D,37,1986-11-09,Orebro,,SWE,SWE,74,198,2007,TOR,7,13,194
162,Mario Kempe,ARI,R,35,1988-09-19,Kramfors,,SWE,SWE,72,185,2007,PHI,5,1,122
163,Yannick Weber,NSH,D,35,1988-09-23,Morges,,CHE,CHE,71,200,2007,MTL,3,12,73
164,Patrick Kane,CHI,R,35,1988-11-19,Buffalo,NY,USA,USA,70,177,2007,CHI,1,1,1
165,Robert Bortuzzo,STL,D,34,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,PIT,3,17,78
166,Evgenii Dadonov,FLA,R,34,1989-03-12,Chelyabinsk,,RUS,RUS,71,189,2007,FLA,3,10,71
167,Mikael Backlund,CGY,C,34,1989-03-17,Vasteras,,SWE,SWE,72,206,2007,CGY,1,24,24
168,Ryan McDonagh,T.B,D,34,1989-06-13,St. Paul,MN,USA,USA,73,215,2007,MTL,1,12,12
169,Max Pacioretty,VGK,L,35,1988-11-20,New Canaan,CT,USA,USA,74,217,2007,MTL,1,22,22
170,Jakub Voracek,PHI,R,34,1989-08-15,Kladno,,CZE,CZE,74,216,2007,CBJ,1,7,7
171,Jake Muzzin,"L.A, TOR",D,34,1989-02-21,Woodstock,ON,CAN,CAN,75,227,2007,PIT,5,20,141
172,Alec Martinez,L.A,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
173,Carl Hagelin,"L.A, PIT, WSH",L,35,1988-08-23,Sodertalje,,SWE,SWE,72,183,2007,NYR,6,17,168
174,Lars Eller,WSH,C,34,1989-05-08,Rodovre,,DNK,DNK,74,205,2007,STL,1,13,13
175,Wayne Simmonds,"NSH, PHI",R,35,1988-08-26,Scarborough,ON,CAN,CAN,74,184,2007,L.A,2,31,61
176,Nick Holden,VGK,D,36,1987-05-15,St. Albert,AB,CAN,CAN,76,210,-,-,-,-,-
177,Jason Demers,ARI,D,35,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,S.J,7,5,186
178,Micheal Haley,"FLA, S.J",C,37,1986-03-30,Guelph,ON,CAN,CAN,71,213,-,-,-,-,-
179,Zack Smith,OTT,L,35,1988-04-05,Maple Creek,SK,CAN,CAN,74,208,2008,OTT,3,18,79
180,Jay Beagle,VAN,C,38,1985-10-16,Calgary,AB,CAN,CAN,75,210,-,-,-,-,-
181,Jason Garrison,EDM,D,39,1984-11-13,White Rock,BC,CAN,CAN,73,218,-,-,-,-,-
182,Drew Doughty,L.A,D,34,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
183,Steven Stamkos,T.B,C,33,1990-02-07,Markham,ON,CAN,CAN,72,182,2008,T.B,1,1,1
184,Alex Pietrangelo,STL,D,33,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
185,Zach Bogosian,BUF,D,33,1990-07-15,Massena,NY,USA,USA,74,222,2008,ATL,1,3,3
186,Luke Schenn,"ANA, VAN",D,34,1989-11-02,Saskatoon,SK,CAN,CAN,74,225,2008,TOR,1,5,5
187,Colin Wilson,COL,C,34,1989-10-20,Greenwich,CT,USA,USA,73,215,2008,NSH,1,7,7
188,Mikkel Boedker,OTT,L,33,1989-12-16,Brondby,,DNK,DNK,72,207,2008,PHX,1,8,8
189,Josh Bailey,NYI,R,34,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,NYI,1,9,9
190,Tyler Myers,WPG,D,33,1990-02-01,Houston,TX,USA,CAN,80,229,2008,BUF,1,12,12
191,Erik Karlsson,S.J,D,33,1990-05-31,Landsbro,,SWE,SWE,72,190,2008,OTT,1,15,15
192,Luca Sbisa,NYI,D,33,1990-01-30,Ozieri,,ITA,CHE,74,206,2008,PHI,1,19,19
193,Jake Gardiner,TOR,D,33,1990-07-04,Minnetonka,MN,USA,USA,74,203,2008,ANA,1,17,17
194,Michael Del Zotto,"ANA, STL, VAN",D,33,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,NYR,1,20,20
195,Jordan Eberle,NYI,"C, R",33,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,EDM,1,22,22
196,Tyler Ennis,TOR,"C, L",34,1989-10-06,Edmonton,AB,CAN,CAN,69,160,2008,BUF,1,26,26
197,John Carlson,WSH,D,33,1990-01-10,Natick,MA,USA,USA,75,215,2008,WSH,1,27,27
198,Cody Goloubef,OTT,D,34,1989-11-30,Mississauga,ON,CAN,CAN,73,190,2008,CBJ,2,7,37
199,Roman Josi,NSH,D,33,1990-06-01,Bern,,CHE,CHE,73,201,2008,NSH,2,8,38
200,Justin Schultz,PIT,D,33,1990-07-06,Kelowna,BC,CAN,CAN,74,190,2008,ANA,2,13,43
201,Zac Dalpe,CBJ,C,34,1989-11-01,Paris,ON,CAN,CAN,74,197,2008,CAR,2,15,45
202,Cameron Gaunce,T.B,D,33,1990-03-19,Sudbury,ON,CAN,CAN,74,194,2008,COL,2,20,50
203,Travis Hamonic,CGY,D,33,1990-08-16,St. Malo,MB,CAN,CAN,73,200,2008,NYI,2,23,53
204,Derek Stepan,ARI,C,33,1990-06-18,Hastings,MN,USA,USA,71,196,2008,NYR,2,21,51
205,Marco Scandella,BUF,D,33,1990-02-23,Montreal,QC,CAN,CAN,75,212,2008,MIN,2,25,55
206,Jori Lehtera,PHI,C,35,1987-12-23,Helsinki,,FIN,FIN,74,212,2008,STL,3,4,65
207,Michael Stone,CGY,D,33,1990-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,PHX,3,8,69
208,Adam Henrique,ANA,C,33,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
209,Matt Donovan,NSH,D,33,1990-05-09,Edmond,OK,USA,USA,73,205,2008,NYI,4,5,96
210,Dale Weise,"MTL, PHI",R,35,1988-08-05,Winnipeg,MB,CAN,CAN,74,196,2008,NYR,4,20,111
211,TJ Brodie,CGY,D,33,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,CGY,4,23,114
212,Gustav Nyquist,"DET, S.J","C, R",34,1989-09-01,Halmstad,,SWE,SWE,71,180,2008,DET,4,30,121
213,Derek Grant,"ANA, PIT",C,33,1990-04-20,Abbotsford,BC,CAN,CAN,75,210,2008,OTT,4,28,119
214,Matt Calvert,COL,L,33,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,CBJ,5,6,127
215,Greg Pateryn,MIN,D,33,1990-06-20,Sterling Heights,MI,USA,USA,75,212,2008,TOR,5,7,128
216,Mark Borowiecki,OTT,D,34,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,OTT,5,18,139
217,Matt Martin,NYI,L,34,1989-05-08,Windsor,ON,CAN,CAN,75,220,2008,NYI,5,27,148
218,Cam Atkinson,CBJ,R,34,1989-06-05,Riverside,CT,USA,USA,68,176,2008,CBJ,6,6,157
219,Jared Spurgeon,MIN,D,34,1989-11-29,Edmonton,AB,CAN,CAN,69,166,2008,NYI,6,5,156
220,Mark Barberio,COL,D,33,1990-03-23,Montreal,QC,CAN,CAN,73,200,2008,T.B,6,1,152
221,Luke Witkowski,DET,R,33,1990-04-14,Holland,MI,USA,USA,74,210,2008,T.B,6,9,160
222,Zac Rinaldo,NSH,"C, L",33,1990-06-15,Mississauga,ON,CAN,CAN,70,192,2008,PHI,6,27,178
223,Matt Bartkowski,MIN,D,35,1988-06-04,Pittsburgh,PA,USA,USA,73,201,2008,FLA,7,9,190
224,Dalton Prout,CGY,D,33,1990-03-13,Kingsville,ON,CAN,CAN,75,215,2010,CBJ,6,4,154
225,Jordie Benn,MTL,D,36,1987-07-26,Victoria,BC,CAN,CAN,74,201,-,-,-,-,-
226,Antoine Roussel,VAN,L,34,1989-11-21,Roubaix,,FRA,FRA,71,200,-,-,-,-,-
227,Tyler Johnson,T.B,C,33,1990-07-29,Spokane,WA,USA,USA,68,185,-,-,-,-,-
228,Brian Lashoff,DET,D,33,1990-07-16,Albany,NY,USA,USA,75,215,-,-,-,-,-
229,Mike Hoffman,FLA,L,34,1989-11-24,Kitchener,ON,CAN,CAN,72,190,2009,OTT,5,9,130
230,Tyler Bozak,STL,C,37,1986-03-19,Regina,SK,CAN,CAN,73,187,-,-,-,-,-
231,Marcus Johansson,"BOS, N.J",L,33,1990-10-06,Landskrona,,SWE,SWE,73,203,2009,WSH,1,24,24
232,Kyle Palmieri,N.J,R,32,1991-02-01,Smithtown,NY,USA,USA,71,198,2009,ANA,1,26,26
233,Ryan O'Reilly,STL,C,32,1991-02-07,Clinton,ON,CAN,CAN,73,207,2009,COL,2,3,33
234,Kyle Clifford,L.A,L,32,1991-01-13,Ayr,ON,CAN,CAN,74,217,2009,L.A,2,5,35
235,Alex Chiasson,EDM,R,33,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
