,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
39,Jack Johnson,NYR,D,36,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
40,Anze Kopitar,L.A,C,36,1987-08-24,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
41,Marc Staal,DET,D,36,1987-01-13,Thunder Bay,ON,CAN,CAN,76,208,2005,NYR,1,12,12
42,T.J. Oshie,WSH,R,36,1986-12-23,Everett,WA,USA,USA,72,187,2005,STL,1,24,24
43,Andrew Cogliano,DAL,C,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
44,James Neal,EDM,L,36,1987-09-03,Whitby,ON,CAN,CAN,75,212,2005,DAL,2,3,33
45,Marc-Edouard Vlasic,S.J,D,36,1987-03-30,Montreal,QC,CAN,CAN,73,205,2005,S.J,2,5,35
46,Kris Letang,PIT,D,36,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
47,Kris Russell,EDM,D,36,1987-05-02,Caroline,AB,CAN,CAN,70,170,2005,CBJ,3,6,67
48,Keith Yandle,FLA,D,37,1986-09-09,Boston,MA,USA,USA,73,192,2005,PHX,4,14,105
49,Niklas Hjalmarsson,ARI,D,36,1987-06-06,Eksjo,,SWE,SWE,75,197,2005,CHI,4,17,108
50,Darren Helm,DET,L,36,1987-01-21,St. Andrews,MB,CAN,CAN,72,192,2005,DET,5,7,132
51,Nathan Gerbe,CBJ,C,36,1987-07-24,Oxford,MI,USA,USA,64,176,2005,BUF,5,17,142
52,Ryan Reaves,VGK,R,36,1987-01-20,Winnipeg,MB,CAN,CAN,74,225,2005,STL,5,31,156
53,Anton Stralman,FLA,D,37,1986-08-01,Tibro,,SWE,SWE,71,193,2005,TOR,7,22,216
54,Patric Hornqvist,FLA,R,36,1987-01-01,Sollentuna,,SWE,SWE,71,189,2005,NSH,7,36,230
55,Andy Greene,NYI,D,41,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
56,Alex Biega,DET,D,35,1988-04-04,Montreal,QC,CAN,CAN,70,195,2006,BUF,5,24,147
57,Brad Marchand,BOS,"C, L",35,1988-05-11,Halifax,NS,CAN,CAN,69,176,2006,BOS,3,8,71
58,Nick Foligno,"CBJ, TOR",L,36,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,OTT,1,28,28
59,Erik Johnson,COL,D,35,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,STL,1,1,1
60,Kyle Okposo,BUF,R,35,1988-04-16,St. Paul,MN,USA,USA,72,218,2006,NYI,1,7,7
61,Trevor Lewis,WPG,C,36,1987-01-08,Salt Lake City,UT,USA,USA,73,201,2006,L.A,1,17,17
62,Leo Komarov,NYI,R,36,1987-01-23,Narva,,EST,FIN,71,205,2006,TOR,6,27,180
63,Milan Lucic,CGY,L,35,1988-06-07,Vancouver,BC,CAN,CAN,75,240,2006,BOS,2,20,50
64,Cal Clutterbuck,NYI,R,36,1987-11-18,Welland,ON,CAN,CAN,72,212,2006,MIN,3,9,72
65,Jeff Petry,MTL,D,36,1987-12-09,Ann Arbor,MI,USA,USA,75,209,2006,EDM,2,15,45
66,Claude Giroux,PHI,C,35,1988-01-12,Hearst,ON,CAN,CAN,71,190,2006,PHI,1,22,22
67,Jordan Staal,CAR,C,35,1988-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,PIT,1,2,2
68,Derick Brassard,ARI,C,36,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,CBJ,1,6,6
69,Phil Kessel,ARI,R,36,1987-10-02,Madison,WI,USA,USA,71,208,2006,BOS,1,5,5
70,Nicklas Backstrom,WSH,C,36,1987-11-23,Gävle,,SWE,SWE,73,202,2006,WSH,1,4,4
71,Michael Frolik,MTL,R,35,1988-02-17,Kladno,,CZE,CZE,73,186,2006,FLA,1,10,10
72,Artem Anisimov,OTT,C,35,1988-05-24,Yaroslavl,,RUS,RUS,76,199,2006,NYR,2,24,54
73,Mathieu Perreault,WPG,L,35,1988-01-05,Drummondville,QC,CAN,CAN,70,189,2006,WSH,6,24,177
74,Alex Killorn,T.B,L,34,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
75,Jamie Benn,DAL,L,34,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,DAL,5,8,129
76,Steven Kampfer,BOS,D,35,1988-09-24,Ann Arbor,MI,USA,USA,71,198,2007,ANA,4,2,93
77,Nick Bonino,MIN,C,35,1988-04-20,Hartford,CT,USA,USA,73,195,2007,S.J,6,22,173
78,Ian Cole,"COL, MIN",D,34,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,STL,1,18,18
79,Justin Braun,PHI,D,36,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,S.J,7,20,201
80,Kevin Shattenkirk,ANA,D,34,1989-01-29,New Rochelle,NY,USA,USA,72,212,2007,COL,1,14,14
81,Pat Maroon,T.B,L,35,1988-04-23,St. Louis,MO,USA,USA,75,234,2007,PHI,6,10,161
82,James van Riemsdyk,PHI,L,34,1989-05-04,Middletown,NJ,USA,USA,75,208,2007,PHI,1,2,2
83,Paul Byron,MTL,L,34,1989-04-27,Ottawa,ON,CAN,CAN,69,164,2007,BUF,6,28,179
84,Sam Gagner,DET,C,34,1989-08-10,London,ON,CAN,CAN,71,201,2007,EDM,1,6,6
85,Logan Couture,S.J,C,34,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,S.J,1,9,9
86,P.K. Subban,N.J,D,34,1989-05-13,Toronto,ON,CAN,CAN,72,210,2007,MTL,2,13,43
87,Riley Nash,CBJ,C,34,1989-05-09,Consort,AB,CAN,CAN,74,188,2007,EDM,1,21,21
88,Thomas Hickey,NYI,D,34,1989-02-08,Calgary,AB,CAN,CAN,72,185,2007,L.A,1,4,4
89,Kyle Turris,EDM,C,34,1989-08-14,New Westminster,BC,CAN,CAN,73,190,2007,PHX,1,3,3
90,Brendan Smith,NYR,D,34,1989-02-08,Mimico,ON,CAN,CAN,74,200,2007,DET,1,27,27
91,Brandon Sutter,VAN,C,34,1989-02-14,Huntington,NY,USA,CAN,75,190,2007,CAR,1,11,11
92,Colton Sceviour,PIT,"C, R",34,1989-04-20,Red Deer,AB,CAN,CAN,72,190,2007,DAL,4,21,112
93,David Perron,STL,L,35,1988-05-28,Sherbrooke,QC,CAN,CAN,73,196,2007,STL,1,26,26
94,Carl Gunnarsson,STL,D,37,1986-11-09,Orebro,,SWE,SWE,74,198,2007,TOR,7,13,194
95,Yannick Weber,PIT,D,35,1988-09-23,Morges,,CHE,CHE,71,200,2007,MTL,3,12,73
96,Patrick Kane,CHI,R,35,1988-11-19,Buffalo,NY,USA,USA,70,177,2007,CHI,1,1,1
97,Robert Bortuzzo,STL,D,34,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,PIT,3,17,78
98,Evgenii Dadonov,OTT,R,34,1989-03-12,Chelyabinsk,,RUS,RUS,71,189,2007,FLA,3,10,71
99,Mikael Backlund,CGY,C,34,1989-03-17,Vasteras,,SWE,SWE,72,206,2007,CGY,1,24,24
100,Ryan McDonagh,T.B,D,34,1989-06-13,St. Paul,MN,USA,USA,73,215,2007,MTL,1,12,12
101,Max Pacioretty,VGK,L,35,1988-11-20,New Canaan,CT,USA,USA,74,217,2007,MTL,1,22,22
102,Jakub Voracek,PHI,R,34,1989-08-15,Kladno,,CZE,CZE,74,216,2007,CBJ,1,7,7
103,Jake Muzzin,TOR,D,34,1989-02-21,Woodstock,ON,CAN,CAN,75,227,2007,PIT,5,20,141
104,Alec Martinez,VGK,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
105,Carl Hagelin,WSH,L,35,1988-08-23,Sodertalje,,SWE,SWE,72,183,2007,NYR,6,17,168
106,Lars Eller,WSH,C,34,1989-05-08,Rodovre,,DNK,DNK,74,205,2007,STL,1,13,13
107,Wayne Simmonds,TOR,R,35,1988-08-26,Scarborough,ON,CAN,CAN,74,184,2007,L.A,2,31,61
108,Nick Holden,VGK,D,36,1987-05-15,St. Albert,AB,CAN,CAN,76,210,-,-,-,-,-
109,Jason Demers,ARI,D,35,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,S.J,7,5,186
110,Micheal Haley,OTT,L,37,1986-03-30,Guelph,ON,CAN,CAN,71,213,-,-,-,-,-
111,Jay Beagle,VAN,C,38,1985-10-16,Calgary,AB,CAN,CAN,75,210,-,-,-,-,-
112,Drew Doughty,L.A,D,34,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
113,Steven Stamkos,T.B,C,33,1990-02-07,Markham,ON,CAN,CAN,72,182,2008,T.B,1,1,1
114,Alex Pietrangelo,VGK,D,33,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
115,Zach Bogosian,TOR,D,33,1990-07-15,Massena,NY,USA,USA,74,222,2008,ATL,1,3,3
116,Luke Schenn,T.B,D,34,1989-11-02,Saskatoon,SK,CAN,CAN,74,225,2008,TOR,1,5,5
117,Josh Bailey,NYI,R,34,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,NYI,1,9,9
118,Tyler Myers,VAN,D,33,1990-02-01,Houston,TX,USA,CAN,80,229,2008,BUF,1,12,12
119,Erik Karlsson,S.J,D,33,1990-05-31,Landsbro,,SWE,SWE,72,190,2008,OTT,1,15,15
120,Luca Sbisa,NSH,D,33,1990-01-30,Ozieri,,ITA,CHE,74,206,2008,PHI,1,19,19
121,Jake Gardiner,CAR,D,33,1990-07-04,Minnetonka,MN,USA,USA,74,203,2008,ANA,1,17,17
122,Michael Del Zotto,CBJ,D,33,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,NYR,1,20,20
123,Jordan Eberle,NYI,R,33,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,EDM,1,22,22
124,Tyler Ennis,EDM,C,34,1989-10-06,Edmonton,AB,CAN,CAN,69,160,2008,BUF,1,26,26
125,John Carlson,WSH,D,33,1990-01-10,Natick,MA,USA,USA,75,215,2008,WSH,1,27,27
126,Roman Josi,NSH,D,33,1990-06-01,Bern,,CHE,CHE,73,201,2008,NSH,2,8,38
127,Justin Schultz,WSH,D,33,1990-07-06,Kelowna,BC,CAN,CAN,74,190,2008,ANA,2,13,43
128,Aaron Ness,ARI,D,33,1990-05-18,Roseau,MN,USA,USA,70,184,2008,NYI,2,10,40
129,Zac Dalpe,CBJ,C,34,1989-11-01,Paris,ON,CAN,CAN,74,197,2008,CAR,2,15,45
130,Travis Hamonic,VAN,D,33,1990-08-16,St. Malo,MB,CAN,CAN,73,200,2008,NYI,2,23,53
131,Derek Stepan,OTT,C,33,1990-06-18,Hastings,MN,USA,USA,71,196,2008,NYR,2,21,51
132,Marco Scandella,STL,D,33,1990-02-23,Montreal,QC,CAN,CAN,75,212,2008,MIN,2,25,55
133,Michael Stone,CGY,D,33,1990-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,PHX,3,8,69
134,Adam Henrique,ANA,C,33,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
135,TJ Brodie,TOR,D,33,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,CGY,4,23,114
136,Derek Grant,ANA,C,33,1990-04-20,Abbotsford,BC,CAN,CAN,75,210,2008,OTT,4,28,119
137,Matt Calvert,COL,L,33,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,CBJ,5,6,127
138,Greg Pateryn,"COL, MIN, S.J",D,33,1990-06-20,Sterling Heights,MI,USA,USA,75,212,2008,TOR,5,7,128
139,Mark Borowiecki,NSH,D,34,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,OTT,5,18,139
140,Matt Martin,NYI,L,34,1989-05-08,Windsor,ON,CAN,CAN,75,220,2008,NYI,5,27,148
141,Cam Atkinson,CBJ,R,34,1989-06-05,Riverside,CT,USA,USA,68,176,2008,CBJ,6,6,157
142,Jared Spurgeon,MIN,D,34,1989-11-29,Edmonton,AB,CAN,CAN,69,166,2008,NYI,6,5,156
143,Zac Rinaldo,CGY,C,33,1990-06-15,Mississauga,ON,CAN,CAN,70,192,2008,PHI,6,27,178
144,Matt Bartkowski,MIN,D,35,1988-06-04,Pittsburgh,PA,USA,USA,73,201,2008,FLA,7,9,190
145,Jordie Benn,"VAN, WPG",D,36,1987-07-26,Victoria,BC,CAN,CAN,74,201,-,-,-,-,-
146,Antoine Roussel,VAN,L,34,1989-11-21,Roubaix,,FRA,FRA,71,200,-,-,-,-,-
147,Tyler Johnson,T.B,C,33,1990-07-29,Spokane,WA,USA,USA,68,185,-,-,-,-,-
148,Mike Hoffman,STL,C,34,1989-11-24,Kitchener,ON,CAN,CAN,72,190,2009,OTT,5,9,130
149,Tyler Bozak,STL,C,37,1986-03-19,Regina,SK,CAN,CAN,73,187,-,-,-,-,-
150,Marcus Johansson,MIN,C,33,1990-10-06,Landskrona,,SWE,SWE,73,203,2009,WSH,1,24,24
151,Kyle Palmieri,"N.J, NYI","C, R",32,1991-02-01,Smithtown,NY,USA,USA,71,198,2009,ANA,1,26,26
152,Ryan O'Reilly,STL,C,32,1991-02-07,Clinton,ON,CAN,CAN,73,207,2009,COL,2,3,33
153,Kyle Clifford,STL,L,32,1991-01-13,Ayr,ON,CAN,CAN,74,217,2009,L.A,2,5,35
154,Alex Chiasson,EDM,R,33,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
155,Jakob Silfverberg,ANA,R,33,1990-10-13,Gävle,,SWE,SWE,73,207,2009,OTT,2,9,39
156,John Tavares,TOR,C,33,1990-09-20,Mississauga,ON,CAN,CAN,73,216,2009,NYI,1,1,1
157,Victor Hedman,T.B,D,32,1990-12-18,Ornskoldsvik,,SWE,SWE,79,244,2009,T.B,1,2,2
158,Matt Duchene,NSH,C,32,1991-01-16,Haliburton,ON,CAN,CAN,71,195,2009,COL,1,3,3
159,Evander Kane,S.J,L,32,1991-08-02,Vancouver,BC,CAN,CAN,74,210,2009,ATL,1,4,4
160,Brayden Schenn,STL,C,32,1991-08-22,Saskatoon,SK,CAN,CAN,73,199,2009,L.A,1,5,5
161,Oliver Ekman-Larsson,ARI,D,32,1991-07-17,Karlskrona,,SWE,SWE,74,200,2009,PHX,1,6,6
162,Nazem Kadri,COL,C,33,1990-10-06,London,ON,CAN,CAN,72,185,2009,TOR,1,7,7
163,Ryan Ellis,NSH,D,32,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,NSH,1,11,11
164,Calvin de Haan,CHI,D,32,1991-05-09,Carp,ON,CAN,CAN,73,195,2009,NYI,1,12,12
165,Zack Kassian,EDM,R,32,1991-01-24,Windsor,ON,CAN,CAN,75,211,2009,BUF,1,13,13
166,Dmitry Kulikov,"EDM, N.J",D,33,1990-10-29,Lipetsk,,RUS,RUS,73,201,2009,FLA,1,14,14
167,Nick Leddy,NYI,D,32,1991-03-20,Eden Prairie,MN,USA,USA,72,205,2009,MIN,1,16,16
168,Chris Kreider,NYR,L,32,1991-04-30,Boxford,MA,USA,USA,75,230,2009,NYR,1,19,19
169,John Moore,BOS,D,33,1990-11-19,Winnetka,IL,USA,USA,75,207,2009,CBJ,1,21,21
170,Brayden McNabb,VGK,D,32,1991-01-21,Davidson,SK,CAN,CAN,76,215,2009,BUF,3,5,66
171,Reilly Smith,VGK,R,32,1991-04-01,Toronto,ON,CAN,CAN,73,185,2009,DAL,3,8,69
172,Tomas Tatar,MTL,L,33,1990-12-01,Ilava,,SVK,SVK,70,173,2009,DET,2,30,60
173,Tyson Barrie,EDM,D,32,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,COL,3,3,64
174,Dmitry Orlov,WSH,D,32,1991-07-23,Novokuznetsk,,RUS,RUS,71,214,2009,WSH,2,25,55
175,Brandon Pirri,CHI,C,32,1991-04-10,Toronto,ON,CAN,CAN,72,180,2009,CHI,2,29,59
176,Brian Dumoulin,PIT,D,32,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,CAR,2,21,51
177,Richard Panik,"DET, WSH",R,32,1991-02-07,Martin,,SVK,SVK,73,203,2009,T.B,2,22,52
178,Drew Shore,CAR,C,32,1991-01-29,Denver,CO,USA,USA,75,209,2009,FLA,2,14,44
179,Mattias Ekholm,NSH,D,33,1990-05-24,Borlange,,SWE,SWE,76,215,2009,NSH,4,11,102
180,Marcus Foligno,MIN,L,32,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,BUF,4,13,104
181,Sami Vatanen,"DAL, N.J",D,32,1991-06-03,Jyväskylä,,FIN,FIN,70,185,2009,ANA,4,15,106
182,Craig Smith,BOS,C,34,1989-09-05,Madison,WI,USA,USA,72,204,2009,NSH,4,7,98
183,Casey Cizikas,NYI,C,32,1991-02-27,Toronto,ON,CAN,CAN,71,190,2009,NYI,4,1,92
184,David Savard,"CBJ, T.B",D,33,1990-10-22,St. Hyacinthe,QC,CAN,CAN,73,235,2009,CBJ,4,3,94
185,Nicolas Deslauriers,ANA,L,32,1991-02-22,LaSalle,QC,CAN,CAN,73,220,2009,L.A,3,23,84
186,Cody Eakin,BUF,C,32,1991-05-24,Winnipeg,MB,CAN,CAN,72,196,2009,WSH,3,24,85
187,Kevin Connauton,FLA,D,33,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,VAN,3,22,83
188,Byron Froese,CGY,C,32,1991-03-12,Winkler,MB,CAN,CAN,73,202,2009,CHI,4,28,119
189,Ben Chiarot,MTL,D,32,1991-05-09,Hamilton,ON,CAN,CAN,75,232,2009,ATL,4,29,120
190,Erik Haula,NSH,L,32,1991-03-23,Pori,,FIN,FIN,71,191,2009,MIN,7,1,182
191,Anders Lee,NYI,L,33,1990-07-03,Edina,MN,USA,USA,75,235,2009,NYI,6,1,152
192,Nick Jensen,WSH,D,33,1990-09-21,St. Paul,MN,USA,USA,73,205,2009,DET,5,29,150
193,Nic Dowd,WSH,C,33,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,L.A,7,17,198
194,Justin Dowling,DAL,C,33,1990-10-01,Calgary,AB,CAN,CAN,70,180,-,-,-,-,-
195,Brenden Dillon,WSH,D,33,1990-11-13,New Westminster,BC,CAN,CAN,76,224,-,-,-,-,-
196,Andrew Agozzino,ANA,L,32,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,-,-,-,-,-
197,Radko Gudas,FLA,D,33,1990-06-05,Prague,,CZE,CZE,72,208,2010,T.B,3,6,66
198,Nate Prosser,PHI,D,37,1986-05-07,Elk River,MN,USA,USA,74,201,-,-,-,-,-
199,Matt Irwin,BUF,D,36,1987-11-29,Victoria,BC,CAN,CAN,74,200,-,-,-,-,-
200,Christopher Tanev,CGY,D,33,1989-12-20,Toronto,ON,CAN,CAN,74,193,-,-,-,-,-
201,Mats Zuccarello,MIN,R,36,1987-09-01,Oslo,,NOR,NOR,68,181,-,-,-,-,-
202,Calle Jarnkrok,NSH,C,32,1991-09-25,Gävle,,SWE,SWE,72,192,2010,DET,2,21,51
203,Justin Holl,TOR,D,31,1992-01-30,Tonka Bay,MN,USA,USA,75,197,2010,CHI,2,24,54
204,Jason Zucker,PIT,L,31,1992-01-16,Newport Beach,CA,USA,USA,71,192,2010,MIN,2,29,59
205,Tyler Toffoli,MTL,"C, R",31,1992-04-24,Scarborough,ON,CAN,CAN,72,203,2010,L.A,2,17,47
206,Johan Larsson,ARI,L,31,1992-07-25,Lau,,SWE,SWE,71,206,2010,MIN,2,26,56
207,Mark Alt,L.A,D,32,1991-10-18,Kansas City,MO,USA,USA,76,201,2010,CAR,2,23,53
208,Greg McKegg,BOS,C,31,1992-06-17,St. Thomas,ON,CAN,CAN,72,195,2010,TOR,3,2,62
209,Evgeny Kuznetsov,WSH,C,31,1992-05-19,Chelyabinsk,,RUS,RUS,74,207,2010,WSH,1,26,26
210,Charlie Coyle,BOS,C,31,1992-03-02,E. Weymouth,MA,USA,USA,75,223,2010,S.J,1,28,28
211,Patrik Nemeth,"COL, DET",D,31,1992-02-08,Stockholm,,SWE,SWE,76,230,2010,DAL,2,11,41
212,Jon Merrill,"DET, MTL",D,31,1992-02-03,Oklahoma City,OK,USA,USA,75,204,2010,N.J,2,8,38
213,Tyler Pitlick,ARI,C,32,1991-11-01,Minneapolis,MN,USA,USA,74,200,2010,EDM,2,1,31
214,Justin Faulk,STL,D,31,1992-03-20,South St.Paul,MN,USA,USA,72,214,2010,CAR,2,7,37
215,Brock Nelson,NYI,C,32,1991-10-15,Warroad,MN,USA,USA,76,210,2010,NYI,1,30,30
216,Nick Bjugstad,MIN,C,31,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,FLA,1,19,19
217,Derek Forbort,WPG,D,31,1992-03-04,Duluth,MN,USA,USA,76,208,2010,L.A,1,15,15
218,Kevin Hayes,PHI,C,31,1992-05-08,Dorchester,MA,USA,USA,77,216,2010,CHI,1,24,24
219,Cam Fowler,ANA,D,32,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,ANA,1,12,12
220,Vladimir Tarasenko,STL,R,32,1991-12-13,Yaroslavl,,RUS,RUS,73,228,2010,STL,1,16,16
221,Austin Watson,OTT,L,31,1992-01-13,Ann Arbor,MI,USA,USA,76,204,2010,NSH,1,18,18
222,Jaden Schwartz,STL,L,31,1992-06-25,Wilcox,SK,CAN,CAN,70,185,2010,STL,1,14,14
223,Riley Sheahan,BUF,C,32,1991-12-07,St. Catharines,ON,CAN,CAN,74,214,2010,DET,1,21,21
224,Chris Wagner,BOS,R,32,1991-05-27,Walpole,MA,USA,USA,72,192,2010,ANA,5,2,122
225,Jeff Skinner,BUF,L,31,1992-05-16,Toronto,ON,CAN,CAN,71,197,2010,CAR,1,7,7
226,Zach Hyman,TOR,L,31,1992-06-09,Toronto,ON,CAN,CAN,73,211,2010,FLA,5,3,123
227,Erik Gudbranson,"NSH, OTT",D,31,1992-01-07,Ottawa,ON,CAN,CAN,77,222,2010,FLA,1,3,3
228,Taylor Hall,"BOS, BUF",L,32,1991-11-14,Calgary,AB,CAN,CAN,73,210,2010,EDM,1,1,1
229,Brett Connolly,"CHI, FLA",R,31,1992-05-02,Campbell River,BC,CAN,CAN,75,198,2010,T.B,1,6,6
230,Ryan Johansen,NSH,C,31,1992-07-31,Vancouver,BC,CAN,CAN,75,218,2010,CBJ,1,4,4
231,Tyler Seguin,DAL,C,31,1992-01-31,Brampton,ON,CAN,CAN,73,205,2010,BOS,1,2,2
232,Mark Pysyk,DAL,D,31,1992-01-11,Sherwood Park,AB,CAN,CAN,73,198,2010,BUF,1,23,23
233,Jarred Tinordi,"BOS, NSH",D,31,1992-02-20,Burnsville,MN,USA,USA,78,229,2010,MTL,1,22,22
234,Mikael Granlund,NSH,C,31,1992-02-26,Oulu,,FIN,FIN,70,185,2010,MIN,1,9,9
235,Nino Niederreiter,CAR,R,31,1992-09-08,Chur,,CHE,CHE,74,218,2010,NYI,1,5,5
