,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
25,Todd Bertuzzi,DET,R,48,1975-02-02,Sudbury,ON,CAN,CAN,75,229,1993,NYI,1,23,23
26,Jamie Langenbrunner,"DAL, N.J",R,48,1975-07-24,Cloquet,MN,USA,USA,73,205,1993,DAL,2,9,35
27,Brendan Morrison,CGY,C,48,1975-08-15,Pitt Meadows,BC,CAN,CAN,71,176,1993,N.J,2,13,39
28,Bryan McCabe,"FLA, NYR",D,48,1975-06-08,St. Catharines,ON,CAN,CAN,74,223,1993,NYI,2,14,40
29,Vinny Prospal,NYR,L,48,1975-02-17,Ceské Budejovice,,CZE,CZE,74,191,1993,PHI,3,19,71
30,Jamal Mayers,S.J,R,49,1974-10-24,Toronto,ON,CAN,CAN,73,222,1993,STL,4,11,89
31,Todd Marchant,ANA,C,50,1973-08-12,Buffalo,NY,USA,USA,70,180,1993,NYR,7,8,164
32,Andrew Brunette,MIN,L,50,1973-08-24,Sudbury,ON,CAN,CAN,73,215,1993,WSH,7,18,174
33,Hal Gill,MTL,D,48,1975-04-06,Concord,MA,USA,USA,79,243,1993,BOS,8,25,207
34,Mike Grier,BUF,R,48,1975-01-05,Detroit,MI,USA,USA,73,224,1993,STL,9,11,219
35,Kimmo Timonen,PHI,D,48,1975-03-18,Kuopio,,FIN,FIN,70,194,1993,L.A,10,16,250
36,Scott Nichol,S.J,C,48,1974-12-31,Edmonton,AB,CAN,CAN,68,179,1993,BUF,11,12,272
37,Ed Jovanovski,PHX,D,47,1976-06-26,Windsor,ON,CAN,CAN,75,220,1994,FLA,1,1,1
38,Ryan Smyth,L.A,L,47,1976-02-21,Banff,AB,CAN,CAN,74,191,1994,EDM,1,6,6
39,Wade Belak,NSH,R,47,1976-07-03,Saskatoon,SK,CAN,CAN,77,222,1994,QUE,1,12,12
40,Mattias Ohlund,T.B,D,47,1976-09-09,Pitea,,SWE,SWE,76,188,1994,VAN,1,13,13
41,Ethan Moreau,CBJ,L,48,1975-09-22,Huntsville,ON,CAN,CAN,75,223,1994,CHI,1,14,14
42,Ryan Johnson,CHI,C,47,1976-06-14,Thunder Bay,ON,CAN,CAN,73,199,1994,FLA,2,10,36
43,Dave Scatchard,STL,C,47,1976-02-20,Hinton,AB,CAN,CAN,75,220,1994,VAN,2,16,42
44,Patrik Elias,N.J,C,47,1976-04-13,Trebic,,CZE,CZE,73,190,1994,N.J,2,25,51
45,Jason Strudwick,EDM,D,48,1975-07-17,Edmonton,AB,CAN,CAN,76,226,1994,NYI,3,11,63
46,Freddy Modin,"ATL, CGY",L,49,1974-10-08,Sundsvall,,SWE,SWE,76,220,1994,TOR,3,12,64
47,Chris Drury,NYR,C,47,1976-08-20,Trumbull,CT,USA,USA,70,191,1994,QUE,3,20,72
48,Chris Clark,CBJ,R,47,1976-03-08,South Windsor,CT,USA,USA,72,191,1994,CGY,3,25,77
49,Milan Hejduk,COL,R,47,1976-02-14,Usti,,CZE,CZE,72,190,1994,QUE,4,9,87
50,Brad Lukowich,DAL,D,47,1976-08-12,Cranbrook,BC,CAN,CAN,73,191,1994,NYI,4,12,90
51,Daniel Alfredsson,OTT,R,51,1972-12-11,Gothenburg,,SWE,SWE,71,203,1994,OTT,6,3,133
52,Shane Hnidy,BOS,D,48,1975-11-08,Neepawa,MB,CAN,CAN,74,204,1994,BUF,7,17,173
53,Steve Sullivan,NSH,L,49,1974-07-06,Timmins,ON,CAN,CAN,69,165,1994,N.J,9,25,233
54,Eric Boulton,ATL,L,47,1976-08-17,Halifax,NS,CAN,CAN,72,227,1994,NYR,9,26,234
55,Tomas Holmstrom,DET,L,50,1973-01-23,Pitea,,SWE,SWE,72,200,1994,DET,10,23,257
56,Daymond Langkow,CGY,C,47,1976-09-27,Edmonton,AB,CAN,CAN,70,181,1995,T.B,1,5,5
57,Shane Doan,PHX,R,47,1976-10-10,Halkirk,AB,CAN,CAN,73,223,1995,WIN,1,7,7
58,Radek Dvorak,"ATL, FLA",R,46,1977-03-09,Tabor,,CZE,CZE,74,195,1995,FLA,1,10,10
59,Jarome Iginla,CGY,R,46,1977-07-01,Edmonton,AB,CAN,CAN,73,210,1995,DAL,1,11,11
60,Jochen Hecht,BUF,C,46,1977-06-21,Mannheim,,DEU,DEU,73,198,1995,STL,2,23,49
61,Peter Schaefer,VAN,L,46,1977-07-12,Regina,SK,CAN,CAN,73,200,1995,VAN,3,14,66
62,Marc Savard,BOS,C,46,1977-07-17,Ottawa,ON,CAN,CAN,70,188,1995,NYR,4,13,91
63,Michal Handzus,L.A,C,46,1977-03-11,Banská Bystrica,,SVK,SVK,77,215,1995,STL,4,23,101
64,Brent Sopel,"ATL, MTL",D,46,1977-01-07,Calgary,AB,CAN,CAN,74,205,1995,VAN,6,14,144
65,Stephane Robidas,DAL,D,46,1977-03-03,Sherbrooke,QC,CAN,CAN,71,190,1995,MTL,7,8,164
66,Filip Kuba,OTT,D,46,1976-12-29,Ostrava,,CZE,CZE,76,225,1995,FLA,8,10,192
67,Jody Shelley,PHI,L,47,1976-02-07,Thompson,MB,CAN,CAN,75,230,-,-,-,-,-
68,Chris Phillips,OTT,D,45,1978-03-09,Calgary,AB,CAN,CAN,75,219,1996,OTT,1,1,1
69,J-P Dumont,NSH,R,45,1978-04-01,Montreal,QC,CAN,CAN,73,205,1996,NYI,1,3,3
70,Ruslan Salei,DET,D,49,1974-11-02,Minsk,,BLR,BLR,73,212,1996,ANA,1,9,9
71,Derek Morris,PHX,D,45,1978-08-24,Edmonton,AB,CAN,CAN,72,210,1996,CGY,1,13,13
72,Marty Reasoner,FLA,C,46,1977-02-26,Honeoye Falls,NY,USA,USA,73,197,1996,STL,1,14,14
73,Daniel Briere,PHI,C,46,1977-10-06,Gatineau,QC,CAN,CAN,69,174,1996,PHX,1,24,24
74,Dainius Zubrus,N.J,C,45,1978-06-16,Elektrenai,,LTU,LTU,77,225,1996,PHI,1,15,15
75,Marco Sturm,"L.A, WSH",L,45,1978-09-08,Dingolfing,,DEU,DEU,72,196,1996,S.J,1,21,21
76,Cory Sarich,CGY,D,45,1978-08-16,Saskatoon,SK,CAN,CAN,76,207,1996,BUF,2,1,27
77,Josh Green,ANA,C,46,1977-11-16,Camrose,AB,CAN,CAN,75,218,1996,L.A,2,4,30
78,Matt Cullen,MIN,C,47,1976-11-02,Virginia,MN,USA,USA,73,202,1996,ANA,2,9,35
79,Steve Begin,NSH,L,45,1978-06-14,Trois-Rivieres,QC,CAN,CAN,72,192,1996,CGY,2,14,40
80,Colin White,N.J,D,46,1977-12-12,New glasgow,NS,CAN,CAN,76,215,1996,N.J,2,23,49
81,Zdeno Chara,BOS,D,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
82,Tom Poti,WSH,D,46,1977-03-22,Worcester,MA,USA,USA,75,190,1996,EDM,3,7,59
83,Jon Sim,NYI,L,46,1977-09-29,New glasgow,NS,CAN,CAN,70,189,1996,DAL,3,18,70
84,Arron Asham,PIT,R,45,1978-04-13,Portage La Prairie,MB,CAN,CAN,71,210,1996,MTL,3,19,71
85,Mark Parrish,BUF,R,46,1977-02-02,Bloomington,MN,USA,USA,71,199,1996,COL,3,27,79
86,Toni Lydman,ANA,D,46,1977-09-25,Lahti,,FIN,FIN,74,213,1996,CGY,4,9,89
87,Eric Belanger,PHX,C,45,1977-12-16,Sherbrooke,QC,CAN,CAN,71,185,1996,L.A,4,16,96
88,Michal Rozsival,"NYR, PHX",D,45,1978-09-03,Vlasim,,CZE,CZE,73,210,1996,PIT,4,25,105
89,Matt Bradley,WSH,R,45,1978-06-13,Stittsville,ON,CAN,CAN,75,200,1996,S.J,4,22,102
90,Brian Willsie,WSH,R,45,1978-03-16,Belmont,ON,CAN,CAN,73,202,1996,COL,6,11,146
91,Brett Clark,T.B,D,46,1976-12-23,Wapella,SK,CAN,CAN,72,194,1996,MTL,6,19,154
92,Craig Adams,PIT,R,46,1977-04-26,Seria,,BRN,CAN,72,200,1996,HFD,9,8,223
93,Fernando Pisani,CHI,R,46,1976-12-27,Edmonton,AB,CAN,CAN,73,205,1996,EDM,8,6,195
94,Willie Mitchell,L.A,D,46,1977-04-23,Port McNeill,BC,CAN,CAN,75,210,1996,N.J,8,10,199
95,Samuel Pahlsson,CBJ,C,45,1977-12-17,Ange,,SWE,SWE,72,202,1996,COL,7,14,176
96,Tomas Kaberle,"BOS, TOR",D,45,1978-03-02,Rakovnik,,CZE,CZE,73,212,1996,TOR,8,15,204
97,Sami Salo,VAN,D,49,1974-09-02,Turku,,FIN,FIN,75,215,1996,OTT,9,24,239
98,Pavel Kubina,T.B,D,46,1977-04-15,Celadna,,CZE,CZE,76,258,1996,T.B,7,17,179
99,Francis Bouillon,NSH,D,48,1975-10-17,New York City,NY,USA,USA,68,194,-,-,-,-,-
100,Matt Cooke,PIT,L,45,1978-09-07,Belleville,ON,CAN,CAN,71,216,1997,VAN,6,10,144
101,Shawn Thornton,BOS,L,46,1977-07-23,Oshawa,ON,CAN,CAN,74,217,1997,TOR,7,29,190
102,Sergei Samsonov,"CAR, FLA",L,45,1978-10-27,Moscow,,RUS,RUS,68,188,1997,BOS,1,8,8
103,Joe Thornton,S.J,C,44,1979-07-02,London,ON,CAN,CAN,76,220,1997,BOS,1,1,1
104,Patrick Marleau,S.J,"C, L",44,1979-09-15,Aneroid,SK,CAN,CAN,74,215,1997,S.J,1,2,2
105,Olli Jokinen,CGY,C,45,1978-12-05,Kuopio,,FIN,FIN,74,210,1997,L.A,1,3,3
106,Eric Brewer,"STL, T.B",D,44,1979-04-17,Vernon,BC,CAN,CAN,76,216,1997,NYI,1,5,5
107,Paul Mara,"ANA, MTL",D,44,1979-09-07,Ridgewood,NJ,USA,USA,76,211,1997,T.B,1,7,7
108,Nick Boynton,"CHI, PHI",D,44,1979-01-14,Nobleton,ON,CAN,CAN,73,218,1999,BOS,1,21,21
109,Marian Hossa,CHI,R,44,1979-01-12,Stará Lubovna,,SVK,SVK,73,207,1997,OTT,1,12,12
110,Daniel Cleary,DET,R,44,1978-12-18,Carbonear,NL,CAN,CAN,73,205,1997,CHI,1,13,13
111,Scott Hannan,"COL, WSH",D,44,1979-01-23,Richmond,BC,CAN,CAN,73,215,1997,S.J,1,23,23
112,Brenden Morrow,DAL,L,44,1979-01-16,Carlyle,SK,CAN,CAN,71,212,1997,DAL,1,25,25
113,Kristian Huselius,CBJ,L,45,1978-11-10,Osterhaninge,,SWE,SWE,74,184,1997,FLA,2,21,47
114,Henrik Tallinder,N.J,D,44,1979-01-10,Stockholm,,SWE,SWE,76,209,1997,BUF,2,22,48
115,Francis Lessard,OTT,R,44,1979-05-30,Montreal,QC,CAN,CAN,74,235,1997,CAR,3,27,80
116,Joe Corvo,CAR,D,46,1977-06-20,Oak Park,IL,USA,USA,72,204,1997,L.A,4,3,83
117,Adam Mair,N.J,C,44,1979-02-15,Hamilton,ON,CAN,CAN,73,208,1997,TOR,4,4,84
118,Jason Chimera,WSH,L,44,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,EDM,5,15,121
119,Brian Campbell,CHI,D,44,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,BUF,6,22,156
120,Mike Mottau,NYI,D,45,1978-03-19,Quincy,MA,USA,USA,72,195,1997,NYR,7,21,182
121,Andrew Ference,BOS,D,44,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
122,John Madden,MIN,C,50,1973-05-04,Toronto,ON,CAN,CAN,71,190,-,-,-,-,-
123,Martin St. Louis,T.B,R,48,1975-06-18,Laval,QC,CAN,CAN,68,180,-,-,-,-,-
124,Todd White,NYR,C,48,1975-05-21,Kanata,ON,CAN,CAN,70,198,-,-,-,-,-
125,Pascal Dupuis,PIT,R,44,1979-04-07,Laval,QC,CAN,CAN,73,205,-,-,-,-,-
126,Tom Kostopoulos,"CAR, CGY",R,44,1979-01-24,Mississauga,ON,CAN,CAN,72,197,1999,PIT,7,18,204
127,Dan Boyle,S.J,D,47,1976-07-12,Ottawa,ON,CAN,CAN,71,194,-,-,-,-,-
128,Andy Sutton,ANA,D,48,1975-03-10,Kingston,ON,CAN,CAN,78,245,-,-,-,-,-
129,Vincent Lecavalier,T.B,C,43,1980-04-21,Ile Bizard,QC,CAN,CAN,76,215,1998,T.B,1,1,1
130,David Legwand,NSH,C,43,1980-08-17,Detroit,MI,USA,USA,74,207,1998,NSH,1,2,2
131,Brad Stuart,DET,D,44,1979-11-06,Rocky Mountain House,AB,CAN,CAN,74,215,1998,S.J,1,3,3
132,Bryan Allen,"CAR, FLA",D,43,1980-08-21,Kingston,ON,CAN,CAN,77,223,1998,VAN,1,4,4
133,Manny Malhotra,VAN,C,43,1980-05-18,Mississauga,ON,CAN,CAN,74,207,1998,NYR,1,7,7
134,Mike Rupp,PIT,L,43,1980-01-13,Cleveland,OH,USA,USA,77,235,2000,N.J,3,11,76
135,Alex Tanguay,CGY,L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
136,Robyn Regehr,CGY,D,43,1980-04-19,Recife,,BRA,CAN,75,222,1998,COL,1,19,19
137,Simon Gagne,T.B,L,43,1980-02-29,Ste. Foy,QC,CAN,CAN,73,195,1998,PHI,1,22,22
138,Scott Gomez,MTL,C,43,1979-12-23,Anchorage,AK,USA,USA,71,200,1998,N.J,1,27,27
139,Nik Antropov,ATL,C,43,1980-02-18,Ust-Kamenogorsk,,KAZ,KAZ,78,245,1998,TOR,1,10,10
140,Blair Betts,PHI,C,43,1980-02-16,Edmonton,AB,CAN,CAN,75,210,1998,CGY,2,6,33
141,John Erskine,WSH,D,43,1980-06-26,Kingston,ON,CAN,CAN,76,220,1998,DAL,2,12,39
142,Mike Fisher,"NSH, OTT",C,43,1980-06-05,Peterborough,ON,CAN,CAN,73,216,1998,OTT,2,17,44
143,Mike Ribeiro,DAL,C,43,1980-02-10,Montreal,QC,CAN,CAN,72,179,1998,MTL,2,18,45
144,Brad Richards,DAL,C,43,1980-05-02,Murray Hbr.,PE,CAN,CAN,72,199,1998,T.B,3,6,64
145,Jarkko Ruutu,"ANA, OTT",L,48,1975-08-23,Helsinki,,FIN,FIN,73,204,1998,VAN,3,10,68
146,Erik Cole,CAR,L,45,1978-11-06,Oswego,NY,USA,USA,74,205,1998,CAR,3,13,71
147,Francois Beauchemin,"ANA, TOR",D,43,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,MTL,3,17,75
148,Brian Gionta,MTL,R,44,1979-01-18,Rochester,NY,USA,USA,67,178,1998,N.J,3,24,82
149,Matt Walker,PHI,D,43,1980-04-07,Beaverlodge,AB,CAN,CAN,76,215,1998,STL,3,25,83
150,Alexei Ponikarovsky,L.A,L,43,1980-04-09,Kiev,,UKR,UKR,76,225,1998,TOR,4,1,87
151,Shawn Horcoff,EDM,C,45,1978-09-17,Trail,BC,CAN,CAN,73,210,1998,EDM,4,13,99
152,Krys Barch,DAL,R,43,1980-03-26,Hamilton,ON,CAN,CAN,74,225,1998,WSH,4,20,106
153,Jay Leach,N.J,D,44,1979-09-02,Syracuse,NY,USA,USA,77,220,1998,PHX,5,1,115
154,Jaroslav Spacek,MTL,D,49,1974-02-11,Rokycany,,CZE,CZE,72,210,1998,FLA,5,3,117
155,Rob Scuderi,L.A,D,44,1978-12-30,Syosset,NY,USA,USA,73,216,1998,PIT,5,20,134
156,Mikael Samuelsson,VAN,R,46,1976-12-23,Mariefred,,SWE,SWE,74,218,1998,S.J,5,31,145
157,Trent Hunter,NYI,R,43,1980-07-05,Red Deer,AB,CAN,CAN,75,217,1998,ANA,6,5,150
158,Kent Huskins,S.J,D,44,1979-05-04,Almonte,ON,CAN,CAN,76,210,1998,CHI,6,11,156
159,Chris Neil,OTT,R,44,1979-06-18,Flesherton,ON,CAN,CAN,73,209,1998,OTT,6,16,161
160,Andrei Markov,MTL,D,44,1978-12-20,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
161,Ales Kotalik,CGY,R,44,1978-12-23,Jindrichuv Hradec,,CZE,CZE,73,225,1998,BUF,6,19,164
162,Pavel Datsyuk,DET,C,45,1978-07-20,Sverdlovsk,,RUS,RUS,71,188,1998,DET,6,26,171
163,Karlis Skrastins,DAL,D,49,1974-07-09,Riga,,LVA,LVA,74,208,1998,NSH,9,2,230
164,Toby Petersen,DAL,C,45,1978-10-27,Minneapolis,MN,USA,USA,70,195,1998,PIT,9,16,244
165,Michael Ryder,BOS,R,43,1980-03-31,Bonavista,NL,CAN,CAN,73,200,1998,MTL,8,16,216
166,Trevor Gillies,NYI,L,44,1979-01-30,Cambridge,ON,CAN,CAN,75,231,-,-,-,-,-
167,Mark Eaton,NYI,D,46,1977-05-06,Wilmington,DE,USA,USA,73,215,-,-,-,-,-
168,Jeff Halpern,MTL,C,47,1976-05-03,Washington,DC,USA,USA,72,190,-,-,-,-,-
169,Jason Blake,ANA,L,50,1973-09-02,Moorhead,MN,USA,USA,70,190,-,-,-,-,-
170,Brian Rafalski,DET,D,50,1973-09-28,Dearborn,MI,USA,USA,70,194,-,-,-,-,-
171,Daniel Sedin,VAN,L,43,1980-09-26,Ornskoldsvik,,SWE,SWE,73,190,1999,VAN,1,2,2
172,Henrik Sedin,VAN,C,43,1980-09-26,Ornskoldsvik,,SWE,SWE,74,183,1999,VAN,1,3,3
173,Tim Connolly,BUF,C,42,1981-05-07,Syracuse,NY,USA,USA,73,190,1999,NYI,1,5,5
174,Taylor Pyatt,PHX,L,42,1981-08-19,Thunder Bay,ON,CAN,CAN,76,230,1999,NYI,1,8,8
175,Barret Jackman,STL,D,42,1981-03-05,Trail,BC,CAN,CAN,72,203,1999,STL,1,17,17
176,Martin Havlat,MIN,R,42,1981-04-19,Mlada Boleslav,,CZE,CZE,74,210,1999,OTT,1,26,26
177,Jonas Andersson,VAN,R,42,1981-02-24,Lidingo,,SWE,SWE,75,204,1999,NSH,2,5,33
178,Nolan Yonkman,PHX,D,42,1981-04-01,Punnichy,SK,CAN,CAN,78,247,1999,WSH,2,9,37
179,Mike Commodore,CBJ,D,44,1979-11-07,Fort Saskatchewan,AB,CAN,CAN,76,227,1999,N.J,2,14,42
180,Jordan Leopold,BUF,D,43,1980-08-03,Golden Valley,MN,USA,USA,73,206,1999,ANA,2,16,44
181,Adam Hall,T.B,R,43,1980-08-14,Kalamazoo,MI,USA,USA,74,212,1999,NSH,2,24,52
182,Andrew Hutchinson,PIT,D,43,1980-03-24,Evanston,IL,USA,USA,74,195,1999,NSH,2,26,54
183,Doug Janik,DET,D,43,1980-03-26,Agawam,MA,USA,USA,74,211,1999,BUF,2,27,55
184,Matt Carkner,OTT,D,43,1980-11-03,Winchester,ON,CAN,CAN,77,229,1999,MTL,2,30,58
185,Michael Zigomanis,TOR,C,42,1981-01-17,Toronto,ON,CAN,CAN,72,200,2001,CAR,2,16,46
186,Niklas Hagman,CGY,L,44,1979-12-05,Espoo,,FIN,FIN,70,205,1999,FLA,3,4,70
187,Mike Comrie,PIT,C,43,1980-09-11,Edmonton,AB,CAN,CAN,70,185,1999,EDM,3,25,91
188,Chris Kelly,"BOS, OTT",C,43,1980-11-11,Toronto,ON,CAN,CAN,72,190,1999,OTT,3,28,94
189,Ryan Malone,T.B,L,44,1979-12-01,Pittsburgh,PA,USA,USA,76,224,1999,PIT,4,19,115
190,Derek MacKenzie,CBJ,C,42,1981-06-11,Sudbury,ON,CAN,CAN,71,177,1999,ATL,5,2,128
191,Martin Erat,NSH,R,42,1981-08-29,Trebic,,CZE,CZE,72,196,1999,NSH,7,5,191
192,Henrik Zetterberg,DET,L,43,1980-10-09,Njurunda,,SWE,SWE,72,197,1999,DET,7,24,210
193,Radim Vrbata,PHX,R,42,1981-06-13,Mlada Boleslav,,CZE,CZE,73,194,1999,COL,7,26,212
194,Alexandre Giroux,EDM,L,42,1981-06-16,Quebec City,QC,CAN,CAN,75,208,1999,OTT,7,27,213
195,George Parros,ANA,R,43,1979-12-29,Washington,PA,USA,USA,77,224,1999,L.A,8,7,222
196,Radek Martinek,NYI,D,47,1976-08-31,Havlickuv Brod,,CZE,CZE,72,205,1999,NYI,8,13,228
197,Douglas Murray,S.J,D,43,1980-03-12,Bromma,,SWE,SWE,75,240,1999,S.J,8,26,241
198,Jerred Smithson,NSH,C,44,1979-02-04,Vernon,BC,CAN,CAN,75,209,-,-,-,-,-
199,Ruslan Fedotenko,NYR,L,44,1979-01-18,Kiev,,UKR,UKR,73,188,-,-,-,-,-
200,Joel Ward,NSH,R,43,1980-12-02,North York,ON,CAN,CAN,73,225,-,-,-,-,-
201,Jim Vandermeer,EDM,D,43,1980-02-21,Caroline,AB,CAN,CAN,73,210,-,-,-,-,-
202,Sean Avery,NYR,L,43,1980-04-10,North York,ON,CAN,CAN,70,195,-,-,-,-,-
203,Eric Godard,PIT,R,43,1980-03-07,Vernon,BC,CAN,CAN,76,222,-,-,-,-,-
204,Steve Reinprecht,FLA,C,47,1976-05-07,Edmonton,AB,CAN,CAN,72,188,-,-,-,-,-
205,Andy McDonald,STL,L,46,1977-08-25,Strathroy,ON,CAN,CAN,70,175,-,-,-,-,-
206,Mathieu Darche,MTL,L,47,1976-11-26,Montreal,QC,CAN,CAN,73,215,-,-,-,-,-
207,Mike Weaver,FLA,D,45,1978-05-02,Brampton,ON,CAN,CAN,70,186,-,-,-,-,-
208,Dany Heatley,S.J,L,42,1981-01-21,Freiburg,,DEU,CAN,75,212,2000,ATL,1,2,2
209,Marian Gaborik,NYR,R,41,1982-02-14,Trencin,,SVK,SVK,73,200,2000,MIN,1,3,3
210,Rostislav Klesla,"CBJ, PHX",D,41,1982-03-21,Novy Jicin,,CZE,CZE,75,215,2000,CBJ,1,4,4
211,Raffi Torres,VAN,L,42,1981-10-08,Toronto,ON,CAN,CAN,72,215,2000,NYI,1,5,5
212,Scott Hartnell,PHI,L,41,1982-04-18,Regina,SK,CAN,CAN,74,215,2000,NSH,1,6,6
213,Ron Hainsey,ATL,D,42,1981-03-24,Bolton,CT,USA,USA,75,201,2000,MTL,1,13,13
214,Brooks Orpik,PIT,D,43,1980-09-26,San Francisco,CA,USA,USA,75,217,2000,PIT,1,18,18
215,Alex Frolov,NYR,L,41,1982-06-19,Moscow,,RUS,RUS,74,210,2000,L.A,1,20,20
216,Anton Volchenkov,N.J,D,41,1982-02-25,Moscow,,RUS,RUS,73,220,2000,OTT,1,21,21
217,David Hale,OTT,D,42,1981-06-18,Colorado Springs,CO,USA,USA,73,222,2000,N.J,1,22,22
218,Brad Boyes,"BUF, STL",R,41,1982-04-17,Mississauga,ON,CAN,CAN,72,199,2000,TOR,1,24,24
219,Steve Ott,DAL,C,41,1982-08-19,Summerside,PE,CAN,CAN,72,193,2000,DAL,1,25,25
220,Brian Sutherby,DAL,C,41,1982-03-01,Edmonton,AB,CAN,CAN,74,208,2000,WSH,1,26,26
221,Justin Williams,L.A,R,42,1981-10-04,Cobourg,ON,CAN,CAN,73,184,2000,PHI,1,28,28
222,Niklas Kronwall,DET,D,42,1981-01-12,Stockholm,,SWE,SWE,72,194,2000,DET,1,29,29
223,Jeff Taffe,CHI,L,42,1981-02-19,Hastings,MN,USA,USA,75,207,2000,STL,1,30,30
224,Nick Schultz,MIN,D,41,1982-08-25,Strasbourg,SK,CAN,CAN,73,203,2000,MIN,2,3,33
225,Brad Winchester,"ANA, STL",L,42,1981-03-01,Madison,WI,USA,USA,77,230,2000,EDM,2,5,35
226,Tomas Kopecky,CHI,R,41,1982-02-05,Ilava,,SVK,SVK,75,210,2000,DET,2,8,38
227,Kurtis Foster,EDM,D,42,1981-11-24,Carp,ON,CAN,CAN,77,225,2000,CGY,2,10,40
228,Jarret Stoll,L.A,C,41,1982-06-24,Melville,SK,CAN,CAN,73,216,2002,EDM,2,6,36
229,Andreas Lilja,ANA,D,48,1975-07-13,Helsingborg,,SWE,SWE,75,220,2000,L.A,2,24,54
230,Antoine Vermette,CBJ,C,41,1982-07-20,St. Agapit,QC,CAN,CAN,73,197,2000,OTT,2,25,55
231,Paul Martin,PIT,D,42,1981-03-05,Minneapolis,MN,USA,USA,73,200,2000,N.J,2,32,62
232,Dominic Moore,T.B,C,43,1980-08-03,Thornhill,ON,CAN,CAN,72,192,2000,NYR,3,30,95
233,Niclas Wallin,S.J,D,48,1975-02-20,Boden,,SWE,SWE,75,220,2000,CAR,4,1,97
234,Lubomir Visnovsky,ANA,D,47,1976-08-11,Topolcany,,SVK,SVK,70,192,2000,L.A,4,22,118
