,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
84,Pyotr Kochetkov,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0,0,0,0,0,0,0,0,0,0,0,0.977,0,0,0,0,0,20.83
85,Arturs Silovs,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0,0,0,0,0,0,0,0,0,0,0,0.915,0,0,0,0,0,26.60
86,Dustin Wolf,CGY,0,0,0,0,0,0,0,0,0,0,0,0,0.798,0,0,0,0,0,0,0,0,0,0,0,0.957,0,0,0,0,0,20.90
87,Nico Daws,N.J,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0,0,0,0,0,0,0,0,0,0,0,0.955,0,0,0,0,0,20.73
88,Yaroslav Askarov,NSH,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,21.50
89,Devon Levi,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0.832,0,0,0,0,0,0,0,0,0,0,0,0.970,0,0,0,0,0,19.15
90,Hunter Shepard,WSH,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0,0,0,0,0,0,0,0,0,0,0,0.983,0,0,0,0,0,17.62
91,Devin Cooley,S.J,0,0,0,0,0,0,0,0,0,0,0,0,0.745,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,21.28
92,Jesper Wallstedt,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,0,0,0,0,0,0,0,0,0,0.960,0,0,0,0,0,28.11
93,Arvid Soderblom,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0.943,0,0,0,0,0,19.03
94,Jet Greaves,CBJ,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0,0,19.47
95,Matt Murray,DAL,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,-
96,Yaniv Perets,CAR,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-
97,Georgi Romanov,S.J,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,7.00
