,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
21,8479325,Charlie McAvoy,BOS,D,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479325.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,73,charliemcavoy,42.0,996.05,23.715476190476,63.19,51.62,55.04,45.78,37.23,55.15,31.02,24.64,55.74,2.95,2.89,50.52,3.76,2.58,59.28,32.89,23.67,58.15,13.43,9.28,59.15,1.39,1.02,57.50,25.94,19.2,57.47,1.37,1.29,51.52,59.6,41.59,58.9,0.78,1.04,42.86,9.51,88.26,0.978,12.77,10.78,8.67,37.29,59.55,30.06,17.05,17.05,63.81
22,8479323,Adam Fox,NYR,D,https://assets.nhle.com/mugs/nhl/20242025/NYR/8479323.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,23,adamfox,39.0,923.2,23.671794871795,74.16,52.58,58.51,53.16,38.34,58.1,35.94,25.93,58.09,3.51,3.05,53.47,4.14,3.38,55.04,36.14,25.87,58.28,14.43,12.09,54.41,1.3,1.75,42.55,28.94,18.37,61.17,1.56,1.21,56.25,70.22,41.77,62.7,1.22,0.38,76.47,9.76,88.22,0.98,13.39,9.23,8.45,32.43,61.31,30.29,16.25,16.25,65.08
23,8481568,Alex Vlasic,CHI,D,https://assets.nhle.com/mugs/nhl/20242025/CHI/8481568.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,72,alexvlasic,40.0,946.25,23.65625,46.35,62.39,42.62,35.45,44.26,44.47,24.92,30.37,45.07,2.79,3.61,43.56,2.51,3.23,43.7,21.88,28.91,43.07,9.32,12.75,42.24,1.01,2.09,32.65,16.74,21.56,43.71,1.18,1.44,45.16,41.67,59.53,41.18,1.1,0.46,70.59,11.2,88.1,0.993,7.93,12.87,12.68,33.29,38.46,18.01,19.91,24.22,42.64
24,8479425,Filip Hronek,VAN,D,https://assets.nhle.com/mugs/nhl/20242025/VAN/8479425.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,17,filiphronek,21.0,495.63333333333,23.601587301587,60.29,51.45,53.95,42.73,39.34,52.06,29.05,27.96,50.96,3.63,2.18,62.50,2.53,2.64,48.95,27.6,22.64,54.94,10.65,10.17,51.16,1.45,1.21,54.55,22.6,16.63,57.61,1.45,0.65,69.23,56.48,46.86,54.65,1.4,0.52,72.73,12.5,92.21,1.047,9.81,13.07,10.77,42.73,47.65,22.76,19.73,18.88,54.65
25,8480803,Evan Bouchard,EDM,D,https://assets.nhle.com/mugs/nhl/20242025/EDM/8480803.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,2,evanbouchard,39.0,920.05,23.591025641026,75.32,42.06,64.17,53.87,31.63,63.01,36.98,20.54,64.29,4.37,2.41,64.42,4.16,2.45,62.97,38.35,20.67,64.97,16.24,8.61,65.35,2.54,0.91,73.58,29.48,16.09,64.69,1.83,1.39,56.76,67.63,32.69,67.42,0.57,0.38,60.00,11.82,88.25,1.001,9.59,10.04,5.67,33.91,62.82,30.06,15.59,12.39,70.81
26,8477932,Aaron Ekblad,FLA,D,https://assets.nhle.com/mugs/nhl/20242025/FLA/8477932.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,5,aaronekblad,40.0,940.55,23.51375,67.81,57.48,54.12,49.18,43.44,53.1,33.55,29.47,53.24,3.25,3.06,51.52,3.3,3.22,50.65,30.81,26.47,53.79,12.31,11.99,50.66,1.34,1.53,46.67,24.67,19.31,56.09,0.94,0.94,50.00,62.57,52.98,54.15,1.75,1.11,61.29,9.7,89.61,0.993,9.76,10.08,11.23,42.49,46.50,23.03,16.33,22.2,50.92
27,8481524,Bowen Byram,BUF,D,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481524.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,4,bowenbyram,41.0,962.1,23.465853658537,55.0,56.19,49.47,39.66,41.04,49.15,25.76,27.69,48.19,2.87,3.06,48.42,2.48,2.93,45.81,24.76,27.19,47.66,10.17,11.35,47.25,1.31,1.62,44.68,19.46,21.12,47.95,1.5,1.0,60.00,50.54,51.17,49.69,0.54,0.72,42.86,11.14,88.96,1.001,10.54,12.47,10.66,41.1,49.71,20.58,17.21,21.2,49.25
28,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,58,krisletang,35.0,821.15,23.461428571429,56.55,62.11,47.66,40.55,45.89,46.91,27.55,32.0,46.26,2.85,3.87,42.39,2.96,3.34,47.0,24.55,30.47,44.62,10.81,13.23,44.98,1.1,2.41,31.25,18.32,22.99,44.34,1.46,1.17,55.56,55.73,52.35,51.56,0.53,0.74,41.67,10.34,87.9,0.982,9.5,11.03,10.01,38.87,48.69,22.51,16.88,21.48,51.16
29,8478500,Ivan Provorov,CBJ,D,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8478500.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,9,ivanprovorov,40.0,938.35,23.45875,55.37,61.77,47.27,39.32,44.57,46.88,27.88,30.18,48.02,3.32,4.22,44.07,2.91,3.36,46.44,24.62,29.03,45.89,10.23,13.3,43.48,1.79,1.85,49.12,19.18,20.97,47.77,1.11,1.71,39.39,43.87,57.91,43.1,0.55,1.57,26.09,11.93,86.02,0.979,6.46,12.02,10.74,34.78,37.55,15.54,18.1,24.62,38.69
30,8475753,Justin Faulk,STL,D,https://assets.nhle.com/mugs/nhl/20242025/STL/8475753.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,72,justinfaulk,37.0,867.56666666667,23.447747747748,53.67,58.23,47.96,37.35,42.12,47.0,26.35,27.87,48.6,2.21,2.56,46.38,2.71,2.72,49.87,26.83,26.35,50.46,10.17,8.99,53.07,1.04,0.97,51.72,22.22,23.15,48.98,1.01,1.01,50.00,48.75,51.35,48.7,0.6,0.8,42.86,8.4,90.82,0.992,9.96,9.47,7.61,42.74,56.69,23.1,15.28,16.6,58.19
