,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
19,New York Rangers,54,3273:52,35,16,3,34,73,0.676,3322,3183,51.07,2448,2275,51.83,1685,1540,52.25,178,149,54.43,173.47,162.86,51.58,1614,1493,51.95,866,813,51.58,132,123,51.76,15.24,84.87,673,627,51.77,427,429,49.88,81,84,49.09,18.97,80.42,941,866,52.08,439,384,53.34,51,39,56.67,11.62,89.84,1981,1861,51.56,739,648,53.28,41,22,65.08,5.55,96.6,10.56,90.32,1.009
20,Ottawa Senators,51,3082:51,22,27,2,21,46,0.451,3241,3030,51.68,2367,2135,52.58,1674,1544,52.02,171,184,48.17,166.7,151.95,52.31,1480,1472,50.14,865,804,51.83,135,143,48.56,15.61,82.21,626,577,52.04,438,392,52.77,89,82,52.05,20.32,79.08,854,895,48.83,427,412,50.89,46,61,42.99,10.77,85.19,1971,1745,53.04,705,655,51.84,32,37,46.38,4.54,94.35,10.22,88.08,0.983
21,Philadelphia Flyers,56,3408:24,29,20,7,25,65,0.58,3564,3389,51.26,2606,2308,53.03,1884,1574,54.48,163,163,50.0,171.4,161.75,51.45,1626,1610,50.25,911,819,52.66,134,137,49.45,14.71,83.27,691,622,52.63,467,403,53.68,87,81,51.79,18.63,79.9,935,988,48.62,444,416,51.63,47,56,45.63,10.59,86.54,2151,1988,51.97,871,650,57.26,27,26,50.94,3.1,96.0,8.65,89.64,0.983
22,Pittsburgh Penguins,51,3096:33,24,20,7,22,55,0.539,3359,3019,52.67,2402,2245,51.69,1680,1516,52.57,148,133,52.67,177.49,149.96,54.2,1637,1453,52.98,891,784,53.19,109,114,48.88,12.23,85.46,695,575,54.72,486,384,55.86,73,85,46.2,15.02,77.86,942,878,51.76,405,400,50.31,36,29,55.38,8.89,92.75,1969,1753,52.9,698,639,52.21,34,16,68.0,4.87,97.5,8.81,91.23,1.0
23,San Jose Sharks,54,3276:08,15,34,5,14,35,0.324,2875,3909,42.38,2025,2783,42.12,1377,1922,41.74,115,203,36.16,138.46,199.14,41.01,1284,1980,39.34,675,1059,38.93,95,164,36.68,14.07,84.51,535,804,39.96,346,531,39.45,54,96,36.0,15.61,81.92,749,1176,38.91,329,528,38.39,41,68,37.61,12.46,87.12,1754,2274,43.55,620,781,44.25,18,35,33.96,2.9,95.52,8.35,89.44,0.978
24,Seattle Kraken,54,3300:37,23,21,10,21,56,0.519,3309,3247,50.47,2301,2380,49.16,1559,1616,49.1,147,151,49.33,153.05,160.92,48.75,1567,1439,52.13,805,755,51.6,116,116,50.0,14.41,84.64,623,581,51.74,387,360,51.81,75,83,47.47,19.38,76.94,944,858,52.39,418,395,51.41,41,33,55.41,9.81,91.65,1960,2111,48.15,676,770,46.75,27,26,50.94,3.99,96.62,9.43,90.66,1.001
25,St Louis Blues,54,3263:54,29,23,2,27,60,0.556,3001,3397,46.91,2217,2514,46.86,1563,1727,47.51,158,167,48.62,159.42,184.91,46.3,1494,1665,47.29,832,886,48.43,131,131,50.0,15.75,85.21,586,736,44.33,405,464,46.61,78,85,47.85,19.26,81.68,908,929,49.43,427,422,50.29,53,46,53.54,12.41,89.1,1760,2006,46.73,655,756,46.42,23,29,44.23,3.51,96.16,10.11,90.33,1.004
26,Tampa Bay Lightning,56,3389:35,30,21,5,28,65,0.58,3440,3242,51.48,2468,2338,51.35,1678,1675,50.04,191,189,50.26,179.98,173.43,50.93,1689,1548,52.18,907,888,50.53,146,144,50.34,16.1,83.78,673,656,50.64,454,462,49.56,92,87,51.4,20.26,81.17,1016,892,53.25,453,426,51.54,54,57,48.65,11.92,86.62,1976,1883,51.2,706,704,50.07,42,39,51.85,5.95,94.46,11.38,88.72,1.001
27,Toronto Maple Leafs,53,3239:23,29,16,8,25,66,0.623,3445,3284,51.2,2497,2348,51.54,1750,1593,52.35,189,167,53.09,182.0,166.76,52.18,1745,1567,52.69,964,864,52.74,155,133,53.82,16.08,84.61,759,643,54.14,504,444,53.16,91,88,50.84,18.06,80.18,986,924,51.62,460,420,52.27,64,45,58.72,13.91,89.29,2005,1861,51.86,697,655,51.55,30,31,49.18,4.3,95.27,10.8,89.52,1.003
28,Vancouver Canucks,56,3395:32,37,13,6,37,80,0.714,3248,3228,50.15,2331,2353,49.77,1576,1672,48.52,205,144,58.74,181.98,166.86,52.17,1638,1544,51.48,876,868,50.23,168,123,57.73,19.18,85.83,715,677,51.36,476,476,50.0,113,79,58.85,23.74,83.4,923,867,51.56,400,392,50.51,55,44,55.56,13.75,88.78,1866,1935,49.09,612,723,45.84,29,20,59.18,4.74,97.23,13.01,91.39,1.044
29,Vegas Golden Knights,54,3280:52,31,17,6,27,68,0.63,3219,3509,47.84,2314,2431,48.77,1682,1646,50.54,169,148,53.31,163.32,160.01,50.51,1576,1619,49.33,898,794,53.07,142,120,54.2,15.81,84.89,651,629,50.86,454,380,54.44,89,77,53.61,19.6,79.74,925,990,48.3,444,414,51.75,53,43,55.21,11.94,89.61,1893,2061,47.88,676,762,47.01,22,24,47.83,3.25,96.85,10.05,91.01,1.011
30,Winnipeg Jets,52,3146:57,33,14,5,33,71,0.683,3196,3027,51.36,2310,2166,51.61,1603,1501,51.64,156,118,56.93,161.38,152.98,51.33,1486,1385,51.76,808,754,51.73,134,99,57.51,16.58,86.87,611,620,49.63,427,410,51.02,84,66,56.0,19.67,83.9,875,765,53.35,381,344,52.55,50,33,60.24,13.12,90.41,1913,1806,51.44,717,662,51.99,20,15,57.14,2.79,97.73,9.73,92.14,1.019
31,Washington Capitals,53,3235:04,24,21,8,21,56,0.528,2988,3362,47.06,2128,2398,47.02,1468,1621,47.52,128,163,43.99,158.79,168.01,48.59,1427,1554,47.87,760,829,47.83,97,133,42.17,12.76,83.96,621,645,49.05,392,430,47.69,67,85,44.08,17.09,80.23,806,909,47.0,368,399,47.98,30,48,38.46,8.15,87.97,1722,2020,46.02,631,713,46.95,29,27,51.79,4.6,96.21,8.72,89.94,0.987
