Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points,TOI
1,8476453,Nikita Kucherov,R,TBL,31,0,0,0,0,0.0
1,8481703,Valtteri Puustinen,R,PIT,25,0,0,0,0,0.0
1,8479249,Andrew Poturalski,C,SJS,30,0,0,0,0,0.0
1,8478550,Artemi Panarin,L,NYR,33,0,0,0,0,0.0
1,8477492,Nathan MacKinnon,C,COL,29,0,0,0,0,0.0
1,8479314,Matthew Tkachuk,L,FLA,27,0,0,0,0,0.0
1,8481019,David Gustafsson,C,WPG,24,0,0,0,0,0.0
1,8480800,Quinn Hughes,D,VAN,25,0,0,0,0,0.0
1,8477493,Aleksander Barkov,C,FLA,29,0,0,0,0,0.0
1,8480069,Cale Makar,D,COL,26,0,0,0,0,0.0
1,8479323,Adam Fox,D,NYR,26,0,0,0,0,0.0
1,8476468,J.T. Miller,C,VAN,31,0,0,0,0,0.0
1,8480023,Robert Thomas,C,STL,25,0,0,0,0,0.0
1,8480027,Jason Robertson,L,DAL,25,0,0,0,0,0.0
1,8478445,Mathew Barzal,C,NYI,27,0,0,0,0,0.0
1,8481559,Jack Hughes,C,NJD,23,0,0,0,0,0.0
1,8475692,Mats Zuccarello,R,MIN,37,0,0,0,0,0.0
1,8474600,Roman Josi,D,NSH,34,0,0,0,0,0.0
1,8479407,Jesper Bratt,L,NJD,26,0,0,0,0,0.0
1,8476456,Jonathan Huberdeau,C,CGY,31,0,0,0,0,0.0
1,8476346,Johnny Gaudreau,L,,31,0,0,0,0,0.0
1,8482684,Luke Hughes,D,NJD,21,0,0,0,0,0.0
1,8477447,Shea Theodore,D,VGK,29,0,0,0,0,0.0
1,8477942,Kevin Fiala,L,LAK,28,0,0,0,0,0.0
1,8480012,Elias Pettersson,C,VAN,26,0,0,0,0,0.0
1,8477956,David Pastrnak,R,BOS,28,0,0,0,0,0.0
1,8471675,Sidney Crosby,C,PIT,37,0,0,0,0,0.0
1,8481604,Pavel Dorofeyev,L,VGK,24,0,0,0,0,0.0
1,8475167,Victor Hedman,D,TBL,34,0,0,0,0,0.0
1,8480830,Andrei Svechnikov,R,CAR,24,0,0,0,0,0.0
1,8478420,Mikko Rantanen,R,COL,28,0,0,0,0,0.0
1,8475913,Mark Stone,R,VGK,32,0,0,0,0,0.0
1,8482116,Tim Stützle,C,OTT,22,0,0,0,0,0.0
1,8483490,Pavel Mintyukov,D,ANA,21,0,0,0,0,0.0
1,8474564,Steven Stamkos,C,NSH,34,0,0,0,0,0.0
1,8475172,Nazem Kadri,C,CGY,34,0,0,0,0,0.0
1,8480036,Miro Heiskanen,D,DAL,25,0,0,0,0,0.0
1,8480865,Noah Dobson,D,NYI,24,0,0,0,0,0.0
1,8478864,Kirill Kaprizov,L,MIN,27,0,0,0,0,0.0
1,8476887,Filip Forsberg,L,NSH,30,0,0,0,0,0.0
1,8471215,Evgeni Malkin,C,PIT,38,0,0,0,0,0.0
1,8482712,Oskar Olausson,R,COL,22,0,0,0,0,0.0
1,8477404,Jake Guentzel,C,TBL,30,0,0,0,0,0.0
1,8475798,Mikael Granlund,C,SJS,32,0,0,0,0,0.0
1,8470794,Joe Pavelski,C,,40,0,0,0,0,0.0
1,8480002,Nico Hischier,C,NJD,25,0,0,0,0,0.0
1,8481557,Matt Boldy,L,MIN,23,0,0,0,0,0.0
1,8473994,Jamie Benn,L,DAL,35,0,0,0,0,0.0
1,8477504,Josh Morrissey,D,WPG,29,0,0,0,0,0.0
1,8477940,Nikolaj Ehlers,L,WPG,28,0,0,0,0,0.0
1,8476459,Mika Zibanejad,C,NYR,31,0,0,0,0,0.0
1,8483505,Matthew Poitras,C,BOS,20,0,0,0,0,0.0
1,8479591,Michael Eyssimont,C,TBL,28,0,0,0,0,0.0
1,8474141,Patrick Kane,R,DET,36,0,0,0,0,0.0
1,8480835,Jack Drury,C,CAR,24,0,0,0,0,0.0
1,8474578,Erik Karlsson,D,PIT,34,0,0,0,0,0.0
1,8481711,Matias Maccelli,L,UTA,24,0,0,0,0,0.0
1,8478427,Sebastian Aho,C,CAR,27,0,0,0,0,0.0
1,8475765,Vladimir Tarasenko,R,DET,33,0,0,0,0,0.0
1,8476906,Shayne Gostisbehere,D,CAR,31,0,0,0,0,0.0
1,8479321,Lucas Johansen,D,,27,0,0,0,0,0.0
1,8477951,Nick Schmaltz,C,UTA,28,0,0,0,0,0.0
1,8478407,Vince Dunn,D,SEA,28,0,0,0,0,0.0
1,8476905,Chandler Stephenson,C,SEA,30,0,0,0,0,0.0
1,8482699,Dylan Guenther,R,UTA,21,0,0,0,0,0.0
1,8478438,Tommy Novak,C,NSH,27,0,0,0,0,0.0
1,8477402,Pavel Buchnevich,L,STL,29,0,0,0,0,0.0
1,8479325,Charlie McAvoy,D,BOS,27,0,0,0,0,0.0
1,8477946,Dylan Larkin,C,DET,28,0,0,0,0,0.0
1,8478440,Dylan Strome,C,WSH,27,0,0,0,0,0.0
1,8478047,Michael Bunting,L,PIT,29,0,0,0,0,0.0
1,8478403,Jack Eichel,C,VGK,28,0,0,0,0,0.0
1,8479999,Casey Mittelstadt,C,COL,26,0,0,0,0,0.0
1,8478038,Devon Toews,D,COL,30,0,0,0,0,0.0
1,8475168,Matt Duchene,C,DAL,33,0,0,0,0,0.0
1,8482078,Lucas Raymond,L,DET,22,0,0,0,0,0.0
1,8482097,Jack Quinn,R,BUF,23,0,0,0,0,0.0
1,8473419,Brad Marchand,L,BOS,36,0,0,0,0,0.0
1,8479343,Clayton Keller,R,UTA,26,0,0,0,0,0.0
1,8480801,Brady Tkachuk,L,OTT,25,0,0,0,0,0.0
1,8474590,John Carlson,D,WSH,34,0,0,0,0,0.0
1,8477949,Alex Tuch,R,BUF,28,0,0,0,0,0.0
1,8478460,Zach Werenski,D,CBJ,27,0,0,0,0,0.0
1,8479385,Jordan Kyrou,C,STL,26,0,0,0,0,0.0
1,8477494,Jonathan Drouin,L,COL,29,0,0,0,0,0.0
1,8471685,Anze Kopitar,C,LAK,37,0,0,0,0,0.0
1,8478975,Mason Marchment,L,DAL,29,0,0,0,0,0.0
1,8476460,Mark Scheifele,C,WPG,31,0,0,0,0,0.0
1,8477416,Oliver Bjorkstrand,R,SEA,29,0,0,0,0,0.0
1,8480839,Rasmus Dahlin,D,BUF,24,0,0,0,0,0.0
1,8476792,Torey Krug,D,STL,33,0,0,0,0,0.0
1,8474679,Gustav Nyquist,C,NSH,35,0,0,0,0,0.0
1,8478010,Brayden Point,C,TBL,28,0,0,0,0,0.0
1,8473512,Claude Giroux,R,OTT,36,0,0,0,0,0.0
1,8477409,Carter Verhaeghe,C,FLA,29,0,0,0,0,0.0
1,8480208,Drake Batherson,R,OTT,26,0,0,0,0,0.0
1,8479425,Filip Hronek,D,VAN,27,0,0,0,0,0.0
1,8471724,Kris Letang,D,PIT,37,0,0,0,0,0.0
1,8476389,Vincent Trocheck,C,NYR,31,0,0,0,0,0.0
1,8479587,Rhett Gardner,C,PHI,28,0,0,0,0,0.0
1,8479337,Alex DeBrincat,R,DET,27,0,0,0,0,0.0
1,8478449,Roope Hintz,C,DAL,28,0,0,0,0,0.0
1,8481542,Moritz Seider,D,DET,23,0,0,0,0,0.0
1,8481441,Joe Snively,C,DET,28,0,0,0,0,0.0
1,8476875,Mike Matheson,D,MTL,30,0,0,0,0,0.0
1,8479639,Dylan Coghlan,D,WPG,26,0,0,0,0,0.0
1,8474102,David Perron,L,OTT,36,0,0,0,0,0.0
1,8476882,Teuvo Teravainen,C,CHI,30,0,0,0,0,0.0
1,8478873,Troy Terry,R,ANA,27,0,0,0,0,0.0
1,8477950,Tony DeAngelo,D,,29,0,0,0,0,0.0
1,8484144,Connor Bedard,C,CHI,19,0,0,0,0,0.0
1,8478856,Conor Garland,R,VAN,28,0,0,0,0,0.0
1,8479410,Mikhail Sergachev,D,UTA,26,0,0,0,0,0.0
1,8478398,Kyle Connor,L,WPG,28,0,0,0,0,0.0
1,8477933,Sam Reinhart,C,FLA,29,0,0,0,0,0.0
1,8481577,Philip Tomasino,C,NSH,23,0,0,0,0,0.0
1,8478439,Travis Konecny,R,PHI,27,0,0,0,0,0.0
1,8479420,Tage Thompson,C,BUF,27,0,0,0,0,0.0
1,8478396,Noah Hanifin,D,VGK,27,0,0,0,0,0.0
1,8480018,Nick Suzuki,C,MTL,25,0,0,0,0,0.0
1,8482665,Matty Beniers,C,SEA,22,0,0,0,0,0.0
1,8479339,Patrik Laine,L,MTL,26,0,0,0,0,0.0
1,8471218,Blake Wheeler,R,,38,0,0,0,0,0.0
1,8479542,Brandon Hagel,L,TBL,26,0,0,0,0,0.0
1,8483524,Shane Wright,C,SEA,20,0,0,0,0,0.0
1,8477986,Brandon Montour,D,SEA,30,0,0,0,0,0.0
1,8477955,Jared McCann,L,SEA,28,0,0,0,0,0.0
1,8476448,William Karlsson,C,VGK,31,0,0,0,0,0.0
1,8478397,Rasmus Andersson,D,CGY,28,0,0,0,0,0.0
1,8479972,Mason Shaw,C,WPG,26,0,0,0,0,0.0
1,8475158,Ryan O'Reilly,C,NSH,33,0,0,0,0,0.0
1,8475197,Tyson Barrie,D,,33,0,0,0,0,0.0
1,8484145,Zach Benson,L,BUF,19,0,0,0,0,0.0
1,8480434,Sean Durzi,D,UTA,26,0,0,0,0,0.0
1,8470613,Brent Burns,D,CAR,39,0,0,0,0,0.0
1,8477444,Andre Burakovsky,L,SEA,29,0,0,0,0,0.0
1,8477496,Elias Lindholm,C,BOS,30,0,0,0,0,0.0
1,8475810,Bryan Rust,R,PIT,32,0,0,0,0,0.0
1,8478401,Pavel Zacha,C,BOS,27,0,0,0,0,0.0
1,8475170,Brayden Schenn,C,STL,33,0,0,0,0,0.0
1,8476958,Jaccob Slavin,D,CAR,30,0,0,0,0,0.0
1,8475753,Justin Faulk,D,STL,32,0,0,0,0,0.0
1,8481560,Arthur Kaliyev,R,LAK,23,0,0,0,0,0.0
1,8478466,Daniel Sprong,R,VAN,27,0,0,0,0,0.0
1,8474565,Alex Pietrangelo,D,VGK,34,0,0,0,0,0.0
1,8478469,Thomas Chabot,D,OTT,27,0,0,0,0,0.0
1,8481528,Dylan Cozens,C,BUF,23,0,0,0,0,0.0
1,8478444,Brock Boeser,R,VAN,27,0,0,0,0,0.0
1,8482093,Seth Jarvis,C,CAR,22,0,0,0,0,0.0
1,8474157,Max Pacioretty,L,,36,0,0,0,0,0.0
1,8475744,Evgeny Kuznetsov,C,,32,0,0,0,0,0.0
1,8482660,Kent Johnson,C,CBJ,22,0,0,0,0,0.0
1,8478458,John (Jack) Roslovic,C,CAR,27,0,0,0,0,0.0
1,8482133,Thomas Bordeleau,C,SJS,22,0,0,0,0,0.0
1,8480039,Martin Necas,C,CAR,25,0,0,0,0,0.0
1,8478414,Timo Meier,R,NJD,28,0,0,0,0,0.0
1,8483515,Juraj Slafkovsky,L,MTL,20,0,0,0,0,0.0
1,8482124,Quinton Byfield,R,LAK,22,0,0,0,0,0.0
1,8478493,Joel Eriksson Ek,C,MIN,27,0,0,0,0,0.0
1,8476979,Erik Gustafsson,D,DET,32,0,0,0,0,0.0
1,8477501,Valeri Nichushkin,R,COL,29,0,0,0,0,0.0
1,8474563,Drew Doughty,D,LAK,35,0,0,0,0,0.0
1,8477021,Alex Kerfoot,C,UTA,30,0,0,0,0,0.0
1,8477960,Adrian Kempe,R,LAK,28,0,0,0,0,0.0
1,8479315,Joey Anderson,R,CHI,26,0,0,0,0,0.0
1,8471214,Alex Ovechkin,L,WSH,39,0,0,0,0,0.0
1,8476458,Ryan Strome,C,ANA,31,0,0,0,0,0.0
1,8475745,Charlie Coyle,C,BOS,32,0,0,0,0,0.0
1,8477479,Tyler Bertuzzi,L,CHI,29,0,0,0,0,0.0
1,8477932,Aaron Ekblad,D,FLA,28,0,0,0,0,0.0
1,8482067,Connor Mackey,D,NYR,28,0,0,0,0,0.0
1,8480028,Morgan Frost,C,PHI,25,0,0,0,0,0.0
1,8476462,Dougie Hamilton,D,NJD,31,0,0,0,0,0.0
1,8481533,Trevor Zegras,C,ANA,23,0,0,0,0,0.0
1,8478462,Nicolas Roy,C,VGK,27,0,0,0,0,0.0
1,8483491,Ivan Miroshnichenko,L,WSH,20,0,0,0,0,0.0
1,8475754,Brock Nelson,C,NYI,33,0,0,0,0,0.0
1,8474586,Jordan Eberle,R,SEA,34,0,0,0,0,0.0
1,8475726,Tyler Toffoli,C,SJS,32,0,0,0,0,0.0
1,8477346,MacKenzie Weegar,D,CGY,30,0,0,0,0,0.0
1,8476869,Brady Skjei,D,NSH,30,0,0,0,0,0.0
1,8482149,Cole Perfetti,C,WPG,22,0,0,0,0,0.0
1,8476881,Tomas Hertl,C,VGK,31,0,0,0,0,0.0
1,8479400,Pierre-Luc Dubois,L,WSH,26,0,0,0,0,0.0
1,8481093,Rafael Harvey-Pinard,L,MTL,25,0,0,0,0,0.0
1,8482113,Anton Lundell,C,FLA,23,0,0,0,0,0.0
1,8482744,James Malatesta,L,CBJ,21,0,0,0,0,0.0
1,8481656,Aliaksei Protas,C,WSH,23,0,0,0,0,0.0
1,8477964,Ivan Barbashev,C,VGK,29,0,0,0,0,0.0
1,8479345,Jakob Chychrun,D,WSH,26,0,0,0,0,0.0
1,8482737,Zack Bolduc,C,STL,21,0,0,0,0,0.0
1,8475764,Cam Fowler,D,ANA,33,0,0,0,0,0.0
1,8481606,Jordan Spence,D,LAK,23,0,0,0,0,0.0
1,8476539,Jonathan Marchessault,R,NSH,34,0,0,0,0,0.0
1,8479987,Morgan Geekie,C,BOS,26,0,0,0,0,0.0
1,8477497,Sean Monahan,C,CBJ,30,0,0,0,0,0.0
1,8475794,Tyler Seguin,C,DAL,32,0,0,0,0,0.0
1,8478542,Evan Rodrigues,C,FLA,31,0,0,0,0,0.0
1,8480798,Philipp Kurashev,C,CHI,25,0,0,0,0,0.0
1,8477407,Anthony Duclair,L,NYI,29,0,0,0,0,0.0
1,8477495,Seth Jones,D,CHI,30,0,0,0,0,0.0
1,8474037,James van Riemsdyk,L,,35,0,0,0,0,0.0
1,8481751,Lukas Rousek,R,BUF,25,0,0,0,0,0.0
1,8476479,Phillip Danault,C,LAK,31,0,0,0,0,0.0
1,8480829,Jesperi Kotkaniemi,C,CAR,24,0,0,0,0,0.0
1,8475191,Reilly Smith,R,NYR,33,0,0,0,0,0.0
1,8480049,Dylan Samberg,D,WPG,25,0,0,0,0,0.0
1,8476483,Rickard Rakell,R,PIT,31,0,0,0,0,0.0
1,8478055,Gustav Forsling,D,FLA,28,0,0,0,0,0.0
1,8481550,Adam Beckman,L,NJD,23,0,0,0,0,0.0
1,8476907,Mackenzie MacEachern,L,,30,0,0,0,0,0.0
1,8482745,Mason McTavish,C,ANA,21,0,0,0,0,0.0
1,8480216,Jacob Peterson,C,,25,0,0,0,0,0.0
1,8480145,Neal Pionk,D,WPG,29,0,0,0,0,0.0
1,8474602,Justin Schultz,D,,34,0,0,0,0,0.0
1,8483808,Andrei Kuzmenko,L,CGY,28,0,0,0,0,0.0
1,8477451,Ryan Hartman,R,MIN,30,0,0,0,0,0.0
1,8481618,Alex Newhook,C,MTL,23,0,0,0,0,0.0
1,8477476,Artturi Lehkonen,L,COL,29,0,0,0,0,0.0
1,8476292,Ondrej Palat,L,NJD,33,0,0,0,0,0.0
1,8479398,Samuel Girard,D,COL,26,0,0,0,0,0.0
1,8482222,Alexander Barabanov,L,,30,0,0,0,0,0.0
1,8475763,Kevin Hayes,R,PIT,32,0,0,0,0,0.0
1,8478472,Mathieu Joseph,R,STL,27,0,0,0,0,0.0
1,8481524,Bowen Byram,D,BUF,23,0,0,0,0,0.0
1,8481059,Scott Perunovich,D,STL,26,0,0,0,0,0.0
1,8482667,William Eklund,L,SJS,22,0,0,0,0,0.0
1,8477935,Sam Bennett,C,FLA,28,0,0,0,0,0.0
1,8476826,Yanni Gourde,C,SEA,33,0,0,0,0,0.0
1,8479675,Trevor Moore,L,LAK,29,0,0,0,0,0.0
1,8477500,Bo Horvat,C,NYI,29,0,0,0,0,0.0
1,8477511,Anthony Mantha,R,CGY,30,0,0,0,0,0.0
1,8481581,Thomas Harley,D,DAL,23,0,0,0,0,0.0
1,8484166,Adam Fantilli,C,CBJ,20,0,0,0,0,0.0
1,8480873,Rasmus Sandin,D,WSH,24,0,0,0,0,0.0
1,8476854,Hampus Lindholm,D,BOS,30,0,0,0,0,0.0
1,8479525,Ross Colton,C,COL,28,0,0,0,0,0.0
1,8476474,Stefan Noesen,R,NJD,31,0,0,0,0,0.0
1,8474031,Kevin Shattenkirk,D,,35,0,0,0,0,0.0
1,8477478,William Carrier,L,CAR,30,0,0,0,0,0.0
1,8475200,Dmitry Orlov,D,CAR,33,0,0,0,0,0.0
1,8476923,Damon Severson,D,CBJ,30,0,0,0,0,0.0
1,8473986,Alex Killorn,L,ANA,35,0,0,0,0,0.0
1,8480878,Nils Lundkvist,D,DAL,24,0,0,0,0,0.0
1,8481540,Cole Caufield,R,MTL,23,0,0,0,0,0.0
1,8480817,K'Andre Miller,D,NYR,24,0,0,0,0,0.0
1,8479402,Jake Bean,D,CGY,26,0,0,0,0,0.0
1,8477330,Dominik Kubalik,L,,29,0,0,0,0,0.0
1,8476480,Vladislav Namestnikov,C,WPG,32,0,0,0,0,0.0
1,8477998,Warren Foegele,L,LAK,28,0,0,0,0,0.0
1,8481596,Shane Pinto,C,OTT,24,0,0,0,0,0.0
1,8477947,Sonny Milano,L,WSH,28,0,0,0,0,0.0
1,8480884,Calen Addison,D,,24,0,0,0,0,0.0
1,8482702,Logan Stankoven,C,DAL,21,0,0,0,0,0.0
1,8480871,Adam Boqvist,D,FLA,24,0,0,0,0,0.0
1,8475848,Brendan Gallagher,R,MTL,32,0,0,0,0,0.0
1,8474149,Evgenii Dadonov,R,DAL,35,0,0,0,0,0.0
1,8480797,Joel Farabee,L,PHI,24,0,0,0,0,0.0
1,8478519,Anthony Cirelli,C,TBL,27,0,0,0,0,0.0
1,8475906,John Klingberg,D,,32,0,0,0,0,0.0
1,8480015,Owen Tippett,R,PHI,25,0,0,0,0,0.0
1,8475722,Jason Zucker,L,BUF,32,0,0,0,0,0.0
1,8476927,Teddy Blueger,C,VAN,30,0,0,0,0,0.0
1,8482109,Alexis Lafrenière,L,NYR,23,0,0,0,0,0.0
1,8476872,Scott Laughton,C,PHI,30,0,0,0,0,0.0
1,8480008,Adam Ruzicka,C,,25,0,0,0,0,0.0
1,8484153,Leo Carlsson,C,ANA,20,0,0,0,0,0.0
1,8473507,Jeff Petry,D,DET,37,0,0,0,0,0.0
1,8478233,Andrew Mangiapane,L,WSH,28,0,0,0,0,0.0
1,8471698,T.J. Oshie,R,WSH,38,0,0,0,0,0.0
1,8482475,Yegor Chinakhov,R,CBJ,23,0,0,0,0,0.0
1,8480073,Erik Brannstrom,D,COL,25,0,0,0,0,0.0
1,8477969,Marcus Pettersson,D,PIT,28,0,0,0,0,0.0
1,8480188,Fabian Zetterlund,L,SJS,25,0,0,0,0,0.0
1,8474151,Ryan McDonagh,D,TBL,35,0,0,0,0,0.0
1,8483549,Lucas Condotta,L,MTL,27,0,0,0,0,0.0
1,8474053,Logan Couture,C,SJS,35,0,0,0,0,0.0
1,8479976,Juuso Valimaki,D,UTA,26,0,0,0,0,0.0
1,8478046,Danton Heinen,L,VAN,29,0,0,0,0,0.0
1,8475768,Jaden Schwartz,C,SEA,32,0,0,0,0,0.0
1,8482671,Owen Power,D,BUF,22,0,0,0,0,0.0
1,8482451,Mikael Pyyhtia,L,CBJ,23,0,0,0,0,0.0
1,8475793,Ryan Johansen,C,,32,0,0,0,0,0.0
1,8477429,Andrew Copp,C,DET,30,0,0,0,0,0.0
1,8474150,Mikael Backlund,C,CGY,35,0,0,0,0,0.0
1,8479439,Jacob MacDonald,D,COL,31,0,0,0,0,0.0
1,8482655,Janis Moser,D,TBL,24,0,0,0,0,0.0
1,8482624,Daniil Miromanov,D,CGY,27,0,0,0,0,0.0
1,8477962,Brendan Lemieux,L,CAR,28,0,0,0,0,0.0
1,8481481,Blake Lizotte,C,PIT,27,0,0,0,0,0.0
1,8477987,Ryan Donato,C,CHI,28,0,0,0,0,0.0
1,8478507,John Marino,D,UTA,27,0,0,0,0,0.0
1,8476399,Blake Coleman,C,CGY,33,0,0,0,0,0.0
1,8481178,Egor Zamula,D,PHI,24,0,0,0,0,0.0
1,8475151,Kyle Palmieri,C,NYI,33,0,0,0,0,0.0
1,8475287,Erik Haula,L,NJD,33,0,0,0,0,0.0
1,8473563,Nicklas Backstrom,C,WSH,37,0,0,0,0,0.0
1,8478057,Dakota Joshua,C,VAN,28,0,0,0,0,0.0
1,8477948,Travis Sanheim,D,PHI,28,0,0,0,0,0.0
1,8482740,Wyatt Johnston,C,DAL,21,0,0,0,0,0.0
1,8476884,Derrick Pouliot,D,,30,0,0,0,0,0.0
1,8479992,Michael Rasmussen,C,DET,25,0,0,0,0,0.0
1,8476885,Jacob Trouba,D,NYR,30,0,0,0,0,0.0
1,8477839,Conor Sheary,L,TBL,32,0,0,0,0,0.0
1,8482105,Jake Sanderson,D,OTT,22,0,0,0,0,0.0
1,8481068,Yegor Sharangovich,C,CGY,26,0,0,0,0,0.0
1,8482146,Luke Evangelista,R,NSH,22,0,0,0,0,0.0
1,8480009,Eeli Tolvanen,R,SEA,25,0,0,0,0,0.0
1,8481546,Cam York,D,PHI,23,0,0,0,0,0.0
1,8475193,Tomas Tatar,L,NJD,34,0,0,0,0,0.0
1,8480064,Josh Norris,C,OTT,25,0,0,0,0,0.0
1,8476919,Chris Tierney,C,,30,0,0,0,0,0.0
1,8479372,Joshua Mahura,D,SEA,26,0,0,0,0,0.0
1,8480748,Kiefer Sherwood,L,VAN,29,0,0,0,0,0.0
1,8475184,Chris Kreider,L,NYR,33,0,0,0,0,0.0
1,8478463,Anthony Beauvillier,L,PIT,27,0,0,0,0,0.0
1,8482110,Dawson Mercer,C,NJD,23,0,0,0,0,0.0
1,8479365,Trent Frederic,C,BOS,26,0,0,0,0,0.0
1,8476917,Adam Pelech,D,NYI,30,0,0,0,0,0.0
1,8480891,Michael Kesselring,D,UTA,24,0,0,0,0,0.0
1,8481527,Kaedan Korczak,D,VGK,23,0,0,0,0,0.0
1,8480157,Calle Rosen,D,COL,30,0,0,0,0,0.0
1,8478500,Ivan Provorov,D,CBJ,27,0,0,0,0,0.0
1,8480855,Jack McBain,C,UTA,24,0,0,0,0,0.0
1,8480220,Noah Cates,L,PHI,25,0,0,0,0,0.0
1,8477505,Alexander Wennberg,C,SJS,30,0,0,0,0,0.0
1,8475149,Marcus Johansson,L,MIN,34,0,0,0,0,0.0
1,8478498,Jake DeBrusk,L,VAN,28,0,0,0,0,0.0
1,8482073,Braden Schneider,D,NYR,23,0,0,0,0,0.0
1,8480185,Eetu Luostarinen,C,FLA,26,0,0,0,0,0.0
1,8481624,Ilya Mikheyev,R,CHI,30,0,0,0,0,0.0
1,8479415,Michael McLeod,C,,26,0,0,0,0,0.0
1,8476312,Josh Manson,D,COL,33,0,0,0,0,0.0
1,8478891,Mason Appleton,C,WPG,28,0,0,0,0,0.0
1,8476897,Oskar Sundqvist,C,STL,30,0,0,0,0,0.0
1,8480246,Nick Perbix,D,TBL,26,0,0,0,0,0.0
1,8476880,Tom Wilson,R,WSH,30,0,0,0,0,0.0
1,8475181,Nick Leddy,D,STL,33,0,0,0,0,0.0
1,8478970,Jalen Chatfield,D,CAR,28,0,0,0,0,0.0
1,8478840,Will Borgen,D,SEA,28,0,0,0,0,0.0
1,8474870,Tyler Johnson,C,,34,0,0,0,0,0.0
1,8483482,Tristan Luneau,D,ANA,20,0,0,0,0,0.0
1,8477220,Nate Schmidt,D,FLA,33,0,0,0,0,0.0
1,8474673,TJ Brodie,D,CHI,34,0,0,0,0,0.0
1,8477456,J.T. Compher,L,DET,29,0,0,0,0,0.0
1,8480205,Emil Bemstrom,C,PIT,25,0,0,0,0,0.0
1,8477953,Kasperi Kapanen,R,STL,28,0,0,0,0,0.0
1,8479980,Nicolas Hague,D,VGK,26,0,0,0,0,0.0
1,8479351,Sam Steel,C,DAL,26,0,0,0,0,0.0
1,8476892,Colton Parayko,D,STL,31,0,0,0,0,0.0
1,8470604,Jeff Carter,C,,39,0,0,0,0,0.0
1,8477952,Robby Fabbri,C,ANA,28,0,0,0,0,0.0
1,8475791,Taylor Hall,L,CHI,33,0,0,0,0,0.0
1,8480058,Pierre-Olivier Joseph,D,STL,25,0,0,0,0,0.0
1,8476419,Jean-Gabriel Pageau,C,NYI,32,0,0,0,0,0.0
1,8480222,Sebastian Aho,D,PIT,28,0,0,0,0,0.0
