,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points,TOI
100,8475172,Nazem Kadri,C,CGY,34,0.0,0.0,0.0,0.0,0.0
101,8475177,Calvin de Haan,D,COL,33,0.0,0.0,0.0,0.0,0.0
102,8475179,Dmitry Kulikov,D,FLA,34,0.0,0.0,0.0,0.0,0.0
103,8475181,Nick Leddy,D,STL,33,0.0,0.0,0.0,0.0,0.0
104,8475184,Chris Kreider,L,NYR,33,0.0,0.0,0.0,0.0,0.0
105,8475188,Brayden McNabb,D,VGK,33,0.0,0.0,0.0,0.0,0.0
106,8475191,Reilly Smith,R,NYR,33,0.0,0.0,0.0,0.0,0.0
107,8475193,Tomas Tatar,L,NJD,34,0.0,0.0,0.0,0.0,0.0
108,8475200,Dmitry Orlov,D,CAR,33,0.0,0.0,0.0,0.0,0.0
109,8475208,Brian Dumoulin,D,ANA,33,0.0,0.0,0.0,0.0,0.0
110,8475220,Marcus Foligno,L,MIN,33,0.0,0.0,0.0,0.0,0.0
111,8475225,Craig Smith,C,CHI,35,0.0,0.0,0.0,0.0,0.0
112,8475231,Casey Cizikas,C,NYI,33,0.0,0.0,0.0,0.0,0.0
113,8475233,David Savard,D,MTL,34,0.0,0.0,0.0,0.0,0.0
114,8475235,Nicolas Deslauriers,L,PHI,33,0.0,0.0,0.0,0.0,0.0
115,8475279,Ben Chiarot,D,DET,33,0.0,0.0,0.0,0.0,0.0
116,8475287,Erik Haula,L,NJD,33,0.0,0.0,0.0,0.0,0.0
117,8475314,Anders Lee,L,NYI,34,0.0,0.0,0.0,0.0,0.0
118,8475324,Nick Jensen,D,OTT,34,0.0,0.0,0.0,0.0,0.0
119,8475343,Nic Dowd,C,WSH,34,0.0,0.0,0.0,0.0,0.0
120,8475413,Justin Dowling,C,NJD,34,0.0,0.0,0.0,0.0,0.0
121,8475455,Brenden Dillon,D,NJD,34,0.0,0.0,0.0,0.0,0.0
122,8475462,Radko Gudas,D,ANA,34,0.0,0.0,0.0,0.0,0.0
123,8475692,Mats Zuccarello,R,MIN,37,0.0,0.0,0.0,0.0,0.0
124,8475718,Justin Holl,D,DET,32,0.0,0.0,0.0,0.0,0.0
125,8475722,Jason Zucker,L,BUF,32,0.0,0.0,0.0,0.0,0.0
126,8475726,Tyler Toffoli,C,SJS,32,0.0,0.0,0.0,0.0,0.0
127,8475745,Charlie Coyle,C,BOS,32,0.0,0.0,0.0,0.0,0.0
128,8475750,Jon Merrill,D,MIN,32,0.0,0.0,0.0,0.0,0.0
129,8475753,Justin Faulk,D,STL,32,0.0,0.0,0.0,0.0,0.0
130,8475754,Brock Nelson,C,NYI,33,0.0,0.0,0.0,0.0,0.0
131,8475755,Alexander Petrovic,D,DAL,32,0.0,0.0,0.0,0.0,0.0
132,8475760,Nick Bjugstad,C,UTA,32,0.0,0.0,0.0,0.0,0.0
133,8475762,Derek Forbort,D,VAN,32,0.0,0.0,0.0,0.0,0.0
134,8475763,Kevin Hayes,R,PIT,32,0.0,0.0,0.0,0.0,0.0
135,8475764,Cam Fowler,D,ANA,33,0.0,0.0,0.0,0.0,0.0
136,8475765,Vladimir Tarasenko,R,DET,33,0.0,0.0,0.0,0.0,0.0
137,8475768,Jaden Schwartz,C,SEA,32,0.0,0.0,0.0,0.0,0.0
138,8475780,Chris Wagner,R,COL,33,0.0,0.0,0.0,0.0,0.0
139,8475790,Erik Gudbranson,D,CBJ,32,0.0,0.0,0.0,0.0,0.0
140,8475791,Taylor Hall,L,CHI,33,0.0,0.0,0.0,0.0,0.0
141,8475794,Tyler Seguin,C,DAL,32,0.0,0.0,0.0,0.0,0.0
142,8475795,Dylan McIlrath,D,WSH,32,0.0,0.0,0.0,0.0,0.0
143,8475798,Mikael Granlund,C,SJS,32,0.0,0.0,0.0,0.0,0.0
144,8475799,Nino Niederreiter,R,WPG,32,0.0,0.0,0.0,0.0,0.0
145,8475810,Bryan Rust,R,PIT,32,0.0,0.0,0.0,0.0,0.0
146,8475842,Sam Carrick,C,NYR,32,0.0,0.0,0.0,0.0,0.0
147,8475848,Brendan Gallagher,R,MTL,32,0.0,0.0,0.0,0.0,0.0
148,8475855,Jesper Fast,R,CAR,33,0.0,0.0,0.0,0.0,0.0
149,8475913,Mark Stone,R,VGK,32,0.0,0.0,0.0,0.0,0.0
150,8475958,Michael Sgarbossa,C,WSH,32,0.0,0.0,0.0,0.0,0.0
151,8476278,Colin Blackwell,C,DAL,31,0.0,0.0,0.0,0.0,0.0
152,8476292,Ondrej Palat,L,NJD,33,0.0,0.0,0.0,0.0,0.0
153,8476312,Josh Manson,D,COL,33,0.0,0.0,0.0,0.0,0.0
154,8476323,Max McCormick,L,SEA,32,0.0,0.0,0.0,0.0,0.0
155,8476329,Travis Boyd,C,MIN,31,0.0,0.0,0.0,0.0,0.0
156,8476331,Dylan DeMelo,D,WPG,31,0.0,0.0,0.0,0.0,0.0
157,8476372,Nick Seeler,D,PHI,31,0.0,0.0,0.0,0.0,0.0
158,8476374,Sean Kuraly,C,CBJ,31,0.0,0.0,0.0,0.0,0.0
159,8476389,Vincent Trocheck,C,NYR,31,0.0,0.0,0.0,0.0,0.0
160,8476392,Adam Lowry,C,WPG,31,0.0,0.0,0.0,0.0,0.0
161,8476393,Nick Cousins,C,OTT,31,0.0,0.0,0.0,0.0,0.0
162,8476399,Blake Coleman,C,CGY,33,0.0,0.0,0.0,0.0,0.0
163,8476419,Jean-Gabriel Pageau,C,NYI,32,0.0,0.0,0.0,0.0,0.0
164,8476422,Mike Reilly,D,NYI,31,0.0,0.0,0.0,0.0,0.0
165,8476429,Scott Mayfield,D,NYI,32,0.0,0.0,0.0,0.0,0.0
166,8476432,Boone Jenner,C,CBJ,31,0.0,0.0,0.0,0.0,0.0
167,8476438,Brandon Saad,L,STL,32,0.0,0.0,0.0,0.0,0.0
168,8476441,Joel Edmundson,D,LAK,31,0.0,0.0,0.0,0.0,0.0
169,8476442,Matt Nieto,L,PIT,32,0.0,0.0,0.0,0.0,0.0
170,8476448,William Karlsson,C,VGK,31,0.0,0.0,0.0,0.0,0.0
