,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,TOI,Points
305,8482055,Drew O'Connor,L,PIT,26,67.65882174294134,16.19355195738399,15.507356488482989,1232.643726534985,31.70090844586698
306,8480068,Ryan Poehling,C,PHI,25,77.49003515183409,14.996216626460004,16.696512609647396,1190.5822942877137,31.6927292361074
307,8478020,Michael Amadio,R,OTT,28,78.41235460626986,16.458958998082696,15.183305381874778,1081.0018804882618,31.642264379957474
308,8483505,Matthew Poitras,C,BOS,20,69.44481586889613,10.990610626159778,20.604794886516927,1104.9462837129306,31.595405512676706
309,8477969,Marcus Pettersson,D,PIT,28,80.70790927454402,4.220486786195732,27.105112650915316,1787.4948366123517,31.325599437111048
310,8480014,Gabriel Vilardi,C,WPG,25,49.244637907096205,18.104216044591652,13.204848610714045,1364.918468983372,31.309064655305697
311,8477450,Jason Dickinson,C,CHI,29,80.50030951615125,14.239213550418901,16.9718336501891,1334.684783002778,31.211047200608
312,8470621,Corey Perry,R,EDM,39,79.60217666052047,15.527142246607532,15.609908023034212,1072.182716235746,31.137050269641744
313,8482475,Yegor Chinakhov,R,CBJ,23,58.56010622612529,14.42166960981367,16.534075954968102,1212.6253721903538,30.955745564781772
314,8480873,Rasmus Sandin,D,WSH,24,78.04937558896937,4.024905896185074,26.680619973892604,1692.4581662446194,30.70552587007768
315,8475171,Oliver Ekman-Larsson,D,TOR,33,80.35487235128605,7.006230160142819,23.660668788561825,1549.0212418186973,30.666898948704645
316,8475200,Dmitry Orlov,D,CAR,33,80.69887304309168,7.88814298817732,22.64077982814639,1488.8678208810231,30.528922816323707
317,8478109,Victor Olofsson,L,VGK,29,77.43508774330897,14.29170116504362,16.10569101851577,1021.7237539367364,30.39739218355939
318,8477952,Robby Fabbri,C,ANA,28,67.46274465475966,15.624835121033135,14.750951439188391,1098.4404802174952,30.375786560221528
319,8476897,Oskar Sundqvist,C,STL,30,78.49788236204647,12.074490036636112,18.242364089198826,1097.6857336087044,30.316854125834936
320,8479398,Samuel Girard,D,COL,26,78.85991118219839,4.131484230396443,26.046302663108644,1634.4654014679002,30.177786893505086
321,8481577,Philip Tomasino,C,NSH,23,56.79645196838567,10.092779502936608,19.89131871932589,1044.481891148797,29.9840982222625
322,8477919,Frederick Gaudreau,C,MIN,31,80.39104531759716,11.921019544457767,17.90798013000875,1186.4344825905207,29.828999674466516
323,8479351,Sam Steel,C,DAL,26,79.72494781519485,10.78687032807744,18.930337903534806,1096.9479659430651,29.717208231612247
324,8476892,Colton Parayko,D,STL,31,80.68977464270542,4.272608393994556,25.279451387788985,1946.3532448225967,29.55205978178354
325,8474053,Logan Couture,C,SJS,35,57.281996261923126,9.89552419253538,19.450929039740025,1557.0845969923016,29.346453232275405
